Atomic Fact,Label,Reason
Adolf Hitler là một chính trị gia và nhà lãnh đạo của Đảng Quốc xã Đức (NSDAP).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Adolf Hitler không liên quan đến nhân vật Võ Nguyên Giáp, người được cung cấp thông tin. Đoạn văn bản chỉ đề cập đến Võ Nguyên Giáp và các thông tin liên quan đến ông mà không có bất kỳ đề cập nào đến Adolf Hitler hay Đảng Quốc xã Đức.  
Đoạn thông tin: (Không có thông tin nào trong đoạn văn cung cấp về Adolf Hitler hoặc Đảng Quốc xã Đức)."
Adolf Hitler nổi tiếng với vai trò trong việc khởi xướng Thế chiến thứ hai.,Supported,"Nhãn: Supported  
Lí do: Thông tin khẳng định rằng Adolf Hitler nổi tiếng với vai trò trong việc khởi xướng Thế chiến thứ hai là đúng và được xác nhận bởi nguồn thông tin từ Wikipedia. Đoạn văn mô tả rõ ràng rằng Hitler phát động Chiến tranh thế giới thứ hai ở châu Âu bằng cuộc xâm lược Ba Lan vào ngày 1 tháng 9 năm 1939, cho thấy vai trò quyết định của ông trong sự kiện này.  
Đoạn thông tin: ""Dưới chế độ độc tài của mình, ông phát động Chiến tranh thế giới thứ hai ở châu Âu bằng cuộc xâm lược Ba Lan vào ngày 1 tháng 9 năm 1939."""
"Adolf Hitler nổi tiếng với những tội ác chống lại loài người, bao gồm cuộc diệt chủng Holocaust.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đề cập đến Adolf Hitler và những tội ác chống lại loài người, nhưng đoạn văn thông tin chỉ đề cập đến Võ Nguyên Giáp và không có thông tin nào liên quan đến Adolf Hitler hoặc Holocaust.  
Đoạn thông tin: ""Đối với những chỉ trích từ phương Tây rằng ông là người vô cảm, chính bản thân Võ Nguyên Giáp đã từng trả lời một nhà báo Ý rằng: 'Người phương Đông chúng tôi khác người phương Tây các ông. Chúng tôi đặt sự tồn vong của cộng đồng lên trên lợi ích cá nhân...'"". (Tất cả đoạn văn đều không liên quan đến Adolf Hitler hay Holocaust.)"
"Adolf Hitler sinh ngày 20 tháng 4 năm 1889 tại Braunau am Inn, Áo.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Adolf Hitler không liên quan đến nhân vật Barack Obama, người được đề cập trong ngữ cảnh. Đoạn văn hoàn toàn nói về cuộc đời và sự nghiệp của Obama mà không đề cập đến Hitler hay bất kỳ thông tin nào liên quan đến ông.  
Đoạn thông tin: ""Obama sinh ngày 4 tháng 8 năm 1961, tại Trung tâm Y tế Kapiolani ở Honolulu, Hawaii. Ông là tổng thống duy nhất sinh ra bên ngoài 48 tiểu bang lục địa..."" (toàn bộ đoạn thông tin về Obama không liên quan đến Hitler)."
Adolf Hitler có một tuổi thơ không mấy hạnh phúc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tuổi thơ của Adolf Hitler không liên quan đến nội dung và thông tin về Trịnh Công Sơn, nhân vật duy nhất được đề cập trong đoạn văn. Không có thông tin nào trong đoạn văn nói về Adolf Hitler hoặc tuổi thơ của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Adolf Hitler trong đoạn văn."
Adolf Hitler có cha mẹ có mâu thuẫn.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin này không chính xác vì không có bất kỳ mâu thuẫn nào được nêu ra trong thông tin cung cấp về cha mẹ của Adolf Hitler. Thực tế, thông tin chỉ ra rằng cha mẹ của Alois Hitler (cha của Adolf Hitler) đã không công nhận ông là con của họ và có một số điều không rõ ràng, nhưng không có mâu thuẫn cụ thể nào giữa họ.  
Đoạn thông tin: ""Sổ rửa tội không ghi tên cha ruột của Alois nên ban đầu ông mang họ mẹ là Schicklgruber. Khi Alois lên 5 tuổi (1842), bà Maria Anna kết hôn với một công nhân tên là Johann Georg Hiedler, nhưng ông không bao giờ công nhận cậu bé Alois là con mình."""
Adolf Hitler thường phải chuyển nhà khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Adolf Hitler thường phải chuyển nhà khi còn nhỏ không liên quan đến nội dung hoặc ngữ cảnh của đoạn văn thông tin đã cung cấp, mà chỉ nói về Winston Churchill và các sự kiện trong cuộc đời ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Adolf Hitler trong đoạn văn đã cung cấp."
Adolf Hitler bỏ học năm 16 tuổi.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Adolf Hitler bỏ học năm 16 tuổi được xác nhận trong đoạn văn, nơi ghi rõ rằng sau khi Alois Hitler qua đời vào ngày 3 tháng 1 năm 1903, Hitler học tập sa sút và được mẹ cho phép rời trường. Thời điểm đó, Hitler sinh ngày 20 tháng 4 năm 1889, do đó khi ông 16 tuổi là vào năm 1905, năm mà ông học hết lớp 10 và ra trường mà không có tham vọng học cao hơn.  
Đoạn thông tin: ""Sau khi Alois đột ngột qua đời vào ngày 3 tháng 1 năm 1903, Hitler học tập sa sút và được mẹ cho phép rời trường. Tháng 9 năm 1904, Hitler thuyên chuyển qua trường Realschule ở Steyr, lối hành xử và thành tích học tập của ông đều có tiến bộ. Năm 1905, sau khi vượt qua những kỳ thi cuối cùng, Hitler học hết lớp 10, ra trường mà không có tham vọng học cao hơn hay kế hoạch rõ ràng cho sự nghiệp."""
Adolf Hitler chuyển đến Vienna khi 16 tuổi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Adolf Hitler không liên quan đến nội dung thông tin về Vladimir Putin và không được đề cập trong thông tin đã cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Adolf Hitler trong văn bản cung cấp."
Adolf Hitler bắt đầu phát triển những quan điểm chính trị và xã hội cực đoan tại Vienna.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Adolf Hitler phát triển những quan điểm chính trị và xã hội cực đoan tại Vienna không được xác minh trong đoạn văn bản cung cấp. Đoạn văn chỉ đề cập đến việc Hitler sáng tác Mein Kampf và các hoạt động chính trị của ông sau khi ra tù, nhưng không có nhắc đến việc bắt đầu phát triển quan điểm chính trị tại Vienna.  
Đoạn thông tin: ""Chính trong thời gian thi hành án, Hitler đã sáng tác phần lớn đoạn đầu của Mein Kampf. Ông không đích thân viết mà đứng đọc cho Emil Maurice rồi sau đó là cấp phó Rudolf Hess chép lại. Đây là cuốn tự truyện thể hiện tư tưởng, quan điểm chính trị và được Hitler đề tặng thành viên Dietrich Eckart của Hội Thule."""
