Atomic Fact,Label,Reason
Albert Einstein sinh ngày 14 tháng 3 năm 1879 tại Ulm.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Albert Einstein không liên quan đến thông tin về Barack Obama, nhân vật chính trong ngữ cảnh đã cho. Không có bất kỳ thông tin nào trong đoạn văn liên quan đến Albert Einstein hoặc ngày sinh của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Albert Einstein trong phần thông tin được cung cấp."
Albert Einstein sinh ra trong Vương quốc Württemberg của Đế quốc Đức.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Albert Einstein sinh ra trong Vương quốc Württemberg của Đế quốc Đức là không chính xác. Trong đoạn văn cung cấp, thông tin ghi rõ rằng Einstein sinh ra tại thành phố Ulm, bên dòng sông Danube, tiểu bang Baden-Württemberg, nước Đức. Baden-Württemberg là một tiểu bang của Đức, không phải là Vương quốc Württemberg của Đế quốc Đức.  
Đoạn thông tin: ""Albert Einstein sinh ra trong một gia đình gốc Do Thái tại thành phố Ulm, bên dòng sông Danube, tiểu bang Baden-Württemberg, nước Đức ngày 14 tháng 3 năm 1879."""
Albert Einstein có nguồn gốc Do Thái.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nguồn gốc của Albert Einstein không liên quan đến nội dung được cung cấp, vì đoạn văn chỉ đề cập đến Nhà giáo Hồ Cơ và những nhận xét của ông về Đại tướng Võ Nguyên Giáp. Không có thông tin nào liên quan đến Albert Einstein trong đoạn trích dẫn.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
"Albert Einstein theo học tại trường Polytechnic ở Zurich, Thụy Sĩ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Albert Einstein không liên quan đến nội dung thông tin cung cấp, mà chỉ nói về một nhân vật khác là Winston Churchill và các hoạt động chính trị của ông. Không có bất kỳ thông tin nào liên quan đến việc Albert Einstein theo học tại trường Polytechnic ở Zurich, Thụy Sĩ.  
Đoạn thông tin: Không có đoạn thông tin nào trong ngữ cảnh cung cấp đề cập đến Albert Einstein hoặc trường Polytechnic ở Zurich."
Albert Einstein tốt nghiệp trường Polytechnic ở Zurich vào năm 1900.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Albert Einstein tốt nghiệp trường Polytechnic ở Zurich vào năm 1900 không được xác nhận trong đoạn văn cung cấp về Barack Obama. Đoạn văn chỉ chứa thông tin liên quan đến Obama và không đề cập đến Albert Einstein hay bất kỳ thông tin nào liên quan đến việc tốt nghiệp của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp liên quan đến Albert Einstein hoặc việc tốt nghiệp của ông."
Albert Einstein đã gặp gỡ và kết bạn với nhiều sinh viên khác khi học tại Zurich.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Albert Einstein không liên quan đến nội dung được cung cấp về Hồ Chí Minh, do đó không thể xác minh hay hỗ trợ cho atomic fact này.  
Đoạn thông tin: Không có đoạn thông tin nào trong nội dung về Hồ Chí Minh liên quan đến Albert Einstein."
Albert Einstein đã gặp Mileva Marić tại trường Polytechnic.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Albert Einstein gặp Mileva Marić tại trường Polytechnic không liên quan đến thông tin về Hồ Chí Minh mà chỉ đề cập đến ông. Không có bất kỳ thông tin nào trong đoạn văn về Albert Einstein hoặc Mileva Marić.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Albert Einstein hoặc Mileva Marić trong văn bản đã cho."
Mileva Marić trở thành vợ của Albert Einstein.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Mileva Marić và Albert Einstein không liên quan đến thông tin đã cung cấp về Donald Trump. Không có bất kỳ thông tin nào trong đoạn văn bản đề cập đến Mileva Marić hoặc Albert Einstein.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến Mileva Marić hoặc Albert Einstein trong văn bản đã cung cấp)."
"Sau khi tốt nghiệp, Albert Einstein làm việc tại Văn phòng cấp bằng sáng chế Thụy Sĩ tại Bern.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Albert Einstein không liên quan đến ngữ cảnh hoặc thông tin cung cấp về Churchill trong đoạn văn. Đoạn văn không đề cập đến Albert Einstein hoặc sự nghiệp của ông, mà chỉ nói về Churchill và các sự kiện liên quan đến ông.  
Đoạn thông tin: Không có thông tin nào về Albert Einstein trong đoạn văn cung cấp."
Albert Einstein phát triển nhiều ý tưởng khoa học quan trọng trong thời gian làm việc tại Văn phòng cấp bằng sáng chế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đề cập đến Albert Einstein, nhưng thông tin cung cấp chỉ liên quan đến Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ về ông. Không có thông tin nào liên quan đến Albert Einstein trong đoạn văn này.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
