Atomic Fact,Label,Reason
Alexandros Đại đế sinh ngày 356 TCN tại Pella.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Alexandros Đại đế không liên quan đến nội dung được cung cấp, vì đoạn văn bản chỉ đề cập đến Napoléon Bonaparte và sự kiện liên quan đến ông, không có thông tin nào về Alexandros Đại đế.  
Đoạn thông tin: ""Dù bị chia cắt khỏi vợ và con trai, những người đã chịu sự kiểm soát của nước Áo, bị cắt khoản trợ cấp được đảm bảo cho ông bởi Hiệp ước Fontainebleau, và dấy lên những tin đồn ông dường như bị trục xuất tới một hòn đảo xa xôi ở Đại Tây Dương, Napoléon trốn khỏi Elba ngày 26 tháng 2 năm 1815..."" (Đoạn thông tin này chủ yếu nói về Napoléon và không liên quan đến Alexandros Đại đế)."
Alexandros Đại đế là con trai của Vua Philip II.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Alexandros Đại đế và Vua Philip II không được đề cập trong đoạn văn bản cung cấp. Đoạn văn tập trung vào Napoléon Bonaparte và các sự kiện liên quan đến ông, không liên quan đến Alexandros Đại đế.  
Đoạn thông tin: <Không có thông tin liên quan đến Alexandros Đại đế và Vua Philip II trong văn bản>"
Alexandros Đại đế là con trai của Nữ hoàng Olympias.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Alexandros Đại đế và Nữ hoàng Olympias không liên quan đến ngữ cảnh và thông tin về Nguyễn Trãi và các nhân vật liên quan trong đoạn văn được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản liên quan đến Alexandros Đại đế hoặc Nữ hoàng Olympias."
Alexandros Đại đế thể hiện tài năng vượt trội từ nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Alexandros Đại đế thể hiện tài năng vượt trội từ nhỏ"" không có thông tin hỗ trợ nào trong đoạn văn bản cung cấp, không đề cập đến bất kỳ thành tích hay tài năng nào của Alexandros từ khi còn nhỏ.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản nói về tài năng của Alexandros từ nhỏ."
Alexandros Đại đế được giáo dục bởi triết gia Aristoteles.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Alexandros Đại đế và triết gia Aristoteles không liên quan đến nhân vật được đề cập trong ngữ cảnh là Võ Nguyên Giáp. Đoạn văn cung cấp chi tiết về Võ Nguyên Giáp và các sự kiện liên quan đến ông, mà không đề cập đến Alexandros Đại đế hay Aristoteles.  
Đoạn thông tin: Không có thông tin nào về Alexandros Đại đế hoặc Aristoteles trong đoạn văn được cung cấp."
Aristoteles đã ảnh hưởng sâu sắc đến tư tưởng và triết lý của Alexandros.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đề cập đến ảnh hưởng của Aristoteles đến tư tưởng và triết lý của Alexandros, nhưng thông tin cung cấp không liên quan đến chủ đề này, mà chỉ nói về ảnh hưởng của Newton và Robert Boyle đối với tư tưởng tôn giáo và giả kim thuật. Không có bất kỳ thông tin nào về Aristoteles hay Alexandros trong đoạn văn.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Aristoteles và Alexandros trong văn bản đã cho."
Alexandros Đại đế lên ngôi vua vào năm 336 TCN.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về thời gian Alexandros Đại đế lên ngôi vua không được đề cập trong đoạn văn, dẫn đến việc không thể xác minh được thông tin này. Đoạn văn chỉ nói về thời gian sinh của ông và các sự kiện khác liên quan đến cuộc đời của ông, nhưng không có thông tin nào về việc ông lên ngôi vua.  
Đoạn thông tin: ""Alexandros sinh ra tại Pella, kinh đô của vương quốc Macedonia, vào ngày 20 hoặc 21 tháng 7 năm 356 TCN."""
Alexandros Đại đế lên ngôi vua ở tuổi 20.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin không được xác nhận trong đoạn văn cung cấp. Đoạn văn chỉ đề cập đến ngày sinh của Alexandros và không cho biết thông tin về độ tuổi khi ông lên ngôi vua.  
Đoạn thông tin: ""Alexandros sinh ra tại Pella, kinh đô của vương quốc Macedonia, vào ngày 20 hoặc 21 tháng 7 năm 356 TCN."""
Alexandros Đại đế nhanh chóng củng cố quyền lực sau khi cha ông bị ám sát.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact được đưa ra không liên quan đến thông tin về Võ Nguyên Giáp và cách mạng Tháng Tám tại Việt Nam, mà nó đề cập đến Alexandros Đại đế, một nhân vật lịch sử khác. Trong thông tin cung cấp, không có đề cập nào đến Alexandros Đại đế hoặc sự củng cố quyền lực của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Alexandros Đại đế trong các thông tin được cung cấp."
Alexandros Đại đế bắt đầu chiến dịch chinh phục để mở rộng đế chế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Alexandros Đại đế và chiến dịch chinh phục không liên quan đến nội dung đã cho về Nhà giáo Hồ Cơ và Đại tướng Võ Nguyên Giáp. Đoạn thông tin chỉ đề cập đến nhận xét của Hồ Cơ về Võ Nguyên Giáp và không đề cập đến bất kỳ thông tin nào về Alexandros Đại đế.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
