Atomic Fact,Label,Reason
Angelina Jolie tên đầy đủ là Angelina Jolie Voight.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của Angelina Jolie không có trong đoạn văn bản cung cấp, mà chỉ có thông tin về J.K. Rowling và các hoạt động từ thiện của bà.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie trong nội dung đã cung cấp."
"Angelina Jolie sinh ngày 4 tháng 6 năm 1975 tại Los Angeles, California, Hoa Kỳ.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh và nơi sinh của Angelina Jolie là không đúng và không thể xác minh từ đoạn thông tin cung cấp, vì đoạn văn chỉ đề cập đến Isaac Newton và không có thông tin nào về Angelina Jolie.  
Đoạn thông tin: Không có thông tin liên quan đến Angelina Jolie trong đoạn văn cung cấp."
Angelina Jolie là một nữ diễn viên nổi tiếng thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến ngữ cảnh được cung cấp, vì đoạn văn chỉ đề cập đến J.K. Rowling và các vấn đề liên quan đến bà, không có thông tin nào về Angelina Jolie.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Angelina Jolie trong ngữ cảnh đã cho.>"
Angelina Jolie là một đạo diễn nổi tiếng thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan gì đến nội dung về Đại tướng Võ Nguyên Giáp. Đoạn văn chỉ nói về Võ Nguyên Giáp và không đề cập đến Angelina Jolie hay bất kỳ thông tin nào liên quan đến cô.  
Đoạn thông tin: Toàn bộ thông tin về Đại tướng Võ Nguyên Giáp không có bất kỳ phần nào liên quan đến Angelina Jolie."
Angelina Jolie là một nhà sản xuất phim nổi tiếng thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến ngữ cảnh của nhân vật được cung cấp, là J.K. Rowling, và không có thông tin nào trong đoạn văn về Angelina Jolie hay công việc của cô.  
Đoạn thông tin: Không có thông tin nào liên quan đến Angelina Jolie trong đoạn văn đã cho."
Angelina Jolie là một nhà hoạt động nhân đạo nổi tiếng thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến nhân vật Võ Nguyên Giáp được đề cập trong ngữ cảnh. Không có thông tin nào trong đoạn văn nói về Angelina Jolie hay bất kỳ hoạt động nhân đạo nào của cô.  
Đoạn thông tin: Không có đoạn thông tin nào trong phần cung cấp có liên quan đến Angelina Jolie."
Angelina Jolie là con gái của diễn viên Jon Voight.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và Jon Voight không liên quan đến nội dung của đoạn văn cung cấp, mà đoạn văn chỉ nói về Thứ Cung Lê Ngọc Hân và các nhân vật liên quan đến bà.  
Đoạn thông tin: Toàn bộ đoạn thông tin cung cấp về Lê Ngọc Hân, Quang Trung và các bà thiếp khác, không đề cập đến Angelina Jolie hay Jon Voight."
Angelina Jolie là con gái của nữ diễn viên Marcheline Bertrand.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Lê Ngọc Hân, mà chỉ tập trung vào bà và những thông tin liên quan đến triều đại, gia đình và các mối quan hệ của bà. Không có thông tin nào liên quan đến Angelina Jolie hay nữ diễn viên Marcheline Bertrand.  
Đoạn thông tin: ""Thứ Cung: Lê Ngọc Hân, con gái thứ của Lê Hiển Tông. Khi Quang Trung lên ngôi, do là công chúa Nhà Lê nên bà trở thành Hoàng hậu, tuy nhiên địa vị của bà vẫn không hơn được Chính Cung là Phạm Thị Liên, và sau này là Bùi Thị Nhạn."""
Angelina Jolie có một người anh trai tên là James Haven.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và anh trai của cô, James Haven, không liên quan đến nhân vật Stephen Hawking và thông tin cung cấp về ông trong đoạn văn.  
Đoạn thông tin: ""Năm 1999, Hawking nhận Giải Julius Edgar Lilienfeld của Hội Vật lý Hoa Kỳ. Cũng năm đó, Jane Hawking công bố hồi ký, Âm nhạc Chuyển động các Vì sao (tựa gốc tiếng Anh: Music to Move the Stars: A Life with Stephen), mô tả cuộc hôn nhân của bà với Hawking và sự đổ vỡ của nó. Những tình tiết bộc lộ trong sách gây một sự xúc động mạnh cho quần chúng và giới truyền thông, nhưng theo cách ông thường cư xử khi liên quan tới đời sống cá nhân, Hawking không có bình luận công khai nào ngoài việc nói ông không đọc những tiểu sử liên quan tới bản thân mình."" (Thông tin này không đề cập đến Angelina Jolie hay James Haven.)"
Angelina Jolie có hai chị em ruột là Vivienne và Knox.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin cung cấp không liên quan đến nhân vật được đề cập trong ngữ cảnh, tức là Phu nhân hồ ly và Lê Lợi. Không có thông tin nào trong đoạn văn đề cập đến Angelina Jolie, Vivienne, hay Knox.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Angelina Jolie, Vivienne và Knox trong thông tin đã cung cấp.>"
Angelina Jolie đã trải qua nhiều khó khăn trong thời thơ ấu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không được đề cập trong bối cảnh thông tin về Ngô Thanh Vân. Do đó, câu hỏi không liên quan đến nội dung đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie trong văn bản."
Cha mẹ của Angelina Jolie ly hôn khi cô mới 1 tuổi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cha mẹ của Angelina Jolie không liên quan đến thông tin được cung cấp về Obama. Đoạn văn chỉ đề cập đến cuộc sống và gia đình của Obama, không có thông tin gì về Angelina Jolie hoặc cha mẹ của cô.  
Đoạn thông tin: (Không có đoạn thông tin liên quan đến Angelina Jolie)"
Angelina Jolie bắt đầu sự nghiệp diễn xuất từ khi còn nhỏ.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận bởi đoạn văn mô tả rằng Angelina Jolie xuất hiện lần đầu trên màn ảnh khi còn nhỏ cùng với cha cô, Jon Voight. Điều này chứng tỏ rằng cô đã bắt đầu sự nghiệp diễn xuất từ khi còn nhỏ.  
Đoạn thông tin: ""Jolie xuất hiện lần đầu trên màn ảnh khi còn nhỏ cùng với cha cô, Jon Voight, trong Lookin' to Get Out (1982)."""
"Angelina Jolie nổi bật với vai diễn trong bộ phim ""Girl, Interrupted"" (1999).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và vai diễn của cô trong bộ phim ""Girl, Interrupted"" không có trong ngữ cảnh thông tin đã cung cấp, mà chỉ tập trung vào J.K. Rowling và các quan điểm của bà về người chuyển giới.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie hoặc bộ phim ""Girl, Interrupted"" trong văn bản đã cung cấp."
"Angelina Jolie đã giành giải Oscar cho Nữ diễn viên phụ xuất sắc nhất với vai diễn trong ""Girl, Interrupted"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về giải Oscar của Angelina Jolie không liên quan đến nhân vật được cung cấp, là J.K. Rowling, và các vấn đề liên quan đến người chuyển giới mà bà đã phát biểu về.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp liên quan đến Angelina Jolie hay giải Oscar."
"Angelina Jolie được biết đến qua vai diễn trong bộ phim ""Lara Croft: Tomb Raider"" (2001).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và vai diễn của cô trong bộ phim ""Lara Croft: Tomb Raider"" không liên quan đến ngữ cảnh của đoạn thông tin đã cung cấp, vốn chủ yếu nói về chính sách đối ngoại và chiến tranh Iraq của Tổng thống Obama.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Angelina Jolie hoặc bộ phim ""Lara Croft: Tomb Raider""."
"Angelina Jolie được biết đến qua vai diễn trong bộ phim ""Mr. & Mrs. Smith"" (2005).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến Joanne Rowling, người mà ngữ cảnh đang đề cập đến. Câu hỏi về Angelina Jolie và bộ phim ""Mr. & Mrs. Smith"" không có bất kỳ sự liên kết nào với thông tin về Rowling.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie hoặc bộ phim ""Mr. & Mrs. Smith"" trong phần thông tin về Joanne Rowling."
"Angelina Jolie được biết đến qua vai diễn trong bộ phim ""Maleficent"" (2014).",Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Angelina Jolie được biết đến qua vai diễn trong bộ phim ""Maleficent"" (2014) được xác nhận là đúng, vì đoạn văn có đề cập đến thành công thương mại lớn nhất của cô đến từ bộ phim này.  
Đoạn thông tin: ""Thành công thương mại lớn nhất của cô đến từ bộ phim giả tưởng Maleficent (2014)."""
Angelina Jolie là một đạo diễn.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Angelina Jolie là một đạo diễn được xác nhận trong đoạn văn, nơi nó nêu rõ rằng cô ""còn là đạo diễn và nhà biên kịch cho một số bộ phim truyền hình như In the Land of Blood and Honey (2011), Unbroken (2014) và bộ phim được đánh giá cao First They Killed My Father (2017).""  
Đoạn thông tin: ""Jolie còn là đạo diễn và nhà biên kịch cho một số bộ phim truyền hình như In the Land of Blood and Honey (2011), Unbroken (2014) và bộ phim được đánh giá cao First They Killed My Father (2017)."""
Angelina Jolie là một nhà sản xuất phim.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Angelina Jolie là một nhà sản xuất phim"" được xác nhận là đúng, vì trong đoạn văn cung cấp thông tin có đề cập rằng cô là ""nhà làm phim"".  
Đoạn thông tin: ""Angelina Jolie Voight sinh ngày 4 tháng 6 năm 1975 là một nữ diễn viên, nhà làm phim và nhà nhân đạo người Mỹ."""
"Angelina Jolie đã đạo diễn bộ phim ""In the Land of Blood and Honey"" (2011).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Angelina Jolie đạo diễn bộ phim ""In the Land of Blood and Honey"" không liên quan đến nội dung thông tin đã cung cấp, mà chỉ tập trung vào sự nghiệp của Leonardo DiCaprio.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Angelina Jolie hoặc bộ phim ""In the Land of Blood and Honey""."
"Angelina Jolie đã đạo diễn bộ phim ""First They Killed My Father"" (2017).",Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Angelina Jolie đã đạo diễn bộ phim ""First They Killed My Father"" (2017) được xác nhận là đúng và có thể tìm thấy trong đoạn văn bản cung cấp.  
Đoạn thông tin: ""First They Killed My Father, chuyển thể điện ảnh của Jolie từ cuốn tự truyện cùng tên của Loung Ung dự định phát hành trên Netflix vào cuối năm 2016. Ngoài đạo diễn bộ phim, cô cũng đồng sáng tác kịch bản với Ung, một nhà hoạt động xã hội sống sót qua sự cai trị của Khmer Đỏ."""
"Bộ phim ""First They Killed My Father"" (2017) dựa trên cuốn tự truyện của Loung Ung.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về bộ phim ""First They Killed My Father"" không có trong đoạn thông tin cung cấp về Trà Giang. Đoạn thông tin chỉ đề cập đến các bộ phim mà Trà Giang tham gia, không liên quan đến bộ phim này.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến bộ phim ""First They Killed My Father"".>"
"Bộ phim ""First They Killed My Father"" (2017) nói về nạn diệt chủng ở Campuchia.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về bộ phim ""First They Killed My Father"" không được đề cập trong đoạn văn thông tin về DiCaprio. Thay vào đó, đoạn văn chỉ nói về bộ phim ""Virunga"" và ""Âm mưu về bò sữa: Bí mật của sự bền vững"".  
Đoạn thông tin: ""DiCaprio là nhà sản xuất điều hành của Virunga, một bộ phim tài liệu năm 2014 của Anh..."" và ""Âm mưu về bò sữa: Bí mật của sự bền vững là một bộ phim tài liệu khác mà anh giữ vai trò nhà sản xuất điều hành trong năm đó..."""
Angelina Jolie nổi tiếng với những hoạt động nhân đạo của mình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến nhân vật Võ Nguyên Giáp, người đã được cung cấp thông tin. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Võ Nguyên Giáp mà không đề cập đến Angelina Jolie hay bất kỳ thông tin nào liên quan đến cô ấy.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie trong nội dung đã cung cấp."
Angelina Jolie là một đại sứ thiện chí của Cao ủy Liên Hợp Quốc về người tị nạn (UNHCR).,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Angelina Jolie là một đại sứ thiện chí của Cao ủy Liên Hợp Quốc về người tị nạn (UNHCR) được xác nhận trong đoạn văn cung cấp, nơi nói rõ rằng cô đã được chọn làm Đại sứ thiện chí của UNHCR vào ngày 27 tháng 8 năm 2001.  
Đoạn thông tin: ""Ngày 27 tháng 8 năm 2001, Jolie được chọn làm Đại sứ thiện chí của Cao ủy Liên Hợp Quốc về người tị nạn tại trụ sở của tổ chức này ở Genève."""
Angelina Jolie đã đi đến nhiều quốc gia để hỗ trợ người tị nạn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không được đề cập trong đoạn văn thông tin cung cấp, mà chỉ đề cập đến các sự kiện liên quan đến Tổng thống Obama và các hoạt động đối ngoại của Hoa Kỳ. Do đó, câu hỏi về Angelina Jolie không liên quan đến ngữ cảnh và thông tin đã cho.  
Đoạn thông tin: Không có thông tin nào liên quan đến Angelina Jolie trong đoạn văn cung cấp."
Angelina Jolie đã đi đến nhiều quốc gia để nâng cao nhận thức về tình trạng của người tị nạn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không có trong ngữ cảnh được cung cấp, mà chỉ có thông tin về Vladimir Putin và các vấn đề liên quan đến ông. Do đó, thông tin về Angelina Jolie không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào phản ánh điều đó vì không có thông tin về Angelina Jolie trong ngữ cảnh."
Angelina Jolie thường xuyên tham gia vào các hoạt động bảo vệ quyền lợi phụ nữ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến nội dung đã được cung cấp, vì văn bản chỉ đề cập đến Vladimir Putin và không có bất kỳ thông tin nào về Angelina Jolie hoặc các hoạt động của cô.  
Đoạn thông tin: (Không có đoạn thông tin nào về Angelina Jolie trong văn bản đã cung cấp.)"
Angelina Jolie thường xuyên tham gia vào các hoạt động bảo vệ quyền lợi trẻ em.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Angelina Jolie không liên quan đến nội dung của đoạn văn cung cấp, trong đó chỉ nói về J.K. Rowling và các hoạt động của bà. Không có thông tin nào trong đoạn văn về Angelina Jolie hay các hoạt động của cô liên quan đến quyền lợi trẻ em.  
Đoạn thông tin: Không có thông tin nào về Angelina Jolie trong đoạn văn."
Angelina Jolie đã từng kết hôn với diễn viên Billy Bob Thornton từ năm 2000 đến 2003.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và cuộc hôn nhân với Billy Bob Thornton không liên quan đến thông tin đã cung cấp về Stephen Hawking. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Stephen Hawking, không đề cập đến bất kỳ nhân vật nào khác hay các sự kiện liên quan đến Angelina Jolie.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Angelina Jolie hoặc Billy Bob Thornton."
Angelina Jolie bắt đầu mối quan hệ với Brad Pitt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mối quan hệ giữa Angelina Jolie và Brad Pitt không có liên quan đến thông tin cung cấp về Stephen Hawking. Đoạn văn chỉ tập trung vào cuộc đời và sự nghiệp của Hawking, không đề cập đến bất kỳ thông tin nào về Angelina Jolie hay Brad Pitt.  
Đoạn thông tin: ""Hawking hiếm khi thảo luận về bệnh tật và các vấn đề thể chất, ngay cả lúc mới yêu với Jane..."" (tất cả thông tin liên quan đến Hawking)"
Angelina Jolie và Brad Pitt có với nhau sáu người con.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie và Brad Pitt không liên quan đến nội dung của đoạn văn bản cung cấp, mà đoạn văn chỉ đề cập đến nhân vật Lê Lợi và các thông tin liên quan đến gia đình ông.  
Đoạn thông tin: Toàn bộ nội dung văn bản về ""Phu nhân hồ ly"" không chứa thông tin nào về Angelina Jolie, Brad Pitt hoặc số lượng con cái của họ."
Ba trong số sáu người con của Angelina Jolie và Brad Pitt được nhận nuôi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc nhận nuôi con của Angelina Jolie và Brad Pitt không có trong đoạn văn bản đã cung cấp về Phu nhân hồ ly và Lê Lợi, do đó không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản liên quan đến Angelina Jolie, Brad Pitt hoặc việc nhận nuôi con."
Angelina Jolie và Brad Pitt kết hôn vào năm 2014.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Angelina Jolie và Brad Pitt kết hôn vào năm 2014 được xác nhận là đúng trong đoạn văn cung cấp, nơi ghi rõ ngày kết hôn của họ.  
Đoạn thông tin: ""Họ thông báo đính hôn sau 7 năm chung sống vào tháng 4 năm 2012, trước khi kết hôn vào ngày 23 tháng 8 năm 2014 tại điền trang Château de Miraval của họ thuộc Correns, tỉnh Var, Provence, vùng Provence-Alpes-Côte d'Azur, Pháp."""
Angelina Jolie và Brad Pitt đã ly hôn vào năm 2016.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Angelina Jolie và Brad Pitt ly hôn vào năm 2016 không được đề cập trong đoạn văn bản cung cấp. Đoạn văn chỉ nói về sự nổi tiếng của Jolie, các hoạt động xã hội của cô, và một số thông tin về hình tượng công chúng của cô mà không có đề cập đến vấn đề hôn nhân hay ly hôn với Brad Pitt.  
Đoạn thông tin: ""Số điểm Q Score của cô giữ trên mức trung bình, ngay cả vào năm 2005, khi cô bị cáo buộc chấm dứt cuộc hôn nhân của Brad Pitt và Jennifer Aniston, cùng lúc hình tượng công chúng của cô trở thành sự kết hợp khó hiểu giữa người bị cáo buộc phá hoại hôn nhân, làm mẹ, biểu tượng gợi cảm và người hoạt động nhân đạo."" (Đoạn này chỉ đề cập đến việc cô bị cáo buộc chấm dứt cuộc hôn nhân của Pitt với Aniston, không đề cập đến việc Jolie và Pitt ly hôn.)"
Angelina Jolie nổi bật trong lĩnh vực điện ảnh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Angelina Jolie không liên quan đến ngữ cảnh của nhân vật được cung cấp, đó là J.K. Rowling. Đoạn văn chỉ tập trung vào các hoạt động của Rowling trong các lĩnh vực từ thiện và văn học, không đề cập đến Angelina Jolie hay sự nghiệp điện ảnh của cô.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Angelina Jolie trong ngữ cảnh được cung cấp."
Angelina Jolie được ngưỡng mộ vì những cống hiến cho nhân loại.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact về Angelina Jolie không liên quan đến thông tin đã cung cấp, vì toàn bộ đoạn văn chỉ nói về các vấn đề liên quan đến nước Nga, khủng bố, quân đội và các giá trị văn hóa, không đề cập đến Angelina Jolie hay bất kỳ cống hiến nào của cô cho nhân loại.  
Đoạn thông tin: ""Mối đe dọa khủng bố vẫn còn rất hiện thực..."" (và các đoạn thông tin khác liên quan đến quân đội và các vấn đề của nước Nga)."
