Atomic Fact,Label,Reason
"Barack Obama là một chính trị gia, luật sư và tác giả người Mỹ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Barack Obama không liên quan đến nhân vật Võ Nguyên Giáp, người được mô tả trong ngữ cảnh. Không có thông tin nào trong đoạn văn đề cập đến Barack Obama hay các khía cạnh về chính trị, luật sư hoặc tác giả của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Barack Obama trong ngữ cảnh về Võ Nguyên Giáp."
Barack Obama nổi tiếng với việc là Tổng thống thứ 44 của Hoa Kỳ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Barack Obama không liên quan đến nội dung cung cấp về Võ Nguyên Giáp và không được đề cập trong đoạn văn nào.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Barack Obama trong phần thông tin về Võ Nguyên Giáp."
Barack Obama là tổng thống da màu đầu tiên trong lịch sử Hoa Kỳ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Barack Obama không liên quan đến nội dung được cung cấp, mà đoạn văn chỉ đề cập đến Đại tướng Võ Nguyên Giáp và nhận xét của nhà giáo Hồ Cơ về ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Tên đầy đủ của Barack Obama là Barack Hussein Obama II.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của Barack Obama không được đề cập trong đoạn thông tin về Đại tướng Võ Nguyên Giáp. Do đó, nó không liên quan đến ngữ cảnh hoặc thông tin được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về Barack Obama."
Barack Obama sinh ngày 4 tháng 8 năm 1961.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Barack Obama không liên quan đến nội dung thông tin về Trần Đại Nghĩa mà tôi có. Không có bất kỳ thông tin nào trong đoạn văn cung cấp liên quan đến Barack Obama.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Barack Obama trong tài liệu được cung cấp.>"
"Barack Obama sinh ra tại Honolulu, Hawaii, Hoa Kỳ.",Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Barack Obama sinh ra tại Honolulu, Hawaii là chính xác và được xác nhận trong đoạn văn cung cấp.  
Đoạn thông tin: ""Obama sinh ngày 4 tháng 8 năm 1961, tại Trung tâm Y tế Kapiolani ở Honolulu, Hawaii."""
Barack Obama theo học Đại học Occidental College ở Los Angeles.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Barack Obama không liên quan đến nhân vật được đề cập, đó là Ngô Bảo Châu. Không có bất kỳ thông tin nào trong đoạn văn về Ngô Bảo Châu liên quan đến Barack Obama hay Đại học Occidental College.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Barack Obama hoặc Đại học Occidental College trong nội dung đã cho về Ngô Bảo Châu."
Barack Obama chuyển đến Đại học Columbia ở New York.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Barack Obama chuyển đến Đại học Columbia ở New York không được đề cập trong đoạn văn thông tin cung cấp. Đoạn văn chỉ nói về các hoạt động và vị trí của Obama tại Chicago và Trường Luật Harvard, không có thông tin nào liên quan đến Đại học Columbia.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn cung cấp liên quan đến việc Obama chuyển đến Đại học Columbia ở New York."
Barack Obama tốt nghiệp với bằng cử nhân khoa học chính trị.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Barack Obama tốt nghiệp với bằng cử nhân khoa học chính trị không được đề cập trong đoạn thông tin cung cấp. Đoạn thông tin chỉ nói về một nhân vật khác, cụ thể là Võ Nguyên Giáp, và không liên quan đến Barack Obama.  
Đoạn thông tin: [Không có đoạn nào liên quan đến Barack Obama hoặc bằng cử nhân khoa học chính trị trong văn bản đã cung cấp.]"
Barack Obama học tại Trường Luật Harvard.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Barack Obama học tại Trường Luật Harvard được xác nhận là đúng trong đoạn văn bản cung cấp, nơi nó nêu rõ ông đã vào Trường Luật Harvard vào cuối năm 1988 và tốt nghiệp với văn bằng tiến sĩ (J.D.) hạng ưu từ Harvard.  
Đoạn thông tin: ""Cuối năm 1988, Obama vào Trường Luật Harvard, rồi được chọn làm biên tập viên cho tờ Harvard Law Review vào cuối năm thứ nhất, và chủ tịch của tờ tạp chí vào năm học thứ hai. [...] Sau khi tốt nghiệp năm 1991 với văn bằng tiến sĩ (J. D.) hạng ưu từ Harvard, ông về Chicago."""
