Atomic Fact,Label,Reason
Donald John Trump sinh ngày 14 tháng 6 năm 1946.,Supported,"Nhãn: Supported  
Lí do: Thông tin về ngày sinh của Donald John Trump (14 tháng 6 năm 1946) được xác nhận là đúng dựa trên nguồn tham khảo là Wikipedia.  
Đoạn thông tin: ""Donald John Trump (phát âm tiếng Anh: /ˈdɒnəld d͡ʒɒn trʌmp/ ; sinh ngày 14 tháng 6 năm 1946) là một tỷ phú, doanh nhân và chính trị gia người Hoa Kỳ."""
"Donald John Trump sinh tại Jamaica, Queens, New York City, Hoa Kỳ.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nơi sinh của Donald John Trump là sai. Theo thông tin đã được cung cấp, Donald Trump không được đề cập và thông tin nói rằng ông sinh ra tại Jamaica, Queens, New York City là không có cơ sở trong đoạn văn về Obama.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Donald John Trump hoặc nơi sinh của ông."
Donald Trump là một doanh nhân.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Donald Trump không liên quan đến nội dung được cung cấp về Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Donald Trump trong thông tin đã được cung cấp."
Donald Trump là một nhà sản xuất truyền hình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Donald Trump không liên quan đến nhân vật Như Phong, người mà chúng ta đang đánh nhãn dựa trên thông tin từ Wikipedia. Đoạn thông tin cung cấp chỉ nói về Như Phong, một nhà văn, nhà lý luận phê bình và nhà báo Việt Nam, không đề cập đến Donald Trump hoặc bất kỳ thông tin nào liên quan đến ông.  
Đoạn thông tin: ""Như Phong (1917-1985) là nhà văn, nhà lý luận phê bình và nhà báo Việt Nam."""
Donald Trump là một chính trị gia.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Donald Trump không liên quan đến nội dung đã cung cấp, mà chỉ tập trung vào Đại tướng Võ Nguyên Giáp và các nhận xét của Nhà giáo Hồ Cơ về ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
Donald Trump nổi tiếng là Tổng thống thứ 45 của Hoa Kỳ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Donald Trump không liên quan đến nội dung của đoạn thông tin cung cấp về Đại tướng Võ Nguyên Giáp. Đoạn văn chỉ đề cập đến Võ Nguyên Giáp và các thành tựu cũng như cuộc đời của ông, không có thông tin nào về Donald Trump hay vị trí của ông trong chính trị Hoa Kỳ.  
Đoạn thông tin: <Không có thông tin về Donald Trump trong đoạn văn cung cấp>"
Donald Trump phục vụ từ tháng 1 năm 2017 đến tháng 1 năm 2021.,Supported,"Nhãn: Supported  
Lí do: Thông tin về thời gian Donald Trump phục vụ làm Tổng thống từ tháng 1 năm 2017 đến tháng 1 năm 2021 đã được xác nhận trong đoạn văn cung cấp thông tin.  
Đoạn thông tin: ""Ông từng là Tổng thống thứ 45 của Hoa Kỳ từ 2017 đến năm 2021."""
Donald Trump là con trai của Fred Trump.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Donald Trump và Fred Trump không liên quan đến nhân vật Lê Công Vinh, người mà đoạn thông tin cung cấp thông tin.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Donald Trump hoặc Fred Trump trong nội dung đã cung cấp."
Fred Trump là một nhà phát triển bất động sản.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Fred Trump là đúng và có thể xác minh qua nguồn thông tin, vì ông được nhắc đến là người đã tham gia vào dự án phát triển bất động sản cùng với Donald Trump.  
Đoạn thông tin: ""Fred và Donald Trump đều tham gia vào dự án, nâng mật độ dân cư của 1.200 căn hộ từ 34% lên 100% với khoản đầu tư 500.000 USD."""
Donald Trump là con trai của Mary Anne MacLeod Trump.,UnSupported,"Nhãn: UnSupported  
Lí do: Thông tin rằng Donald Trump là con trai của Mary Anne MacLeod Trump không được xác nhận trong đoạn văn thông tin được cung cấp. Trong đoạn thông tin không nhắc đến mối quan hệ gia đình của Trump với Mary Anne MacLeod Trump, và thông tin này là sai vì mẹ của Donald Trump là Mary Anne MacLeod Trump.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp xác nhận hay đề cập đến Mary Anne MacLeod Trump là mẹ của Donald Trump, vì vậy thông tin này không thể được hỗ trợ."
