Atomic Fact,Label,Reason
George Washington sinh ngày 22 tháng 2 năm 1732.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Isaac Newton, mà thay vào đó đề cập đến George Washington, một nhân vật khác. Đoạn thông tin về Isaac Newton không đề cập đến ngày sinh hay bất kỳ thông tin nào liên quan đến George Washington.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến George Washington trong thông tin về Isaac Newton."
George Washington qua đời vào ngày 14 tháng 12 năm 1799.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cái chết của George Washington không liên quan đến nội dung thông tin cung cấp, vốn chỉ nói về Churchill và các sự kiện liên quan đến ông trong thời gian ông làm Quốc vụ khanh Thuộc địa.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến George Washington trong văn bản được cung cấp."
George Washington là một trong những nhân vật quan trọng nhất trong lịch sử Hoa Kỳ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về George Washington không liên quan đến nhân vật Võ Nguyên Giáp, người được đề cập trong ngữ cảnh thông tin cung cấp. Không có thông tin nào trong đoạn văn trích dẫn đề cập đến George Washington hay vai trò của ông trong lịch sử Hoa Kỳ.  
Đoạn thông tin: ""Nếu như tiêu chí chọn tướng của Hồ Chủ tịch là 'Đánh thắng Đại tướng được phong Đại tướng' thì suốt cuộc đời mình, Đại tướng Võ Nguyên Giáp đã lần lượt đọ sức và đánh thắng 10 đại tướng của Pháp và Mỹ (4 Pháp và 6 Mỹ), chưa kể đến nhiều viên đại tướng của chính quyền Việt Nam Cộng hoà..."" (và nhiều đoạn khác liên quan đến Võ Nguyên Giáp)."
"George Washington được coi là ""Người sáng lập quốc gia"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về George Washington không có liên quan gì đến ngữ cảnh được cung cấp, mà chỉ đề cập đến Võ Nguyên Giáp và các sự kiện liên quan đến lịch sử Việt Nam.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến George Washington trong văn bản cung cấp)."
George Washington là tổng thống đầu tiên của Hoa Kỳ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về George Washington không liên quan đến nhân vật được đề cập trong ngữ cảnh là Đại tướng Võ Nguyên Giáp và nhà giáo Hồ Cơ.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
George Washington sinh ra tại thuộc địa Virginia.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc George Washington sinh ra tại thuộc địa Virginia là không liên quan đến ngữ cảnh thông tin đã được cung cấp, vì đoạn văn chỉ đề cập đến Barack Obama và không có thông tin nào về George Washington.  
Đoạn thông tin: Không có thông tin liên quan nào trong đoạn văn."
George Washington sinh ra trong một gia đình khá giả.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về George Washington không liên quan đến tiểu sử của Joseph Robinette Biden Jr. và không được đề cập trong ngữ cảnh mà tôi có.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn về Joseph Biden liên quan đến George Washington."
George Washington có một nền tảng giáo dục hạn chế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nền tảng giáo dục của George Washington không được đề cập trong đoạn văn bản đã cung cấp. Mặc dù có một số thông tin liên quan đến cuộc sống và hoạt động tôn giáo của ông, nhưng không có thông tin nào xác nhận hoặc phủ nhận về nền tảng giáo dục của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến nền tảng giáo dục của George Washington."
George Washington chủ yếu học hỏi từ gia đình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""George Washington chủ yếu học hỏi từ gia đình"" không được xác nhận trong thông tin đã cung cấp. Nội dung về gia đình của Washington chỉ nói về nguồn gốc và các thành viên trong gia đình mà không đề cập đến việc ông học hỏi từ họ hay chủ yếu học hỏi từ họ.  
Đoạn thông tin: ""George Washington được sinh ra ở tiểu bang Virginia và là con đầu lòng của ông Augustine Washington (1694-1743) với người vợ thứ hai là bà Mary Ball Washington (1708-1789). Trước khi cưới bà Mary Ball, ông Augustine đã có bốn con với người vợ cả là bà Jane Butler, trong số đó có hai người con chết lúc còn trẻ (Lawrence và Jane) và người con đầu bị chết yểu là Butler. Ông Augustine và bà Mary Ball có với nhau 6 người con, trong đó người con gái út mất lúc 1 tuổi do bị sinh non. Như vậy, George Washington có bốn anh chị cùng cha khác mẹ và năm em ruột."""
George Washington chủ yếu tự học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về George Washington không liên quan đến nội dung đã cung cấp, mà nội dung chỉ nói về Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ về ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
