Atomic Fact,Label,Reason
Greta Thunberg là một nhà hoạt động môi trường người Thụy Điển.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg không liên quan đến nội dung về Ngô Thanh Vân, mà chỉ nói về nhân vật này.  
Đoạn thông tin: Không có thông tin liên quan đến Greta Thunberg trong đoạn văn cung cấp."
Greta Thunberg sinh ngày 3 tháng 1 năm 2003.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh của Greta Thunberg là sai, vì trong đoạn văn không đề cập đến Greta Thunberg, mà chỉ nói về Scarlett Johansson, người sinh ngày 22 tháng 11 năm 1984.  
Đoạn thông tin: ""Scarlett Ingrid Johansson sinh ngày 22 tháng 11 năm 1984, tại quận Manhattan của Thành phố New York."""
Greta Thunberg nổi tiếng với những nỗ lực trong việc nâng cao nhận thức về biến đổi khí hậu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg hoàn toàn không liên quan đến nội dung của đoạn văn về Marie Curie và những khám phá của bà trong lĩnh vực vật lý và hóa học, đặc biệt là liên quan đến phóng xạ. Đoạn văn chỉ đề cập đến các hoạt động nghiên cứu và đóng góp khoa học của Curie mà không có bất kỳ liên kết nào đến Greta Thunberg.  
Đoạn thông tin: ""Bà nhận thức sâu sắc về tầm quan trọng của việc nhanh chóng công bố những khám phá của mình và do đó xây dựng quyền ưu tiên của mình. [...] Nhà Curie đã không lấy bằng sáng chế cho khám phá của họ và thu được rất ít lợi nhuận từ hoạt động kinh doanh ngày càng sinh lời này."""
Greta Thunberg vận động cho hành động cụ thể từ các chính phủ và tổ chức toàn cầu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg không được đề cập trong đoạn văn cung cấp. Tất cả thông tin liên quan đến nhân vật là về Vladimir Putin và tình hình chính trị, kinh tế tại Nga, không liên quan đến Greta Thunberg hay hoạt động của cô.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Greta Thunberg trong văn bản đã cung cấp."
Greta Thunberg bắt đầu hoạt động của mình vào năm 2018.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Greta Thunberg bắt đầu hoạt động của mình vào năm 2018 là không chính xác, vì trong đoạn văn không có thông tin nào xác nhận rằng cô đã bắt đầu hoạt động của mình vào năm này. Đoạn thông tin chỉ đề cập rằng cô đã tham gia vào các cuộc biểu tình và được công nhận trong năm 2018, nhưng không có bằng chứng cho thấy đó là năm bắt đầu hoạt động của cô.  
Đoạn thông tin: ""Thunberg là một trong những người chiến thắng trong cuộc thi viết bài tranh luận của Svenska Dagbladet về khí hậu cho giới trẻ vào tháng 5 năm 2018."" và ""Tháng 11 năm 2018, cô đã được trao học bổng Fryshuset Hình mẫu trẻ của năm."""
Greta Thunberg quyết định bỏ học vào thứ Sáu hàng tuần.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg quyết định bỏ học vào thứ Sáu hàng tuần không có trong đoạn văn bản cung cấp. Đoạn văn bản chỉ nói về Marie Curie và các khám phá của bà, không đề cập đến Greta Thunberg hoặc bất kỳ thông tin nào liên quan đến việc bỏ học.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Greta Thunberg trong văn bản."
Greta Thunberg ngồi biểu tình trước Quốc hội Thụy Điển.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg và việc cô ngồi biểu tình trước Quốc hội Thụy Điển không liên quan đến nội dung của đoạn văn bản đã cung cấp, vì đoạn văn chỉ đề cập đến thông tin về Việt Nam, Nga và Hoa Kỳ, không có bất kỳ thông tin nào liên quan đến Greta Thunberg.  
Đoạn thông tin: <Không có đoạn thông tin liên quan đến Greta Thunberg trong nội dung đã cung cấp.>"
Mục tiêu của Greta Thunberg là kêu gọi chính phủ Thụy Điển thực hiện các biện pháp mạnh mẽ hơn đối phó với biến đổi khí hậu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg không có trong đoạn văn bản cung cấp, do đó không thể xác nhận hay bác bỏ thông tin liên quan đến mục tiêu của cô ấy.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Greta Thunberg hoặc mục tiêu của cô ấy."
"Hành động của Greta Thunberg đã truyền cảm hứng cho phong trào ""Fridays for Future"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Greta Thunberg và phong trào ""Fridays for Future"" không được đề cập trong đoạn văn bản cung cấp về nhân vật, do đó không có liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin nào về Greta Thunberg hoặc phong trào ""Fridays for Future"" trong đoạn văn bản."
"Phong trào ""Fridays for Future"" thu hút hàng triệu học sinh và sinh viên trên toàn thế giới tham gia vào các cuộc biểu tình cho hành động khí hậu.",Supported,"Nhãn: Supported  
Lí do: Thông tin về phong trào ""Fridays for Future"" thu hút hàng triệu học sinh và sinh viên tham gia vào các cuộc biểu tình cho hành động khí hậu được xác nhận là đúng. Đoạn thông tin cung cấp rõ ràng rằng sau cuộc tổng tuyển cử, Greta Thunberg đã truyền cảm hứng cho học sinh trên toàn cầu tham gia vào các cuộc bãi khóa, và tính đến tháng 12 năm 2018, hơn 20.000 sinh viên đã tổ chức bãi khóa tại ít nhất 270 thành phố. Điều này cho thấy sự tham gia rộng rãi của học sinh và sinh viên trong phong trào này.  
Đoạn thông tin: ""Cô đã truyền cảm hứng cho học sinh trên toàn cầu tham gia vào các cuộc bãi khóa của học sinh. Tính đến tháng 12 năm 2018, hơn 20.000 sinh viên đã tổ chức bãi khóa tại ít nhất 270 thành phố..."""
