Atomic Fact,Label,Reason
Isaac Newton là một trong những nhà khoa học vĩ đại nhất trong lịch sử.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Isaac Newton không liên quan đến đoạn thông tin cung cấp về Đại tướng Võ Nguyên Giáp và nhà giáo Hồ Cơ. Đoạn văn chỉ đề cập đến những nhận xét của nhà giáo Hồ Cơ về Võ Nguyên Giáp, không có bất kỳ thông tin nào về Isaac Newton.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu...'"""
Isaac Newton nổi tiếng với những đóng góp to lớn cho lĩnh vực vật lý.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Isaac Newton không liên quan đến nhân vật và ngữ cảnh đã được cung cấp, mà chỉ đề cập đến Đại tướng Võ Nguyên Giáp và những nhận xét của Nhà giáo Hồ Cơ về ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu...'"""
Isaac Newton nổi tiếng với những đóng góp to lớn cho lĩnh vực toán học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Isaac Newton không liên quan đến đoạn văn cung cấp thông tin về Albert Einstein và luận án của ông. Đoạn văn chỉ đề cập đến những đóng góp của Einstein trong lĩnh vực vật lý và nhiệt động học, không có thông tin nào về Isaac Newton.  
Đoạn thông tin: ""Ngày 30 tháng 4 năm 1905, Einstein hoàn thành luận án của mình dưới sự hướng dẫn của Alfred Kleiner, giáo sư vật lý thực nghiệm. Einstein được trao bằng tiến sĩ ở Đại học Zurich. Luận án của ông với tên 'Một cách mới xác định kích thước phân tử'."""
Isaac Newton nổi tiếng với những đóng góp to lớn cho lĩnh vực thiên văn học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Isaac Newton không liên quan đến nội dung đã được cung cấp về Hồ Chí Minh. Đoạn thông tin chỉ nói về Hồ Chí Minh và không đề cập đến Isaac Newton hay những đóng góp của ông cho thiên văn học.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Isaac Newton trong văn bản cung cấp."
Isaac Newton sinh ngày 25 tháng 12 năm 1642.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Isaac Newton không liên quan đến thông tin được cung cấp về Sir Winston Churchill. Đoạn thông tin chỉ đề cập đến cuộc đời và sự nghiệp của Churchill mà không có bất kỳ thông tin nào liên quan đến Isaac Newton.  
Đoạn thông tin: ""Sir Winston Leonard Spencer Churchill (30 tháng 11 năm 1874 – 24 tháng 1 năm 1965) là một chính khách, binh sĩ và cây bút người Anh..."""
"Isaac Newton sinh tại Woolsthorpe, Lincolnshire, Anh.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Isaac Newton không liên quan đến nhân vật Winston Churchill, người mà thông tin đã cung cấp. Không có thông tin nào trong đoạn văn nói về Isaac Newton, do đó, việc đề cập đến ông là không liên quan.  
Đoạn thông tin: Không có thông tin nào liên quan đến Isaac Newton trong đoạn văn về Winston Churchill."
Isaac Newton lớn lên trong một gia đình nông dân.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Isaac Newton lớn lên trong một gia đình nông dân không được xác nhận trong đoạn văn cung cấp. Đoạn văn không đề cập đến xuất thân của Newton, chỉ nói về các đóng góp và vai trò của ông trong khoa học và giáo dục.  
Đoạn thông tin: ""Sir Isaac Newton (25 tháng 12 năm 1642 – 20 tháng 3 năm 1726 (lịch cũ)) là một nhà toán học, nhà vật lý, nhà thiên văn học, nhà thần học, và tác giả (ở thời của ông được gọi là ""nhà triết học tự nhiên"") người Anh, người được công nhận rộng rãi là một trong những nhà toán học vĩ đại nhất và nhà khoa học ảnh hưởng nhất mọi thời đại và là một hình ảnh điển hình trong cách mạng khoa học."""
Isaac Newton mất cha khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin ""Isaac Newton mất cha khi còn nhỏ"" không liên quan đến nhân vật Winston Churchill và không có trong ngữ cảnh đã cung cấp. Tất cả thông tin trong đoạn văn chỉ đề cập đến Winston Churchill, cuộc đời, gia đình và sự nghiệp của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Isaac Newton trong đoạn văn."
Isaac Newton theo học tại Đại học Cambridge.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin ""Isaac Newton theo học tại Đại học Cambridge"" không được xác nhận trong đoạn văn được cung cấp, và không có bất kỳ thông tin nào liên quan đến Isaac Newton trong văn bản.  
Đoạn thông tin: Không có thông tin liên quan đến Isaac Newton trong văn bản."
Isaac Newton bắt đầu nghiên cứu về toán học tại Đại học Cambridge.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận là đúng dựa trên đoạn văn mô tả về sự nghiệp học tập của Isaac Newton, trong đó nêu rõ rằng ông đã được gửi tới Trường đại học Trinity, Cambridge và đã bắt đầu nghiên cứu về toán học tại đây.  
Đoạn thông tin: ""Vào tháng 6 năm 1661, Newton được gửi tới Trường đại học Trinity, Cambridge theo như đề xuất của một người thân và cũng là cựu sinh viên của trường này – William Ayscough. ... Newton đã viết một loạt các câu hỏi (""Quaestiones"") về triết học cơ học trong thời gian này. Năm 1665, cậu phát hiện ra định lý nhị thức tổng quát và bắt đầu phát triển một lý thuyết toán học mà sau này trở thành vi tích phân."""
