Atomic Fact,Label,Reason
J.K. Rowling tên đầy đủ là Joanne Rowling.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của J.K. Rowling không liên quan đến nhân vật Joseph Robinette Biden Jr. được đề cập trong ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào trong phần cung cấp liên quan đến J.K. Rowling hoặc tên đầy đủ của bà."
J.K. Rowling sinh ngày 31 tháng 7 năm 1965.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của J.K. Rowling không liên quan đến thông tin cung cấp về Isaac Newton. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Newton, không đề cập đến J.K. Rowling hay bất kỳ thông tin nào liên quan đến bà.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến J.K. Rowling trong thông tin đã cho."
"J.K. Rowling sinh tại Yate, Gloucestershire, Anh.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nơi sinh của J.K. Rowling là sai. J.K. Rowling thực tế sinh ra ở Yate, Gloucestershire, nhưng thông tin này không được xác nhận trong đoạn văn bản cung cấp về Isaac Newton.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về J.K. Rowling, vì vậy không có thông tin nào để trích dẫn."
J.K. Rowling là một nhà văn nổi tiếng nhất với loạt sách Harry Potter.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc J.K. Rowling là một nhà văn nổi tiếng nhất với loạt sách Harry Potter được xác nhận trong đoạn văn, nơi nhấn mạnh rằng bà là tác giả của bộ truyện Harry Potter, một trong những tác phẩm nổi tiếng nhất của bà.  
Đoạn thông tin: ""Rowling cho biết bà thích thú việc viết dưới một bút danh. Trên trang web Robert Galbraith, Rowling giải thích rằng bà đã lấy tên từ một trong những thần tượng của mình là Robert F. Kennedy, cùng với một tên hư cấu bà tự đặt cho chính mình từ lúc thiếu thời là Ella Galbraith."" và trong phần ""=== Bộ truyện Harry Potter ==="" có liệt kê rõ ràng các tựa sách trong loạt Harry Potter."
Harry Potter là một trong những series sách bán chạy nhất trong lịch sử.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Harry Potter không liên quan đến nội dung tiểu sử của Võ Nguyên Giáp được cung cấp trong ngữ cảnh. Đoạn văn chỉ tập trung vào cuộc đời và sự nghiệp của Võ Nguyên Giáp, không đề cập đến bất kỳ thông tin nào về Harry Potter.  
Đoạn thông tin: Không có thông tin nào liên quan đến Harry Potter trong đoạn văn được cung cấp."
Rowling lớn lên trong một gia đình yêu thích văn học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin được cung cấp không liên quan đến nhân vật Albert Einstein mà là về J.K. Rowling, do đó không thể xác nhận điều này từ đoạn văn bản.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn bản liên quan đến J.K. Rowling hoặc việc lớn lên trong một gia đình yêu thích văn học."
Rowling từ nhỏ đã có niềm đam mê viết lách.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Rowling từ nhỏ đã có niềm đam mê viết lách được xác nhận từ đoạn văn nói về thời thơ ấu của bà, nơi bà thường viết truyện kỳ ảo và đọc cho em gái nghe.  
Đoạn thông tin: ""Khi còn nhỏ, bà thường viết truyện kỳ ảo và thường đọc cho em gái nghe."""
Rowling tốt nghiệp Đại học Exeter với bằng cử nhân ngôn ngữ Pháp và Ngữ văn.,Unsupported,"Nhãn: Unsupported  
Lí do: Không có thông tin nào trong đoạn văn xác nhận rằng Rowling tốt nghiệp Đại học Exeter với bằng cử nhân ngôn ngữ Pháp và Ngữ văn. Đoạn văn chỉ đề cập đến việc bà nhận nhiều bằng danh dự từ Đại học Exeter, nhưng không nêu rõ bà đã học tại đó hay nhận bằng cử nhân ở chuyên ngành nào.  
Đoạn thông tin: ""Rowling nhận nhiều bằng danh dự từ Đại học St Andrews, Đại học Edinburgh, Đại học Edinburgh Napier, Đại học Exeter (mà bà đã theo học), the Đại học Aberdeen, và Đại học Harvard, nơi bà phát biểu tại lễ phát bằng."""
Rowling đã làm việc trong nhiều lĩnh vực khác nhau.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin ""Rowling đã làm việc trong nhiều lĩnh vực khác nhau"" không được xác nhận trong ngữ cảnh đã cho. Đoạn thông tin tập trung chủ yếu vào quan điểm chính trị, các tác phẩm văn học và hoạt động từ thiện của Rowling, nhưng không đề cập đến việc bà làm việc trong nhiều lĩnh vực khác nhau.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về việc Rowling đã làm việc trong nhiều lĩnh vực khác nhau."
Rowling đã làm biên tập viên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Rowling làm biên tập viên không liên quan đến nội dung đã cung cấp, mà nội dung chủ yếu nói về quan điểm của Putin về chủ nghĩa cộng sản và Liên Xô. Không có thông tin nào đề cập đến Rowling trong đoạn văn bản.  
Đoạn thông tin: Không có thông tin nào liên quan đến Rowling trong đoạn văn bản."
Rowling đã làm thư ký.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Rowling làm thư ký không được đề cập trong đoạn văn thông tin về Obama. Nội dung chủ yếu tập trung vào tiểu sử và các sự kiện trong cuộc đời của Obama mà không có liên quan gì đến Rowling.  
Đoạn thông tin: Không có thông tin nào liên quan đến việc Rowling làm thư ký trong đoạn văn đã cung cấp."
