Atomic Fact,Label,Reason
Jane Austen là một trong những nhà văn nổi tiếng nhất trong văn học Anh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jane Austen không liên quan đến nhân vật Nguyễn Nhật Ánh, thông tin chỉ tập trung vào nhà văn người Việt Nam này và không đề cập đến Jane Austen hoặc văn học Anh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jane Austen trong nội dung cung cấp."
Jane Austen được biết đến với những tác phẩm phản ánh sâu sắc xã hội và đời sống của tầng lớp trung lưu vào cuối thế kỷ 18 và đầu thế kỷ 19.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Jane Austen nói rõ rằng bà nổi tiếng với sáu cuốn tiểu thuyết lấy bối cảnh giới địa chủ trung lưu Anh vào cuối thế kỷ 18, và cốt truyện của Austen thường phản ánh tình cảnh phụ thuộc của người phụ nữ vào hôn nhân như là cứu cánh duy nhất để đảm bảo vị thế xã hội và lợi ích vật chất. Điều này cho thấy các tác phẩm của bà có sự phản ánh sâu sắc về xã hội và đời sống của tầng lớp trung lưu trong thời kỳ đó.  
Đoạn thông tin: ""Jane Austen ... nổi tiếng với sáu cuốn tiểu thuyết lấy bối cảnh giới địa chủ trung lưu Anh vào cuối thế kỷ 18. Cốt truyện của Austen thường phản ánh tình cảnh phụ thuộc của người phụ nữ vào hôn nhân như là cứu cánh duy nhất để đảm bảo vị thế xã hội và lợi ích vật chất."""
"Jane Austen sinh ngày 16 tháng 12 năm 1775 tại Steventon, Hampshire, Anh.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh và địa điểm của Jane Austen là sai, vì trong đoạn thông tin cung cấp không có bất kỳ thông tin nào về Jane Austen, mà chỉ nói về Isaac Newton.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jane Austen trong văn bản."
Jane Austen sinh ra trong một gia đình có 8 người con.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jane Austen không được đề cập trong đoạn văn bản về Albert Einstein. Do đó, câu hỏi không liên quan đến ngữ cảnh đã được cung cấp.  
Đoạn thông tin: Không có thông tin về Jane Austen trong văn bản."
Cha của Jane Austen là một linh mục.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact không liên quan đến nhân vật Hồ Chí Minh và thông tin cung cấp về ông. Không có thông tin nào liên quan đến Jane Austen hoặc cha của cô trong đoạn văn đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào phản ánh điều đó trong văn bản."
Mẹ của Jane Austen là một nội trợ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Mẹ của Jane Austen là một nội trợ"" không có liên quan gì đến thông tin về Newton mà chỉ được cung cấp trong ngữ cảnh. Đoạn thông tin về Newton không đề cập đến Jane Austen hay mẹ của cô.  
Đoạn thông tin: Không có thông tin nào liên quan đến Jane Austen hoặc mẹ của cô trong đoạn văn về Newton."
Jane Austen bắt đầu viết từ khi còn rất trẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jane Austen không được đề cập trong ngữ cảnh về Isaac Newton, do đó không liên quan đến nội dung về nhân vật mà chúng tôi đang thảo luận.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jane Austen trong văn bản cung cấp."
Jane Austen đã viết nhiều tác phẩm trong suốt cuộc đời mình.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho rằng Jane Austen đã viết nhiều tác phẩm trong suốt cuộc đời mình được xác nhận là đúng dựa trên nguồn tham khảo từ Wikipedia, nơi nêu rõ rằng bà đã hoàn thành nhiều cuốn tiểu thuyết và các tác phẩm khác.  
Đoạn thông tin: ""Với việc xuất bản Lý trí và tình cảm (1811), Kiêu hãnh và định kiến (1813), Trang viên Mansfield (1814), và Emma (1816), Austen đạt được một số thành công nhất định... Bà còn hoàn thành hai cuốn tiểu thuyết khác - Northanger Abbey (Tu viện Northanger) và Persuasion (Thuyết phục), đều được xuất bản sau khi bà qua đời vào năm 1818 - và một cuốn còn dang dở là Sanditon. Bà cũng để lại bản thảo ba tập truyện thanh thiếu niên, cuốn tiểu thuyết sử thi ngắn Lady Susan và cuốn tiểu thuyết chưa hoàn thành The Watsons (Gia đình Watson)."""
Jane Austen xuất bản cuốn tiểu thuyết đầu tiên của mình vào năm 1811.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Jane Austen xuất bản cuốn tiểu thuyết đầu tiên của mình vào năm 1811 được xác nhận trong nguồn thông tin, cụ thể là cuốn ""Lý trí và tình cảm"".  
Đoạn thông tin: ""Với việc xuất bản Lý trí và tình cảm (1811), Kiêu hãnh và định kiến (1813), Trang viên Mansfield (1814), và Emma (1816), Austen đạt được một số thành công nhất định nhưng do tác phẩm đều được xuất bản ẩn danh, tên tuổi bà hoàn toàn không được biết tới khi còn tại thế."""
"Cuốn tiểu thuyết đầu tiên của Jane Austen là ""Sense and Sensibility"" (Lý trí và Tình cảm).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Cuốn tiểu thuyết đầu tiên của Jane Austen là 'Sense and Sensibility'"" không liên quan đến thông tin về Mark Twain, nhân vật được cung cấp trong ngữ cảnh. Thông tin được yêu cầu không chứa bất kỳ dữ liệu nào về Jane Austen hoặc tác phẩm của bà.  
Đoạn thông tin: Không có thông tin nào liên quan đến Jane Austen trong đoạn văn cung cấp."
Jane Austen cho ra mắt nhiều tác phẩm nổi tiếng khác.,Supported,"Nhãn: Supported  
Lí do: Jane Austen thực sự đã cho ra mắt nhiều tác phẩm nổi tiếng, như ""Lý trí và tình cảm,"" ""Kiêu hãnh và định kiến,"" ""Trang viên Mansfield,"" và ""Emma,"" cũng như các tác phẩm khác được xuất bản sau khi bà qua đời. Các tác phẩm này được công nhận và nổi tiếng trong văn học.  
Đoạn thông tin: ""Với việc xuất bản Lý trí và tình cảm (1811), Kiêu hãnh và định kiến (1813), Trang viên Mansfield (1814), và Emma (1816), Austen đạt được một số thành công nhất định nhưng do tác phẩm đều được xuất bản ẩn danh, tên tuổi bà hoàn toàn không được biết tới khi còn tại thế."" và ""Bà còn hoàn thành hai cuốn tiểu thuyết khác - Northanger Abbey (Tu viện Northanger) và Persuasion (Thuyết phục), đều được xuất bản sau khi bà qua đời vào năm 1818 - và một cuốn còn dang dở là Sanditon."""
"Các tác phẩm nổi tiếng khác của Jane Austen bao gồm ""Pride and Prejudice"" (Kiêu hãnh và Định kiến), ""Emma"", ""Mansfield Park"" và ""Northanger Abbey"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về các tác phẩm nổi tiếng của Jane Austen không liên quan đến nhân vật Isaac Newton và ngữ cảnh được cung cấp, mà chỉ nói về cuộc đời và sự nghiệp của Newton.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jane Austen trong văn bản đã cung cấp."
Tác phẩm của Jane Austen thường xoay quanh các mối quan hệ tình cảm và hôn nhân.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc tác phẩm của Jane Austen thường xoay quanh các mối quan hệ tình cảm và hôn nhân được hỗ trợ bởi nội dung mô tả về các tác phẩm của bà, trong đó có các yếu tố tình cảm và hôn nhân nổi bật. Jane Austen đã được biết đến với việc châm biếm dòng tiểu thuyết tình cảm và thể hiện các mối quan hệ giữa các nhân vật.  
Đoạn thông tin: ""Các tác phẩm của Austen đã châm biếm dòng tiểu thuyết tình cảm chủ đạo nửa sau thế kỷ 18 và góp phần dịch chuyển nền văn học Anh sang chủ nghĩa hiện thực thế kỷ 19."" và ""Theo nhà phê bình Keymer, trong Sense and Sensibility, Austen thể hiện những nhân vật có chiều sâu và động cơ phức tạp, mặc dù đây là một tác phẩm nhại tiểu thuyết diễm tình."""
Tác phẩm của Jane Austen phản ánh những khó khăn mà phụ nữ phải đối mặt trong xã hội thời bấy giờ.,Irrelevant,"Nhãn: Irrelevant
Lí do: Atomic fact đề cập đến tác phẩm của Jane Austen và những khó khăn mà phụ nữ gặp phải trong xã hội, nhưng trong đoạn thông tin về Newton không có bất kỳ thông tin nào liên quan đến Jane Austen hoặc các vấn đề của phụ nữ trong xã hội. Do đó, thông tin này không liên quan đến ngữ cảnh được cung cấp.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jane Austen hoặc khó khăn của phụ nữ trong xã hội trong thông tin về Newton."
