Atomic Fact,Label,Reason
Joe Biden tên đầy đủ là Joseph Robinette Biden Jr.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của Joe Biden không liên quan đến tiểu sử của Donald Trump, nhân vật chính được đề cập trong ngữ cảnh. Thông tin này không được xác nhận trong bất kỳ đoạn nào liên quan đến Donald Trump.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Joe Biden trong văn bản cung cấp."
Joe Biden sinh ngày 20 tháng 11 năm 1942.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Joe Biden không liên quan đến tiểu sử hoặc thông tin về Barack Obama, nhân vật chính trong ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Joe Biden hoặc ngày sinh của ông. Tất cả thông tin chỉ liên quan đến Barack Obama."
"Joe Biden sinh tại Scranton, Pennsylvania, Hoa Kỳ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Joe Biden và nơi sinh của ông không liên quan đến nhân vật Phạm Duy mà đoạn thông tin đã cung cấp. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Phạm Duy mà không đề cập đến Joe Biden.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản liên quan đến Joe Biden hoặc nơi sinh của ông."
Joe Biden là Tổng thống thứ 46 của Hoa Kỳ.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Joe Biden là Tổng thống thứ 46 của Hoa Kỳ"" được xác nhận là đúng và có thể tìm thấy trong đoạn văn bản về Joseph Robinette Biden Jr. được cung cấp.  
Đoạn thông tin: ""Joseph Robinette Biden Jr. ( BY-dən; sinh ngày 20 tháng 11 năm 1942), thường được biết tới với tên Joe Biden là một chính trị gia người Mỹ, tổng thống thứ 46 và đương nhiệm của Hoa Kỳ."""
Joe Biden nhậm chức vào ngày 20 tháng 1 năm 2021.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Joe Biden nhậm chức không liên quan đến nhân vật Hồng Nhung và không được đề cập trong đoạn văn bản thông tin cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Joe Biden trong văn bản."
Biden lớn lên trong một gia đình Công giáo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Biden lớn lên trong một gia đình Công giáo không liên quan đến nội dung thông tin về Đại tướng Võ Nguyên Giáp và những nhận xét của Nhà giáo Hồ Cơ. Đoạn thông tin cung cấp chỉ nói về Võ Nguyên Giáp và không đề cập đến Biden hoặc gia đình của ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Biden trải qua thời thơ ấu ở Scranton.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Biden và thời thơ ấu của ông không được đề cập trong đoạn văn cung cấp về Phạm Duy. Đoạn thông tin chỉ tập trung vào cuộc đời và sự nghiệp của Phạm Duy, không liên quan đến Biden.  
Đoạn thông tin: <Không có thông tin nào về Biden trong đoạn văn cung cấp>"
Gia đình Biden chuyển đến Delaware.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về gia đình Biden không có liên quan gì đến ngữ cảnh và thông tin về nhân vật Phạm Duy. Đoạn văn cung cấp thông tin chi tiết về cuộc đời và sự nghiệp của Phạm Duy, không đề cập đến gia đình Biden hay bất kỳ thông tin nào liên quan đến họ.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến gia đình Biden trong đoạn văn đã cho."
Biden học tại Đại học Delaware.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Biden học tại Đại học Delaware được xác nhận trong đoạn văn nói rõ rằng ông đã tốt nghiệp Cử nhân Nghệ thuật từ trường Đại học Delaware vào năm 1965.  
Đoạn thông tin: ""Ông tốt nghiệp Cử nhân Nghệ thuật trường Đại học Delaware vào năm 1965, với hai chuyên ngành chính lịch sử và khoa học chính trị, cũng như chuyên ngành phụ ngôn ngữ Anh."""
Biden nhận bằng cử nhân về lịch sử.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Biden nhận bằng cử nhân về lịch sử không được xác nhận trong đoạn thông tin cung cấp. Thay vào đó, đoạn văn chỉ đề cập rằng Biden theo học tại Đại học Delaware và lấy bằng luật tại Đại học Syracuse vào năm 1968. Không có thông tin nào cho thấy ông có bằng cử nhân về lịch sử.  
Đoạn thông tin: ""Biden theo học tại Đại học Delaware trước khi lấy bằng luật tại Đại học Syracuse vào năm 1968."""
