Atomic Fact,Label,Reason
Khổng Tử tên thật là Khổng Khâu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không được đề cập trong đoạn văn bản cung cấp, mà đoạn văn bản chỉ nói về Trần Hưng Đạo và các thông tin liên quan đến ông.  
Đoạn thông tin: Không có thông tin liên quan đến Khổng Tử trong đoạn văn bản."
Khổng Tử sinh vào năm 551 trước Công nguyên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không liên quan đến nhân vật Nguyễn Tất Thành, và không có bất kỳ thông tin nào trong ngữ cảnh được cung cấp đề cập đến Khổng Tử.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử trong văn bản đã cho."
Khổng Tử mất vào năm 479 trước Công nguyên.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về cái chết của Khổng Tử không liên quan đến nội dung của đoạn văn về Nguyễn Ái Quốc. Đoạn văn chỉ nói về cuộc đời và hoạt động cách mạng của Nguyễn Ái Quốc mà không đề cập đến Khổng Tử hay bất kỳ thông tin nào về ông.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử trong văn bản đã cung cấp."
Khổng Tử là một nhà tư tưởng nổi tiếng trong lịch sử Trung Quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không liên quan đến nội dung và ngữ cảnh của đoạn văn cung cấp, mà đoạn văn chủ yếu nói về Lê Lợi và các sự kiện liên quan đến ông trong lịch sử Việt Nam.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn đề cập đến Khổng Tử hoặc những đóng góp của ông trong lịch sử Trung Quốc."
Khổng Tử là một triết gia nổi tiếng trong lịch sử Trung Quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Khổng Tử là một triết gia nổi tiếng trong lịch sử Trung Quốc"" không liên quan đến thông tin về Lê Thái Tổ và các sự kiện lịch sử liên quan đến ông mà được cung cấp trong đoạn văn.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn về Khổng Tử hoặc triết gia này. Tất cả thông tin đều xoay quanh Lê Thái Tổ và các sự kiện lịch sử liên quan đến ông."
Khổng Tử là một nhà giáo dục nổi tiếng trong lịch sử Trung Quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không được đề cập trong đoạn văn cung cấp về Võ Nguyên Giáp. Đoạn văn chỉ nói về gia đình của Võ Nguyên Giáp và ảnh hưởng của Nho giáo trong cuộc sống của ông mà không có thông tin cụ thể về Khổng Tử.  
Đoạn thông tin: ""Cha ông là một nhà Nho nên dạy dỗ con cái rất nghiêm cẩn trong sinh hoạt gia đình và học hành, giữ gìn nề nếp gia phong của đạo Khổng."""
Khổng Tử được coi là người sáng lập ra Nho giáo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và Nho giáo không liên quan đến nhân vật được đề cập trong thông tin, đó là Nhà giáo Hồ Cơ và Đại tướng Võ Nguyên Giáp.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Nho giáo là một hệ thống tư tưởng có ảnh hưởng sâu rộng đến văn hóa Trung Quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Nho giáo là một hệ thống tư tưởng có ảnh hưởng sâu rộng đến văn hóa Trung Quốc"" không liên quan đến thông tin cung cấp về tư tưởng của Nguyễn Trãi, mà chỉ nói về ảnh hưởng của Nho giáo trong một bối cảnh rộng hơn là văn hóa Trung Quốc. Nội dung cung cấp chủ yếu tập trung vào tư tưởng Nguyễn Trãi và ảnh hưởng của các trường phái tư tưởng khác đối với ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến ảnh hưởng của Nho giáo đối với văn hóa Trung Quốc."
Nho giáo có ảnh hưởng đến xã hội Trung Quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đưa ra không liên quan đến nội dung đã được cung cấp về tư tưởng Nguyễn Trãi, mà chỉ đề cập đến ảnh hưởng của Nho giáo đối với tư tưởng và xã hội trong bối cảnh Việt Nam. Không có thông tin nào trong đoạn văn đề cập đến ảnh hưởng của Nho giáo đến xã hội Trung Quốc.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến câu hỏi về ảnh hưởng của Nho giáo đến xã hội Trung Quốc trong nội dung đã cung cấp."
Nho giáo ảnh hưởng đến nhiều nước Đông Á khác.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nho giáo và ảnh hưởng của nó đến các nước Đông Á không liên quan đến nội dung của đoạn văn bản được cung cấp, mà đoạn văn chỉ nói về lịch sử gần đây của nước Nga và sự sụp đổ của Liên bang Xô viết.  
Đoạn thông tin: ""Tôi sẽ nhắc lại lịch sử gần đây của nước Nga thêm một lần nữa. Trên hết, chúng ta cần biết rằng sự sụp đổ của Liên bang xô viết là một thảm họa địa chính trị lớn của thế kỷ. Đối với quốc gia Nga, nó đã trở thành một bi kịch thực sự..."" (Toàn bộ đoạn văn bản cung cấp)."
Khổng Tử xuất thân từ một gia đình quý tộc suy tàn ở nước Lỗ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không liên quan đến nội dung đã cung cấp, vì thông tin chỉ nói về nước Nga và các vấn đề liên quan đến chính trị, xã hội của nước này. Không có bất kỳ thông tin nào về Khổng Tử hay gia đình của ông.  
Đoạn thông tin: ""Nước Nga đã đưa ra lựa chọn của mình theo hướng dân chủ. Mười bốn năm trước, một cách độc lập, không bị bất cứ một sức ép nào từ bên ngoài, nó đã đưa ra quyết định đó trên cơ sở lợi ích của chính mình và lợi ích của người dân - những công dân của nó. Đó chính là lựa chọn cuối cùng của chúng tôi, và chúng tôi không có con đường quay trở lại..."" (và các đoạn khác liên quan đến nước Nga)."
"Nước Lỗ nay là tỉnh Sơn Đông, Trung Quốc.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nước Lỗ và tỉnh Sơn Đông, Trung Quốc không liên quan đến ngữ cảnh và thông tin được cung cấp về lịch sử nước Nga và các phát biểu của Putin. Không có bất kỳ thông tin nào trong đoạn văn liên quan đến nước Lỗ hay tỉnh Sơn Đông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về nước Lỗ hay tỉnh Sơn Đông, Trung Quốc."
Cha của Khổng Tử mất sớm.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc cha của Khổng Tử mất sớm không được đề cập trong đoạn thông tin cung cấp. Đoạn văn chỉ nói về Hồ Chí Minh, không liên quan đến Khổng Tử hoặc gia đình của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Khổng Tử trong văn bản được cung cấp."
Mẹ của Khổng Tử đã nuôi dạy ông trong hoàn cảnh khó khăn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mẹ của Khổng Tử không có trong đoạn văn bản cung cấp, mà đoạn văn chủ yếu nói về cuộc đời và sự nghiệp của Phạm Duy. Do đó, không thể xác minh thông tin này từ ngữ cảnh đã cho.  
Đoạn thông tin: Không có trong đoạn văn bản."
Mẹ của Khổng Tử khuyến khích ông theo đuổi tri thức.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mẹ của Khổng Tử khuyến khích ông theo đuổi tri thức không liên quan đến nội dung thông tin về Trịnh Công Sơn. Đoạn văn bản cung cấp chỉ đề cập đến đời tư và sự nghiệp của Trịnh Công Sơn, không có đề cập nào đến Khổng Tử hay mẹ của ông.  
Đoạn thông tin: Không có."
Khổng Tử thể hiện sự ham học hỏi từ nhỏ.,Unsupported,"Nhãn: Unsupported  
Lí do: Không có thông tin nào trong ngữ cảnh đề cập đến Khổng Tử hoặc thể hiện sự ham học hỏi của ông từ nhỏ. Thông tin chỉ nói về cha của Võ Nguyên Giáp, người dạy dỗ con cái nghiêm cẩn về chữ Nho và nề nếp gia phong của đạo Khổng. Điều này không liên quan đến Khổng Tử và không chứng minh được sự ham học hỏi của ông từ nhỏ.  
Đoạn thông tin: ""Cha ông là một nhà Nho nên dạy dỗ con cái rất nghiêm cẩn trong sinh hoạt gia đình và học hành, giữ gìn nề nếp gia phong của đạo Khổng."""
Khổng Tử đã học nhiều lĩnh vực.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến câu hỏi về Khổng Tử và lĩnh vực học tập của ông. Đoạn văn chỉ đề cập đến việc cha của Võ Nguyên Giáp dạy dỗ con cái theo đạo Khổng mà không nói cụ thể về Khổng Tử hay các lĩnh vực mà ông đã học.  
Đoạn thông tin: ""Cha ông là một nhà Nho nên dạy dỗ con cái rất nghiêm cẩn trong sinh hoạt gia đình và học hành, giữ gìn nề nếp gia phong của đạo Khổng. Ông khuyên dạy con: 'Chữ Nho là chữ của Thánh hiền, là nho sinh, các con không được nghịch ngợm, dẫm đạp lên sách vở chữ Nho'."""
Các lĩnh vực mà Khổng Tử học bao gồm văn học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và các lĩnh vực học của ông không được đề cập trong đoạn văn cung cấp, mà chỉ đề cập đến Isaac Newton và các lĩnh vực khác nhau mà ông tham gia.  
Đoạn thông tin: ""Những đóng góp cơ bản của Newton cho khoa học bao gồm việc miêu tả tính toán lực hút hấp dẫn, khám phá ra rằng ánh sáng trắng thực sự là một hỗn hợp của các màu quang phổ bất biến, và thiết lập phép tính vi tích phân."" (Không có bất kỳ thông tin nào liên quan đến Khổng Tử.)"
Các lĩnh vực mà Khổng Tử học bao gồm âm nhạc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và các lĩnh vực học của ông không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ nói về Trịnh Công Sơn, âm nhạc của ông và các thể loại nhạc mà ông sáng tác, không liên quan đến Khổng Tử.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn đề cập đến Khổng Tử hoặc lĩnh vực học của ông."
Các lĩnh vực mà Khổng Tử học bao gồm lịch sử.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và các lĩnh vực học của ông không được đề cập trong đoạn văn bản cung cấp. Toàn bộ nội dung chỉ nói về sự phát triển văn hóa Hy Lạp và ảnh hưởng của nó đến các nền văn minh khác, không liên quan đến Khổng Tử hay lĩnh vực học của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Khổng Tử trong đoạn văn."
Các lĩnh vực mà Khổng Tử học bao gồm triết học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không được đề cập trong đoạn văn cung cấp, mà chỉ nói về Isaac Newton và các lĩnh vực liên quan đến ông, như khoa học, triết học, giả kim thuật và ảnh hưởng tôn giáo. Do đó, thông tin yêu cầu không có liên quan gì đến ngữ cảnh đã cho.  
Đoạn thông tin: Không có thông tin nào liên quan đến Khổng Tử trong đoạn văn."
Khổng Tử trở thành một học giả có uy tín.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Khổng Tử trở thành một học giả có uy tín"" không liên quan đến thông tin được cung cấp về Trần Hưng Đạo. Nội dung thông tin chỉ đề cập đến Trần Hưng Đạo và các sự kiện liên quan đến ông, không có bất kỳ thông tin nào về Khổng Tử.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử trong văn bản."
Khổng Tử có nhiều học trò.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến Khổng Tử mà đề cập đến Nguyễn Trọng Trí (Hàn Mặc Tử), một nhà thơ Việt Nam. Không có thông tin nào về Khổng Tử trong đoạn văn bản được cung cấp.  
Đoạn thông tin: ""Nguyễn Trọng Trí, thường được biết đến với bút danh Hàn Mặc Tử hay Hàn Mạc Tử (22 tháng 9 năm 1912 – 11 tháng 11 năm 1940), là một nhà thơ người Việt Nam..."""
Khổng Tử đã tham gia vào chính trường sau một thời gian dạy học.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Khổng Tử tham gia vào chính trường không được đề cập trong đoạn thông tin về Võ Nguyên Giáp. Đoạn văn chỉ nói về gia đình, nền tảng giáo dục và ý chí cách mạng của Võ Nguyên Giáp, không liên quan đến Khổng Tử hay hoạt động chính trị của ông.  
Đoạn thông tin: ""Cha ông là một nhà Nho nên dạy dỗ con cái rất nghiêm cẩn trong sinh hoạt gia đình và học hành, giữ gìn nề nếp gia phong của đạo Khổng."""
Sự nghiệp chính trị của Khổng Tử không suôn sẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact này đề cập đến sự nghiệp chính trị của Khổng Tử, trong khi thông tin cung cấp chỉ nói về sự nghiệp chính trị của một nhân vật khác (Nguyễn Tấn Dũng). Không có thông tin nào trong đoạn văn liên quan đến Khổng Tử, do đó nó không thể được xác nhận hoặc phủ nhận.  
Đoạn thông tin: Không có đoạn thông tin nào trong đoạn văn cung cấp thông tin về Khổng Tử."
Khổng Tử đã làm quan nhưng chỉ trong thời gian ngắn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không có trong ngữ cảnh đã cung cấp về Hitler. Do đó, không có cơ sở nào để xác minh hay đánh giá thông tin này trong bối cảnh được đưa ra.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử trong văn bản đã cung cấp."
Khổng Tử đã quyết định rời bỏ chính trường.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin ""Khổng Tử đã quyết định rời bỏ chính trường"" không có trong đoạn văn thông tin được cung cấp về nhân vật, mà đoạn văn này chủ yếu nói về quan điểm của Putin về dân chủ, lịch sử và các vấn đề xã hội tại Nga. Không có bất kỳ thông tin nào liên quan đến Khổng Tử hay quyết định của ông liên quan đến chính trị.  
Đoạn thông tin: ""Nước Nga đã đưa ra lựa chọn của mình theo hướng dân chủ. Mười bốn năm trước, một cách độc lập, không bị bất cứ một sức ép nào từ bên ngoài, nó đã đưa ra quyết định đó trên cơ sở lợi ích của chính mình và lợi ích của người dân - những công dân của nó..."" (và các đoạn khác liên quan đến Putin, dân chủ, và lịch sử Nga)."
Khổng Tử du hành khắp nơi để giảng dạy.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử không có trong đoạn văn được cung cấp, và không liên quan đến tiểu sử của Võ Nguyên Giáp.  
Đoạn thông tin: Không có thông tin nào liên quan đến Khổng Tử trong đoạn văn."
Khổng Tử truyền bá tư tưởng của mình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Khổng Tử truyền bá tư tưởng của mình không được đề cập trong ngữ cảnh đã cho. Đoạn văn chỉ nói về tư tưởng của Nguyễn Trãi và ảnh hưởng của Nho giáo, mà không nói đến hoạt động hay sự nghiệp của Khổng Tử trong việc truyền bá tư tưởng.  
Đoạn thông tin: ""Tư tưởng Nguyễn Trãi xuất phát từ Nho giáo, mà cụ thể là Nho giáo Khổng Tử."""
Khổng Tử nhấn mạnh đến giá trị của đạo đức.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến ""Khổng Tử nhấn mạnh đến giá trị của đạo đức"" không liên quan đến nội dung thông tin về Võ Nguyên Giáp, mà chỉ tập trung vào ông và các khía cạnh liên quan đến sự nghiệp quân sự của ông, những quyết định trong chiến tranh, và quan điểm của ông về hy sinh và chỉ huy. Không có bất kỳ thông tin nào trong đoạn văn liên quan đến Khổng Tử hay tư tưởng của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử trong nội dung được cung cấp."
Khổng Tử nhấn mạnh đến giá trị của nhân ái (nhân).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact này không liên quan đến thông tin được cung cấp, vì không có bất kỳ nội dung nào trong đoạn văn đề cập đến Khổng Tử hoặc giá trị của nhân ái (nhân). Thông tin chủ yếu tập trung vào các khái niệm về xã hội, thực dân, và quan điểm cá nhân về hạnh phúc.  
Đoạn thông tin: Toàn bộ đoạn văn không có nội dung liên quan đến Khổng Tử hay giá trị nhân ái."
Khổng Tử nhấn mạnh đến giá trị của lễ nghi (lễ).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và giá trị của lễ nghi không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ nói về các sự kiện liên quan đến vua Gia Long, nhà Tây Sơn, và một số nhân vật như Nguyễn Đề, Nguyễn Nể, và Đoàn Nguyễn Tuấn, nhưng không có thông tin nào liên quan đến Khổng Tử hay lễ nghi.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử hoặc lễ nghi trong văn bản đã cho."
Khổng Tử nhấn mạnh đến giá trị của trí tuệ (tri).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và giá trị của trí tuệ không có trong đoạn văn cung cấp, mà chỉ có thông tin về Nguyễn Trãi và sự nghiệp của ông. Đoạn văn chủ yếu tập trung vào công lao, sự nghiệp và văn chương của Nguyễn Trãi mà không đề cập đến Khổng Tử hay triết lý của ông.  
Đoạn thông tin: ""Công lao sự nghiệp của Nguyễn Trãi rõ ràng là huy hoàng, vĩ đại, Nguyễn Trãi quả thật là anh hùng, là khí phách, là tinh hoa của dân tộc."" (Thông tin về Nguyễn Trãi không liên quan đến Khổng Tử và trí tuệ)."
Khổng Tử nhấn mạnh đến giá trị của sự chính trực (nghĩa).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact này không liên quan đến thông tin về Võ Nguyên Giáp mà chỉ đề cập đến Khổng Tử, một nhân vật khác. Trong thông tin được cung cấp, không có bất kỳ nội dung nào liên quan đến Khổng Tử hay quan điểm của ông về sự chính trực.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Khổng Tử hoặc sự chính trực trong văn bản đã cho."
Khổng Tử tin rằng một xã hội tốt đẹp sẽ được xây dựng dựa trên sự tôn trọng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin được đưa ra không liên quan đến Khổng Tử hoặc niềm tin của ông về xã hội. Đoạn văn bản chủ yếu nói về sự thay đổi bản tính con người, thực dân, và quan niệm cá nhân về hạnh phúc, không đề cập đến Khổng Tử hay triết lý của ông về xã hội tốt đẹp.  
Đoạn thông tin: ""Thay đổi bản tính con người như Mặc Tử, như Karl Marx muốn là chuyện không dễ một sớm một chiều..."" (tổng thể đoạn văn không đề cập đến Khổng Tử)."
Khổng Tử tin rằng một xã hội tốt đẹp sẽ được xây dựng dựa trên lòng nhân ái.,Irrelevant,"Nhãn: Irrelevant  
"
Khổng Tử tin rằng một xã hội tốt đẹp sẽ được xây dựng dựa trên các mối quan hệ xã hội lành mạnh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Khổng Tử và quan điểm của ông về xã hội không được đề cập trong đoạn văn bản cung cấp. Nội dung chỉ nói đến những quan điểm cá nhân về hạnh phúc và xã hội mà không liên quan đến Khổng Tử hay các mối quan hệ xã hội lành mạnh như một nền tảng cho một xã hội tốt đẹp.  
Đoạn thông tin: ""Hồi trẻ, quan niệm của tôi về hạnh phúc là được tự do, độc lập, làm một công việc hữu ích mà mình thích, gia đình êm ấm, con cái học được, phong lưu một chút chứ đừng giàu quá. Nhưng hồi năm mươi tuổi tôi thấy bấy nhiêu chưa đủ, cần thêm điều kiện này nữa: sống trong một xã hội lành mạnh, ổn định và tương đối thịnh vượng."""
