Atomic Fact,Label,Reason
Lê Công Vinh là một trong những cầu thủ bóng đá nổi tiếng nhất của Việt Nam.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Lê Công Vinh là một trong những cầu thủ bóng đá nổi tiếng nhất của Việt Nam"" được xác nhận bởi thông tin trong đoạn văn cung cấp, trong đó có nhắc đến việc anh được xem là một trong những cầu thủ xuất sắc nhất lịch sử bóng đá Việt Nam.  
Đoạn thông tin: ""Anh được xem là một trong những cầu thủ xuất sắc nhất lịch sử bóng đá Việt Nam."""
Lê Công Vinh sinh ngày 10 tháng 12 năm 1985 tại Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Lê Công Vinh không liên quan đến tiểu sử của Trịnh Công Sơn, người được cung cấp thông tin. Không có thông tin nào trong đoạn văn bản nói về Lê Công Vinh, vì vậy thông tin này là không liên quan.  
Đoạn thông tin: Không có thông tin nào liên quan đến Lê Công Vinh trong đoạn văn bản cung cấp về Trịnh Công Sơn."
Lê Công Vinh có khả năng chơi bóng xuất sắc.,Supported,"Nhãn: Supported
Lí do: Thông tin về Lê Công Vinh cho thấy anh là một trong những cầu thủ xuất sắc nhất lịch sử bóng đá Việt Nam, đồng thời cũng sở hữu nhiều kỹ năng và thành tích nổi bật trong sự nghiệp, điều này xác nhận khả năng chơi bóng xuất sắc của anh.
Đoạn thông tin: ""Anh được xem là một trong những cầu thủ xuất sắc nhất lịch sử bóng đá Việt Nam, và là người nắm giữ kỷ lục ghi nhiều bàn thắng nhất cho đội tuyển quốc gia."" và ""Công Vinh là mẫu tiền đạo thiên về tốc độ, điểm mạnh của Vinh chính là khả năng bứt tốc ở cự ly ngắn và trung bình nhờ sức rướn tốt, anh là một trong những cầu thủ nhanh nhất Việt Nam trong thế hệ của mình."""
Lê Công Vinh đã góp mặt trong nhiều câu lạc bộ.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết Lê Công Vinh đã thi đấu cho nhiều câu lạc bộ khác nhau, bao gồm Sông Lam Nghệ An và Leixões SC, cũng như có thời gian chơi cho Hà Nội T&T. Điều này xác nhận rằng anh đã góp mặt trong nhiều câu lạc bộ.  
Đoạn thông tin: ""Lê Công Vinh là cầu thủ Việt Nam đầu tiên được thi đấu ở một trong những giải đấu chuyên nghiệp hàng đầu ở châu Âu là giải vô địch Bồ Đào Nha. Anh hoàn tất thủ tục ký hợp đồng ngắn hạn với câu lạc bộ Leixões SC... Mùa giải V.League 2010, Công Vinh được tin tưởng giao băng đội trưởng của Hà Nội T&T... Kết thúc mùa giải, anh ghi được tổng cộng 10 bàn thắng cho Hà Nội T&T."""
Lê Công Vinh đã góp mặt trong đội tuyển quốc gia Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Công Vinh không liên quan đến nội dung thông tin đã cung cấp về Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Lê Công Vinh bắt đầu sự nghiệp bóng đá của mình tại câu lạc bộ Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Trịnh Công Sơn, mà là về Lê Công Vinh, một cầu thủ bóng đá khác. Đoạn văn chỉ đề cập đến sự nghiệp và sáng tác của Trịnh Công Sơn mà không có thông tin nào về Lê Công Vinh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lê Công Vinh."
Lê Công Vinh đã thể hiện tài năng từ rất sớm tại Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Công Vinh không được đề cập trong đoạn văn về Trịnh Công Sơn. Đoạn văn chỉ nói về sự nghiệp sáng tác của Trịnh Công Sơn và không liên quan đến Lê Công Vinh hay Sông Lam Nghệ An.  
Đoạn thông tin: <Không có thông tin nào liên quan đến Lê Công Vinh trong đoạn văn đã cho.>"
Lê Công Vinh nhanh chóng trở thành một trong những cầu thủ chủ chốt của Sông Lam Nghệ An.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Lê Công Vinh ""nhanh chóng trở thành một trong những cầu thủ chủ chốt của Sông Lam Nghệ An"" không được xác nhận trong đoạn văn. Mặc dù có đề cập rằng anh đã có những bước tiến trong sự nghiệp tại Sông Lam Nghệ An, nhưng không có thông tin nào nói rằng anh trở thành cầu thủ chủ chốt một cách nhanh chóng. Ngược lại, thông tin cho thấy anh đã bị đánh giá thấp và xếp gần cuối trong nhóm 25 người được chọn vào đội trẻ, cho thấy sự khởi đầu khó khăn.  
Đoạn thông tin: ""Khi thi tuyển vào đội trẻ của Sông Lam Nghệ An, Công Vinh xếp gần cuối trong nhóm 25 người được chọn khi bị đánh giá là không có nhiều triển vọng, cả kỹ thuật và tâm lý đều chưa vững."""
Lê Công Vinh đã thi đấu cho nhiều câu lạc bộ khác nhau.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Công Vinh không xuất hiện trong đoạn văn bản cung cấp, mà văn bản chủ yếu nói về Trịnh Công Sơn và sự nghiệp âm nhạc của ông. Do đó, thông tin không liên quan đến ngữ cảnh.  
Đoạn thông tin: ""Hôm nay là ngày mơ ước của tất cả chúng ta... Ngày mà chúng ta giải phóng hoàn toàn đất nước Việt Nam này... Những điều mơ ước của các bạn bấy lâu là độc lập, tự do, và thống nhất thì hôm nay chúng ta đã đạt được tất cả kết quả đó..."" (và các đoạn thông tin khác liên quan đến Trịnh Công Sơn)."
Lê Công Vinh đã thi đấu cho câu lạc bộ Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Công Vinh không có trong đoạn văn cung cấp, do đó không thể xác minh hay liên kết đến nhân vật Trịnh Công Sơn.  
Đoạn thông tin: Không có thông tin liên quan đến Lê Công Vinh trong đoạn văn."
