Atomic Fact,Label,Reason
"Lê Thái Tổ, tên thật là Lê Lợi, sinh năm 1385.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đưa ra không liên quan đến thông tin về Trịnh Công Sơn, mà thay vào đó là thông tin về một nhân vật khác, Lê Thái Tổ. Đoạn thông tin cung cấp chỉ nói về Trịnh Công Sơn và không đề cập gì đến Lê Thái Tổ hay bất kỳ thông tin nào liên quan đến ông.  
Đoạn thông tin: ""Trịnh Công Sơn sinh năm 1939, nhưng có nguồn nói sinh năm 1940. Ông nguyên quán ở làng Minh Hương, xã Vĩnh Tri, thị xã Hương Trà, thành phố Huế..."" (toàn bộ đoạn tiểu sử của Trịnh Công Sơn)."
Lê Thái Tổ mất năm 1433.,Unsupported,"Nhãn: Unsupported  
Lí do: Trong đoạn thông tin không có bất kỳ thông tin nào xác nhận năm mất của Lê Thái Tổ. Thực tế, đoạn thông tin chỉ đề cập đến các sự kiện và chính sách của ông mà không chỉ rõ năm mất.  
Đoạn thông tin: ""Theo sách Lịch triều hiến chương loại chí, chính sách ruộng đất của Lê Thái Tổ gọi là phép quân điền. Triều đình ra lệnh cho các phủ huyện khám đo những ruộng đất đầm bãi công tư làm thành sổ sách."" (Không có thông tin liên quan đến năm mất của Lê Thái Tổ.)"
Lê Thái Tổ là một trong những nhân vật lịch sử nổi bật của Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Thái Tổ không được đề cập trong đoạn văn về Đại tướng Võ Nguyên Giáp. Do đó, câu này không liên quan đến ngữ cảnh của thông tin được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Lê Thái Tổ trong văn bản đã cho."
Lê Thái Tổ nổi tiếng với vai trò lãnh đạo cuộc khởi nghĩa Lam Sơn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Thái Tổ không liên quan đến nhân vật Trịnh Công Sơn, vì đoạn văn chỉ nói về cuộc đời và sự nghiệp của Trịnh Công Sơn mà không đề cập đến Lê Thái Tổ hay bất kỳ cuộc khởi nghĩa nào liên quan.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lê Thái Tổ trong tiểu sử của Trịnh Công Sơn."
Cuộc khởi nghĩa Lam Sơn chống lại sự thống trị của nhà Minh.,Supported,"Nhãn: Supported  
Lí do: Cuộc khởi nghĩa Lam Sơn là một phần quan trọng trong lịch sử Việt Nam, được xác nhận trong thông tin cung cấp, trong đó nêu rõ hoạt động của nghĩa quân Lam Sơn và cuộc chiến chống lại quân Minh từ năm 1418 đến năm 1423. Thông tin này không chỉ xác nhận sự tồn tại của cuộc khởi nghĩa mà còn đề cập đến mục tiêu chống lại sự thống trị của nhà Minh.  
Đoạn thông tin: ""Thời gian từ năm 1418 tới năm 1423, trong 5 năm nghĩa quân Lam Sơn đã có 18 trận đánh với quân Minh."" "
Cuộc khởi nghĩa Lam Sơn diễn ra trong thế kỷ 15.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cuộc khởi nghĩa Lam Sơn không được đề cập trong đoạn văn cung cấp, và ngữ cảnh của đoạn văn chủ yếu tập trung vào các sự kiện liên quan đến Việt Nam Dân Chủ Cộng hòa từ năm 1954 đến 1964, không liên quan đến thế kỷ 15.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến cuộc khởi nghĩa Lam Sơn hoặc thế kỷ 15."
Lê Lợi sinh ra trong một gia đình quý tộc.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Lê Lợi sinh ra trong một gia đình quý tộc không được xác nhận trong đoạn văn cung cấp. Đoạn văn chỉ đề cập đến nguồn gốc và gia đình của Lê Lợi, nhưng không nói rõ rằng gia đình ông là quý tộc. Thực tế, nó cho thấy rằng ông có nguồn gốc từ một dòng họ làm quân trưởng, nhưng không đủ để khẳng định rằng đó là một gia đình quý tộc.  
Đoạn thông tin: ""Căn cứ vào thành phần cư dân ở vùng Lam Sơn hiện nay phần lớn là người Mường và dòng họ Lê Lợi đã mấy đời làm quân trưởng ở đó, có những giả thuyết cho rằng Lê Lợi là một tù trưởng người Mường."" và ""Như vậy có thể khẳng định Lê Lợi là người Kinh, không phải người Mường."""
"Lê Lợi sinh ra ở làng Lạc Thổ, huyện Châu Hòa, tỉnh Thanh Hóa.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Lợi sinh ra ở làng Lạc Thổ, huyện Châu Hòa, tỉnh Thanh Hóa không liên quan đến nhân vật Hoài Linh và các thông tin đã được cung cấp. Trong đoạn văn không có bất kỳ thông tin nào về Lê Lợi hay nơi sinh của ông.  
Đoạn thông tin: Không có thông tin nào về Lê Lợi trong tài liệu đã cho."
Lê Lợi có năng lực lãnh đạo từ sớm.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đưa ra không liên quan đến Đại tướng Võ Nguyên Giáp, mà lại đề cập đến Lê Lợi, một nhân vật lịch sử khác. Vì vậy, không có cơ sở nào để xác nhận thông tin về năng lực lãnh đạo của Lê Lợi trong ngữ cảnh đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Lê Lợi trong văn bản cung cấp."
Lê Lợi có tinh thần yêu nước từ sớm.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Lê Lợi không có trong đoạn văn cung cấp, và do đó không thể xác minh hay liên quan đến nhân vật Trịnh Công Sơn.  
Đoạn thông tin: Không có thông tin liên quan đến Lê Lợi trong đoạn văn cung cấp."
