Atomic Fact,Label,Reason
Mahatma Gandhi tên thật là Mohandas Karamchand Gandhi.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Mahatma Gandhi tên thật là Mohandas Karamchand Gandhi"" được xác nhận là đúng dựa trên nguồn tham khảo từ Wikipedia. Đoạn thông tin cụ thể trong văn bản đã nêu rõ tên khai sinh của ông là Mohandas Karamchand Gandhi.  
Đoạn thông tin: ""Mahatma Gandhi (2 tháng 10 năm 1869 – 30 tháng 1 năm 1948), tên khai sinh là Mohandas Karamchand Gandhi..."""
Mahatma Gandhi sinh ngày 2 tháng 10 năm 1869.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Mahatma Gandhi không liên quan đến Hồ Chí Minh, nhân vật chính trong ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong ngữ cảnh đề cập đến Mahatma Gandhi hoặc ngày sinh của ông."
"Mahatma Gandhi sinh tại Porbandar, Ấn Độ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Mahatma Gandhi không được đề cập trong đoạn văn bản cung cấp, do đó không thể xác nhận thông tin này.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến nơi sinh của Mahatma Gandhi."
Mahatma Gandhi là một nhà lãnh đạo vĩ đại của phong trào độc lập Ấn Độ.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Mahatma Gandhi là một nhà lãnh đạo vĩ đại của phong trào độc lập Ấn Độ"" được xác nhận là đúng bởi vì Gandhi đã lãnh đạo cuộc kháng chiến chống lại chế độ thực dân của Đế quốc Anh và giành độc lập cho Ấn Độ, với sự ủng hộ của hàng triệu người dân. Ông được tôn kính và gọi là Mahatma, nghĩa là ""Linh hồn vĩ đại"", và được xem là một trong những nhà lãnh đạo Ấn Độ vĩ đại nhất.  
Đoạn thông tin: ""Mahatma Gandhi (2 tháng 10 năm 1869 – 30 tháng 1 năm 1948), tên khai sinh là Mohandas Karamchand Gandhi... là một vị anh hùng dân tộc Ấn Độ, người chỉ đạo cuộc kháng chiến chống chế độ thực dân của Đế quốc Anh và giành độc lập cho Ấn Độ với sự ủng hộ của hàng triệu người dân."" và ""Ông được hàng triệu dân Ấn Độ gọi một cách tôn kính là Mahatma, nghĩa là 'Linh hồn vĩ đại'."""
Mahatma Gandhi là một trong những nhân vật có ảnh hưởng nhất trong lịch sử thế giới.,Supported,"Nhãn: Supported  
Lí do: Mahatma Gandhi được mô tả là một ""vị anh hùng dân tộc Ấn Độ"" và người đã ""chỉ đạo cuộc kháng chiến chống chế độ thực dân của Đế quốc Anh và giành độc lập cho Ấn Độ với sự ủng hộ của hàng triệu người dân"". Hơn nữa, nguyên lý bất bạo lực (Satyagraha) của ông đã ""ảnh hưởng đến các phong trào đấu tranh bất bạo động trong và ngoài nước cho đến ngày nay"", cho thấy tác động lớn của ông không chỉ ở Ấn Độ mà còn trên toàn thế giới, bao gồm cả phong trào Dân quyền Hoa Kỳ do Martin Luther King, Jr. lãnh đạo.  
Đoạn thông tin: ""Mahatma Gandhi (2 tháng 10 năm 1869 – 30 tháng 1 năm 1948), tên khai sinh là Mohandas Karamchand Gandhi, là một vị anh hùng dân tộc Ấn Độ, người chỉ đạo cuộc kháng chiến chống chế độ thực dân của Đế quốc Anh và giành độc lập cho Ấn Độ với sự ủng hộ của hàng triệu người dân... Nguyên lý bất bạo lực (còn gọi là bất hại) được ông đề xướng với tên Satyagraha đã ảnh hưởng đến các phong trào đấu tranh bất bạo động trong và ngoài nước cho đến ngày nay, bao gồm phong trào Dân quyền Hoa Kỳ được dẫn đầu bởi Martin Luther King, Jr."""
Mahatma Gandhi nổi tiếng với triết lý bất bạo động (ahimsa).,Supported,"Nhãn: Supported  
Lí do: Thông tin về Mahatma Gandhi nổi tiếng với triết lý bất bạo động (ahimsa) được xác nhận trong đoạn văn cung cấp, nơi ghi rõ rằng ""Bất hại cũng được hiểu là Bất bạo động"" và rằng Gandhi coi bất bạo động là con đường dẫn đến chân lý. Điều này cho thấy sự liên kết mạnh mẽ giữa Gandhi và triết lý bất bạo động.  
Đoạn thông tin: ""Bất hại cũng được hiểu là Bất bạo động. Theo Gandhi, chỉ một con đường dẫn đến chân lý, và con đường này mang tên Bất hại."""
Mahatma Gandhi nổi tiếng với bất tuân dân sự.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Mahatma Gandhi nổi tiếng với bất tuân dân sự được xác nhận qua việc ông lãnh đạo cuộc kháng chiến chống lại chế độ thực dân và áp dụng nguyên lý bất bạo lực, được biết đến là Satyagraha, mà trong đó bao gồm các hình thức bất tuân dân sự. Điều này cho thấy ông đã áp dụng và trở thành biểu tượng cho phong trào bất tuân dân sự.  
Đoạn thông tin: ""Nguyên lý bất bạo lực (còn gọi là bất hại) được ông đề xướng với tên Satyagraha đã ảnh hưởng đến các phong trào đấu tranh bất bạo động trong và ngoài nước cho đến ngày nay, bao gồm phong trào Dân quyền Hoa Kỳ được dẫn đầu bởi Martin Luther King, Jr."" và ""Bằng phương diện bất hợp tác, Gandhi đã dẫn khởi nền độc lập Ấn Độ, đưa nước mình thoát khỏi sự đô hộ của Anh, khích lệ những người dân bị đô hộ khác phấn đấu cho nền độc lập của nước nhà và đả đảo triệt để Đế quốc Anh."""
"Mahatma Gandhi học luật tại London, Anh.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Mahatma Gandhi học luật tại London không liên quan đến nội dung về Winston Churchill trong đoạn thông tin được cung cấp. Đoạn văn chỉ đề cập đến sự nghiệp và cuộc sống cá nhân của Churchill trong giai đoạn 1921-1922, không có bất kỳ thông tin nào liên quan đến Gandhi.  
Đoạn thông tin: ""Churchill trở thành Quốc vụ khanh Thuộc địa vào tháng 2 năm 1921. Vào tháng sau, bức tranh đầu tiên do ông vẽ được trưng bày khuyết danh ở một triển lãm tại Paris..."" (toàn bộ đoạn thông tin về Churchill không đề cập đến Gandhi)."
"Mahatma Gandhi tốt nghiệp luật tại London, Anh.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Mahatma Gandhi tốt nghiệp luật tại London, Anh không được đề cập trong đoạn văn bản cung cấp. Nội dung chủ yếu nói về Churchill và các sự kiện trong cuộc đời ông, không liên quan đến Gandhi.  
Đoạn thông tin: Không có thông tin liên quan đến Mahatma Gandhi trong đoạn văn bản."
Mahatma Gandhi làm việc tại Nam Phi.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Mahatma Gandhi làm việc tại Nam Phi"" được xác nhận là đúng dựa trên đoạn văn mô tả về những năm sống của Gandhi tại Nam Phi, nơi ông đã phát triển các khái niệm và kỹ thuật của phương pháp bất hợp tác và phản đối bất bạo lực.  
Đoạn thông tin: ""Những năm lưu trú tại Nam Phi với tư cách một người chủ trương hành động chuyên về xã hội chính trị chính là thời kì những khái niệm và kĩ thuật của phương pháp bất hợp tác và phản đối bất bạo lực được phát triển."""
