Atomic Fact,Label,Reason
Malala Yousafzai là một nhà hoạt động vì quyền giáo dục.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Malala Yousafzai không có trong đoạn văn cung cấp về Angelina Jolie. Đoạn văn chỉ nói về các hoạt động và đóng góp của Jolie trong lĩnh vực bảo tồn, phát triển cộng đồng, và giáo dục trẻ em, nhưng không đề cập gì đến Malala Yousafzai.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Malala Yousafzai trong văn bản cung cấp."
Malala Yousafzai là một biểu tượng toàn cầu trong cuộc chiến chống lại bất bình đẳng giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Malala Yousafzai không được đề cập trong đoạn văn bản cung cấp, và vì vậy không có cơ sở để xác nhận hoặc phủ nhận thông tin này.  
Đoạn thông tin: Không có thông tin nào liên quan đến Malala Yousafzai trong đoạn văn bản."
Malala Yousafzai là một biểu tượng toàn cầu trong cuộc chiến chống lại bạo lực.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho rằng Malala Yousafzai là một biểu tượng toàn cầu trong cuộc chiến chống lại bạo lực được xác nhận bởi các nguồn thông tin trong đoạn văn, đặc biệt là khi đề cập đến việc vụ ám sát đã biến cô trở thành biểu tượng toàn cầu và sự phẫn nộ của cả đất nước Pakistan cũng như sự ủng hộ từ cộng đồng quốc tế.  
Đoạn thông tin: ""Vụ ám sát đã biến cô trở thành biểu tượng toàn cầu. Cả đất nước Pakistan phẫn nộ, ngày 12 tháng 10 năm 2012, người dân cả nước Pakistan đã cầu nguyện cho Malala."" và ""Chính phủ Hoa Kỳ, Tổng thư ký Liên Hợp Quốc Ban Ki Moon, UNICEF, Quỹ Phụ nữ toàn cầu... đều lên án hành vi tàn bạo của Taliban."""
Malala Yousafzai sinh ngày 12 tháng 7 năm 1997.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Malala Yousafzai không liên quan đến ngữ cảnh thông tin đã cung cấp, chủ yếu xoay quanh cuộc đời và con cái của Angelina Jolie.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn bản cung cấp liên quan đến Malala Yousafzai hoặc ngày sinh của cô."
Malala Yousafzai sinh tại Mingora.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Malala Yousafzai sinh tại Mingora"" được xác nhận là đúng dựa trên thông tin trong đoạn văn mô tả tiểu sử của Malala Yousafzai, nơi nêu rõ rằng cô ""là một nữ sinh đến từ thị xã Mingora ở huyện Swat, tỉnh Khyber Pakhtunkhwa, Pakistan.""  
Đoạn thông tin: ""Malala Yousafzai (tiếng Pashtun: ملاله یوسفزۍ Malālah Yūsafzay, sinh ngày 12 tháng 7 năm 1997) là một nữ sinh đến từ thị xã Mingora ở huyện Swat, tỉnh Khyber Pakhtunkhwa, Pakistan."""
"Mingora là một thành phố ở thung lũng Swat, Pakistan.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Mingora không được đề cập đến trong đoạn văn bản cung cấp, do đó không liên quan đến bối cảnh hoặc thông điệp chính trong văn bản.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Mingora hoặc thung lũng Swat, Pakistan."
Malala lớn lên trong một gia đình có truyền thống giáo dục.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Malala không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Barack Obama.  
Đoạn thông tin: Không có thông tin liên quan đến Malala trong đoạn văn cung cấp."
Cha của Malala là Ziauddin Yousafzai.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cha của Malala không có trong đoạn văn bản thông tin được cung cấp, mà chỉ đề cập đến Barack Obama và các thông tin liên quan đến ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Malala hoặc cha của cô trong văn bản."
Ziauddin Yousafzai là một giáo viên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ziauddin Yousafzai không có trong đoạn văn bản cung cấp về Võ Nguyên Giáp. Do đó, thông tin này không liên quan đến ngữ cảnh đã cho.  
Đoạn thông tin: Không có thông tin liên quan đến Ziauddin Yousafzai trong đoạn văn bản."
Ziauddin Yousafzai là một nhà hoạt động xã hội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ziauddin Yousafzai không xuất hiện trong đoạn văn cung cấp. Đoạn văn chỉ nói về Võ Nguyên Giáp và các sự kiện liên quan đến ông, không đề cập đến Ziauddin Yousafzai hay hoạt động xã hội của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Ziauddin Yousafzai trong đoạn văn được cung cấp."
Malala đã thể hiện niềm đam mê học tập từ nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Malala không xuất hiện trong đoạn văn cung cấp. Đoạn văn chủ yếu nói về cuộc đời và sự nghiệp của Maria Skłodowska (Marie Curie) mà không liên quan đến Malala hoặc niềm đam mê học tập của cô.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Malala."
Malala ủng hộ quyền giáo dục cho trẻ em.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Malala và quyền giáo dục cho trẻ em không được đề cập trong đoạn văn cung cấp về Obama. Do đó, nó không liên quan đến ngữ cảnh được đưa ra.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Malala hoặc quyền giáo dục cho trẻ em."
Malala ủng hộ quyền giáo dục cho trẻ em gái.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Malala và quyền giáo dục cho trẻ em gái không có trong đoạn thông tin cung cấp về Obama. Đoạn văn chỉ đề cập đến các chính sách và hành động của Obama mà không liên quan đến Malala.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Malala hoặc quyền giáo dục cho trẻ em gái trong văn bản đã cho."
