Atomic Fact,Label,Reason
Marie Curie tên thật là Maria Skłodowska.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên thật của Marie Curie không liên quan đến nội dung của đoạn văn bản cung cấp, mà đoạn văn chủ yếu nói về Albert Einstein, gia đình của ông và sự nghiệp hàn lâm của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Marie Curie hay tên thật của bà."
Marie Curie sinh ngày 7 tháng 11 năm 1867.,Supported,"Nhãn: Supported  
Lí do: Thông tin về ngày sinh của Marie Curie đã được xác nhận là chính xác và có thể tìm thấy trong thông tin cung cấp từ Wikipedia.  
Đoạn thông tin: ""Maria Skłodowska sinh ngày 7 tháng 11 năm 1867 tại Warszawa, Vương quốc Ba Lan thuộc Đế quốc Nga..."""
"Marie Curie sinh tại Warsaw, Ba Lan.",Supported,"Nhãn: Supported  
Lí do: Thông tin ""Marie Curie sinh tại Warsaw, Ba Lan"" được xác nhận là đúng dựa trên nguồn tham khảo là Wikipedia, nơi nêu rõ rằng bà sinh ra ở Warszawa, Vương quốc Ba Lan thuộc Đế quốc Nga.  
Đoạn thông tin: ""Curie sinh ra ở Warszawa, lúc ấy nằm ở Vương quốc Ba Lan, một phần của Đế quốc Nga."""
Marie Curie là một nhà vật lý nổi tiếng.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Marie Curie là một nhà vật lý nổi tiếng"" được xác nhận là đúng trong ngữ cảnh vì Marie Curie được miêu tả là một nhà vật lý và nhà hóa học, và bà có những đóng góp nổi bật trong lĩnh vực nghiên cứu về phóng xạ.  
Đoạn thông tin: ""Maria Salomea Skłodowska-Curie... là một nhà vật lý và nhà hóa học người Pháp gốc Ba Lan, chủ nhân của nghiên cứu tiên phong về phóng xạ."""
Marie Curie là một nhà hóa học nổi tiếng.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Marie Curie là một nhà hóa học nổi tiếng"" được xác nhận là đúng, vì trong đoạn văn cung cấp, Marie Curie được mô tả là ""một nhà vật lý và nhà hóa học người Pháp gốc Ba Lan"" và bà đã đoạt giải Nobel Hóa học năm 1911. Điều này cho thấy bà không chỉ là một nhà hóa học mà còn nổi tiếng trong lĩnh vực này.  
Đoạn thông tin: ""Maria Salomea Skłodowska-Curie ... là một nhà vật lý và nhà hóa học người Pháp gốc Ba Lan, chủ nhân của nghiên cứu tiên phong về phóng xạ."" và ""Marie đoạt giải Nobel Hóa học năm 1911 nhờ phát hiện ra các nguyên tố poloni và radi..."""
Marie Curie được biết đến với những nghiên cứu tiên phong về phóng xạ.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Marie Curie được biết đến với những nghiên cứu tiên phong về phóng xạ"" được khẳng định trong đoạn văn thông tin, điều này cho thấy sự chính xác của nó dựa trên nguồn gốc từ Wikipedia.  
Đoạn thông tin: ""Maria Salomea Skłodowska-Curie ... là một nhà vật lý và nhà hóa học người Pháp gốc Ba Lan, chủ nhân của nghiên cứu tiên phong về phóng xạ."""
Marie Curie là người phụ nữ đầu tiên nhận giải Nobel.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact này không liên quan đến thông tin được cung cấp về Nguyễn Phú Trọng, mà chủ yếu nói về một nhân vật khác, Marie Curie, không có liên hệ nào với nội dung thông tin về Nguyễn Phú Trọng.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản nói về Marie Curie hoặc giải Nobel."
Marie Curie là người duy nhất giành được hai giải Nobel trong hai lĩnh vực khoa học khác nhau.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Marie Curie không liên quan đến nội dung thông tin được cung cấp về Nguyễn Phú Trọng và các sự kiện liên quan đến ông. Không có thông tin nào trong đoạn văn này đề cập đến Marie Curie hay giải Nobel.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về Marie Curie hoặc các giải Nobel. Tất cả thông tin đều liên quan đến Nguyễn Phú Trọng và các sự kiện trong chính trị Việt Nam."
Marie Curie giành Giải Nobel Vật lý vào năm 1903.,Unsupported,"Nhãn: Unsupported  
Lí do: Atomic fact ""Marie Curie giành Giải Nobel Vật lý vào năm 1903"" không chính xác vì thông tin từ nguồn Wikipedia cho biết rằng giải Nobel Vật lý năm 1903 được trao cho Pierre Curie, Marie Curie và Henri Becquerel, nhưng không nêu rõ rằng Marie Curie là người giành giải Nobel riêng biệt vào năm đó. Câu này cũng không đề cập rõ ràng rằng Marie Curie là người giành giải độc lập mà chỉ nói rằng bà là một trong những người được vinh danh.  
Đoạn thông tin: ""Tháng 12 năm 1903, Viện Hàn lâm Khoa học Hoàng gia Thụy Điển đã trao giải Nobel Vật lý cho Pierre Curie, Marie Curie và Henri Becquerel, 'nhằm ghi nhận những cống hiến phi thường mà họ thực hiện được nhờ nghiên cứu chung hiện tượng bức xạ do Giáo sư Henri Becquerel khám phá ra.'"""
Marie Curie giành Giải Nobel Vật lý cùng với chồng là Pierre Curie.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Marie Curie và giải Nobel Vật lý không liên quan đến nhân vật Nguyễn Phú Trọng, người được đề cập trong ngữ cảnh. Không có thông tin nào liên quan đến Marie Curie trong đoạn văn cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Marie Curie trong văn bản."
