Atomic Fact,Label,Reason
Martin Luther King Jr. là một nhà lãnh đạo dân quyền nổi tiếng người Mỹ.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Martin Luther King Jr. là chính xác và được xác nhận trong ngữ cảnh của Mahatma Gandhi, nơi ông được nhắc đến như một nhà lãnh đạo dân quyền nổi tiếng và là người chịu ảnh hưởng từ nguyên lý bất bạo lực của Gandhi.  
Đoạn thông tin: ""Nguyên lý bất bạo lực (còn gọi là bất hại) được ông đề xướng với tên Satyagraha đã ảnh hưởng đến các phong trào đấu tranh bất bạo động trong và ngoài nước cho đến ngày nay, bao gồm phong trào Dân quyền Hoa Kỳ được dẫn đầu bởi Martin Luther King, Jr."""
Martin Luther King Jr. được biết đến với vai trò quan trọng trong phong trào đấu tranh cho quyền công dân của người da màu tại Hoa Kỳ trong những năm 1950 và 1960.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Martin Luther King Jr. không có liên quan đến nội dung về Nelson Mandela và hoạt động của ông trong phong trào chống chủ nghĩa apartheid ở Nam Phi. Đoạn thông tin cung cấp không đề cập đến Martin Luther King Jr. hay phong trào quyền công dân tại Hoa Kỳ.
Đoạn thông tin: Không có thông tin nào trong đoạn văn cung cấp liên quan đến Martin Luther King Jr."
"Martin Luther King Jr. sinh ra tại Atlanta, Georgia.",UnSupported,"Nhãn: UnSupported  
Lí do: Thông tin về nơi sinh của Martin Luther King Jr. là sai, vì Albert Einstein là nhân vật được đề cập trong ngữ cảnh và không liên quan đến Martin Luther King Jr.  
Đoạn thông tin: Không có đoạn thông tin nào trong tài liệu cung cấp thông tin về Martin Luther King Jr. hay Atlanta, Georgia. Tất cả thông tin chỉ nói về Albert Einstein và tiểu sử của ông."
Martin Luther King Jr. sinh ra trong một gia đình theo đạo Tin Lành.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Martin Luther King Jr. sinh ra trong một gia đình theo đạo Tin Lành là không chính xác. Dựa trên đoạn văn cung cấp, ông được mô tả là con trai của một Mục sư Baptist, không phải Tin Lành. Đạo Baptist là một nhánh của Kitô giáo, nhưng không đồng nghĩa với đạo Tin Lành.  
Đoạn thông tin: ""King sinh ra tại Alanta, Georgia, là con trai của Mục sư Martin Luther King, Sr. và vợ, Alberta Williams King."""
Martin Luther King Jr. có cha là Martin Luther King Sr.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Martin Luther King Jr. có cha là Martin Luther King Sr. được xác nhận là đúng dựa trên thông tin trong đoạn văn.  
Đoạn thông tin: ""King sinh ra tại Alanta, Georgia, là con trai của Mục sư Martin Luther King, Sr. và vợ, Alberta Williams King."""
Martin Luther King Sr. cũng là một mục sư.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Martin Luther King Sr. cũng là một mục sư được xác nhận trong đoạn thông tin về xuất thân của Martin Luther King, Jr., nơi nêu rõ rằng ông là con trai của Mục sư Martin Luther King, Sr.  
Đoạn thông tin: ""King sinh ra tại Alanta, Georgia, là con trai của Mục sư Martin Luther King, Sr. và vợ, Alberta Williams King."""
Martin Luther King Sr. có ảnh hưởng lớn đến tư tưởng và quan điểm của Martin Luther King Jr.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Martin Luther King Sr. và Martin Luther King Jr. không có trong đoạn văn bản cung cấp, do đó không thể xác nhận thông tin này.  
Đoạn thông tin: Không có thông tin liên quan trong đoạn văn bản."
Martin Luther King Jr. học tại Đại học Morehouse.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Martin Luther King Jr. học tại Đại học Morehouse không được đề cập trong đoạn văn thông tin về Gandhi, vì vậy nó không liên quan đến ngữ cảnh đã cho.  
Đoạn thông tin: ""Vào tuổi 19, Gandhi vào Đại học College Luân Đôn (một trường thuộc Đại học Luân Đôn) học ngành luật."""
Martin Luther King Jr. theo học tại trường thần học Crozer.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Martin Luther King Jr. theo học tại trường thần học Crozer không được đề cập trong đoạn thông tin cung cấp về Isaac Newton. Đoạn văn chỉ tập trung vào cuộc đời và học vấn của Isaac Newton, không liên quan đến Martin Luther King Jr.  
Đoạn thông tin: ""Isaac Newton được sinh ra (theo lịch Julius, đang được sử dụng ở Anh vào thời điểm đó) vào ngày Giáng sinh, 25 tháng 12 năm 1642 (lịch mới là ngày 4 tháng 1 năm 1643)..."" (và các đoạn tiếp theo về cuộc đời và sự nghiệp của Isaac Newton)."
Martin Luther King Jr. nhận bằng tiến sĩ tại Đại học Boston.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Martin Luther King Jr. nhận bằng tiến sĩ tại Đại học Boston không liên quan đến thông tin đã cung cấp về Barack Obama. Đoạn thông tin không đề cập đến Martin Luther King Jr. hay bất kỳ chi tiết nào liên quan đến ông.  
Đoạn thông tin: <Không có> (Không có thông tin nào liên quan đến Martin Luther King Jr. trong đoạn văn được cung cấp.)"
