Atomic Fact,Label,Reason
"Michael Jackson là một ca sĩ, nhạc sĩ và vũ công nổi tiếng người Mỹ.",Supported,"Nhãn: Supported  
Lí do: Thông tin ""Michael Jackson là một ca sĩ, nhạc sĩ và vũ công nổi tiếng người Mỹ"" hoàn toàn chính xác và được xác nhận trong đoạn văn thông tin về Michael Jackson. Ông được mô tả là một nam ca sĩ, nhạc sĩ và vũ công, đồng thời nổi tiếng với biệt danh ""Ông hoàng nhạc pop.""  
Đoạn thông tin: ""Michael Joseph Jackson (29 tháng 8 năm 1958 – 25 tháng 6 năm 2009) là một nam ca sĩ, nhạc sĩ, vũ công, nhà sản xuất thu âm kiêm nhà hoạt động thiện nguyện người Mỹ."""
"Michael Jackson được coi là ""Vua của nhạc pop"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jackson không liên quan đến nội dung được cung cấp, mà chỉ nói về Putin và các sở thích cũng như quan điểm chính trị của ông.  
Đoạn thông tin: ""Nước Nga đã đưa ra lựa chọn của mình theo hướng dân chủ. Mười bốn năm trước, một cách độc lập, không bị bất cứ một sức ép nào từ bên ngoài, nó đã đưa ra quyết định đó trên cơ sở lợi ích của chính mình và lợi ích của người dân - những công dân của nó."" (và các đoạn khác liên quan đến Putin và sở thích của ông)."
"Michael Jackson sinh ra tại Gary, Indiana.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jackson không liên quan đến ngữ cảnh hoặc thông tin về Albert Einstein được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Michael Jackson hoặc nơi sinh của ông."
Michael Jackson sinh ra trong một gia đình có 10 người con.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin này không đúng vì Michael Jackson là người con thứ tám trong gia đình Jackson, không phải là một trong mười con.  
Đoạn thông tin: ""Là người con thứ tám trong gia đình Jackson."""
Michael Jackson bắt đầu sự nghiệp âm nhạc của mình từ rất sớm.,Supported,"Nhãn: Supported  
Lí do: Thông tin rằng Michael Jackson bắt đầu sự nghiệp âm nhạc từ rất sớm được xác nhận trong đoạn văn về việc ông ra mắt chuyên nghiệp vào năm 1964 cùng với các anh trai của mình tại The Jackson 5, khi ông chỉ mới 6 tuổi.  
Đoạn thông tin: ""Là người con thứ tám trong gia đình Jackson, Jackson ra mắt chuyên nghiệp vào năm 1964 cùng với các anh trai Jackie, Tito, Jermaine và Marlon với tư cách là thành viên của The Jackson 5 (sau này được gọi là Jacksons)."""
Michael Jackson gia nhập ban nhạc Jackson 5.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michael Jackson gia nhập ban nhạc Jackson 5 không được đề cập trong ngữ cảnh cung cấp, mà chỉ có thông tin về Barack Obama và sự nghiệp chính trị của ông.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Michael Jackson hoặc ban nhạc Jackson 5 trong nội dung đã cung cấp.>"
Jackson 5 gồm các anh em của Michael Jackson.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jackson 5 không được đề cập trong đoạn văn bản cung cấp, do đó không có cơ sở để xác nhận hoặc bác bỏ tuyên bố này.  
Đoạn thông tin: Không có thông tin liên quan đến Jackson 5 trong đoạn văn bản."
Jackson 5 nhanh chóng trở thành nổi tiếng vào cuối thập niên 1960.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Jackson 5 trở nên nổi tiếng vào cuối thập niên 1960 được xác nhận trong tài liệu, nơi đề cập rằng nhóm đã thắng giải tại một cuộc thi tìm kiếm tài năng lớn và sau đó thường biểu diễn mở màn cho các nghệ sĩ nổi tiếng, cho thấy sự phát triển và nổi bật của họ trong thời gian này.  
Đoạn thông tin: ""Năm sau đó, nhóm thắng giải tại một cuộc thi tìm kiếm tài năng lớn, khi Jackson trình diễn điệu nhảy theo bài hát ăn khách năm 1965 của Robert Parker là 'Barefootin'. Từ năm 1966 đến 1968, ban nhạc chu du khắp vùng Trung Tây Hoa Kỳ, thường biểu diễn mở màn cho những nghệ sĩ như Sam & Dave, the O'Jays, Gladys Knight và Etta James..."""
Jackson 5 nhanh chóng trở thành nổi tiếng vào đầu thập niên 1970.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Jackson 5 nhanh chóng trở nên nổi tiếng được xác nhận trong đoạn văn mô tả sự nghiệp của Michael Jackson và nhóm nhạc. Đặc biệt, thông tin cho thấy nhóm đã thắng giải tại một cuộc thi tìm kiếm tài năng lớn, điều này cho thấy sự nổi bật và thành công của họ ngay từ những năm đầu thập niên 1970.  
Đoạn thông tin: ""Năm sau đó, nhóm thắng giải tại một cuộc thi tìm kiếm tài năng lớn, khi Jackson trình diễn điệu nhảy theo bài hát ăn khách năm 1965 của Robert Parker là 'Barefootin'."" "
"Jackson 5 có nhiều hit như ""I Want You Back"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jackson 5 và bài hát ""I Want You Back"" không có trong ngữ cảnh về Trịnh Công Sơn. Ngữ cảnh chỉ tập trung vào các tác phẩm và phong cách âm nhạc của Trịnh Công Sơn, không đề cập đến Jackson 5 hoặc các bài hát của họ.  
Đoạn thông tin: Không có thông tin nào liên quan đến Jackson 5 trong ngữ cảnh."
"Jackson 5 có nhiều hit như ""ABC"".",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Jackson 5 và các hit của họ không liên quan đến nhân vật Nguyễn Nhật Ánh, người mà thông tin đã được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Jackson 5 trong thông tin về Nguyễn Nhật Ánh."
"Michael Jackson phát hành album solo đầu tiên mang tên ""Off the Wall"" vào năm 1979.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Michael Jackson phát hành album ""Off the Wall"" vào năm 1979 là sai, vì trong đoạn thông tin không có bất kỳ đề cập nào đến album này hoặc năm phát hành của nó. Thay vào đó, đoạn thông tin tập trung vào album ""Invincible"" phát hành vào năm 2001 cùng các sự kiện liên quan khác trong sự nghiệp của Jackson.  
Đoạn thông tin: ""Vào tháng 10 năm 2001, ông phát hành Invincible; album dài đầu tiên của Jackson trong 6 năm và là album phòng thu cuối cùng phát hành khi ông còn sống."""
"Album ""Off the Wall"" đánh dấu sự khởi đầu cho sự nghiệp solo đầy thành công của Michael Jackson.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về album ""Off the Wall"" không liên quan đến thông tin cung cấp về Barack Obama và sự nghiệp chính trị của ông. Đoạn văn chỉ đề cập đến sự nghiệp tổng thống của Obama, các đánh giá về nhiệm kỳ của ông, và các cuốn sách mà ông đã xuất bản.  
Đoạn thông tin: ""Trong hai nhiệm kỳ tổng thống của Obama, uy tín của Hoa Kỳ trên trường quốc tế, cũng như nền kinh tế Hoa Kỳ, được cải thiện đáng kể. Nhiệm kỳ tổng thống của Obama thường được xem là tốt đẹp, và các đánh giá về nhiệm kỳ tổng thống của ông từ nhiều sử gia, nhà khoa học chính trị và công chúng đã xếp ông vào hàng ngũ những vị tổng thống Hoa Kỳ vĩ đại nhất..."" (Toàn bộ đoạn thông tin về Obama không liên quan đến Michael Jackson)."
"Michael Jackson đạt thành công lớn nhất vào năm 1982 với album ""Thriller"".",Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Michael Jackson và album ""Thriller"" không liên quan đến nhân vật Einstein và thông tin đã được cung cấp, mà chỉ tập trung vào sự nghiệp và thành tựu của Einstein trong lĩnh vực vật lý và nhiệt động học. Không có thông tin nào trong đoạn văn liên quan đến Michael Jackson hoặc album của ông.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michael Jackson hoặc album ""Thriller"" trong văn bản đã cho."
