Atomic Fact,Label,Reason
"Michelangelo di Lodovico Buonarroti Simoni sinh ngày 6 tháng 3 năm 1475 tại Caprese, Ý.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh và nơi sinh của Michelangelo không liên quan đến thông tin được cung cấp về Isaac Newton. Đoạn văn chỉ đề cập đến cuộc đời và sự nghiệp của Isaac Newton, không có thông tin nào liên quan đến Michelangelo.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michelangelo trong văn bản đã cho."
Michelangelo di Lodovico Buonarroti Simoni mất ngày 18 tháng 2 năm 1564 tại Roma.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cái chết của Michelangelo di Lodovico Buonarroti Simoni không liên quan đến thông tin về Leonardo da Vinci, là nhân vật chính trong ngữ cảnh được cung cấp. Không có thông tin nào trong đoạn văn nói về Michelangelo hay sự kiện liên quan đến ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michelangelo di Lodovico Buonarroti Simoni trong thông tin về Leonardo da Vinci."
Michelangelo là một trong những nghệ sĩ vĩ đại nhất của thời kỳ Phục hưng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không được đề cập trong đoạn văn cung cấp thông tin về Leonardo da Vinci. Do đó, thông tin này không liên quan đến ngữ cảnh và không thể xác minh dựa trên nguồn tài liệu đã cho.  
Đoạn thông tin: Không có thông tin nào về Michelangelo trong đoạn văn."
Michelangelo nổi tiếng với tài năng vượt bậc trong nhiều lĩnh vực nghệ thuật.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không có trong đoạn văn bản cung cấp, mà chỉ nói về Stephen Hawking và các thành tựu của ông. Do đó, thông tin về Michelangelo không liên quan đến nội dung của đoạn văn.  
Đoạn thông tin: ""Lược sử Thời gian"" được dịch sang nhiều thứ tiếng, và tới năm 2009 bán được ít nhất 9 triệu bản. Truyền thông hết sức chú ý đến hiện tượng kỉ lục này, và cả trang bìa tờ Newsweek cùng một chương trình truyền hình đặc biệt mô tả ông là ""Master of the Universe"" (tạm dịch, ""Bậc thầy Vũ trụ""). Thành công dẫn đến những khoản tiền hậu hĩnh, nhưng cũng đem lại thách thức trong vai trò người nổi tiếng. Hawking đã du hành liên tục để quảng bá công trình của mình, và tham gia tiệc tùng và khiêu vũ tới tận đêm khuya. [...] Năm 1989, ông được Nữ hoàng Elizabeth II phong tước CH (tước hiệu dân sự cao thứ hai mà một bình dân Anh có thể đạt được, thấp hơn Huân chương Công trạng–OM)."
Michelangelo nổi tiếng với tài năng vượt bậc trong điêu khắc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không được đề cập trong đoạn văn cung cấp. Tất cả thông tin đều tập trung vào Isaac Newton và các lĩnh vực liên quan đến ông, như khoa học, triết học và giả kim thuật, mà không có bất kỳ thông tin nào về Michelangelo.  
Đoạn thông tin: Không có đoạn thông tin nào về Michelangelo trong văn bản."
Michelangelo nổi tiếng với tài năng vượt bậc trong hội họa.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không có trong đoạn văn đã cung cấp, mà đoạn văn chỉ nói về Stephen Hawking và các thành tích của ông.  
Đoạn thông tin: ""Lược sử Thời gian"" được dịch sang nhiều thứ tiếng, và tới năm 2009 bán được ít nhất 9 triệu bản. Truyền thông hết sức chú ý đến hiện tượng kỉ lục này, và cả trang bìa tờ Newsweek cùng một chương trình truyền hình đặc biệt mô tả ông là ""Master of the Universe"" (tạm dịch, ""Bậc thầy Vũ trụ""). Thành công dẫn đến những khoản tiền hậu hĩnh, nhưng cũng đem lại thách thức trong vai trò người nổi tiếng. Hawking đã du hành liên tục để quảng bá công trình của mình, và tham gia tiệc tùng và khiêu vũ tới tận đêm khuya. Những lời mời và các vị khách khó từ chối khiến ông ít có thời gian dành cho công việc và các học trò. Vài đồng nghiệp phật ý vì sự chú ý dành cho Hawking, cảm giác rằng đó chủ yếu là do sự tàn tật của ông. Ông cũng nhận thêm nhiều ghi nhận về mặt học thuật, bao gồm thêm năm bằng tiến sĩ danh dự, Huy chương Vàng của Hội Thiên văn học Hoàng gia (1985), Huy chương Paul Dirac (1987) và cùng với Penrose nhận Giải Wolf danh tiếng (1988). Năm 1989, ông được Nữ hoàng Elizabeth II phong tước CH (tước hiệu dân sự cao thứ hai mà một bình dân Anh có thể đạt được, thấp hơn Huân chương Công trạng–OM)."
Michelangelo nổi tiếng với tài năng vượt bậc trong kiến trúc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không có trong ngữ cảnh cung cấp về Albert Einstein. Thông tin này không liên quan đến nhân vật chính là Albert Einstein và không thể xác minh dựa trên nguồn dữ liệu về Einstein.  
Đoạn thông tin: Không có thông tin nào liên quan đến Michelangelo trong đoạn văn về Albert Einstein."
Michelangelo nổi tiếng với tài năng vượt bậc trong thơ ca.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo và tài năng thơ ca không liên quan đến nhân vật Messi, người đang được đề cập trong ngữ cảnh. Không có bất kỳ thông tin nào trong đoạn văn đề cập đến Michelangelo, thơ ca hoặc sự nổi tiếng của ông.  
Đoạn thông tin: (Không có thông tin liên quan đến Michelangelo trong đoạn văn)"
Michelangelo là con trai của một viên chức chính phủ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Michelangelo không liên quan đến ngữ cảnh của George Washington, và không có thông tin nào trong đoạn văn cung cấp có đề cập đến Michelangelo hoặc cha của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Michelangelo hoặc cha của ông."
Michelangelo được gửi đến học nghề với một họa sĩ địa phương khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Michelangelo được gửi đến học nghề với một họa sĩ địa phương khi còn nhỏ không liên quan đến nhân vật Võ Nguyên Giáp và thông tin được cung cấp về ông. Đoạn văn chỉ nói về thời niên thiếu của Võ Nguyên Giáp và không đề cập đến Michelangelo hay bất kỳ họa sĩ nào khác.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Michelangelo trong văn bản về Võ Nguyên Giáp."
