Atomic Fact,Label,Reason
Mẹ Têrêsa có tên thật là Anjezë Gonxhe Bojaxhiu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên thật của Mẹ Têrêsa không được đề cập trong bối cảnh về J.K. Rowling và hoạt động từ thiện của bà. Do đó, thông tin này không liên quan đến ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Mẹ Têrêsa hay tên thật của bà."
Mẹ Têrêsa sinh ngày 26 tháng 8 năm 1910.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của mẹ Têrêsa không liên quan đến ngữ cảnh của Ngô Thanh Vân, một nhân vật đã được giới thiệu trong thông tin. Không có bất kỳ thông tin nào về mẹ Têrêsa trong đoạn văn đã cung cấp.  
Đoạn thông tin: ""Ngô Thanh Vân (sinh ngày 26 tháng 2 năm 1979), hay còn được biết đến với nghệ danh Veronica Ngo, là một nữ diễn viên, ca sĩ, vũ công, người mẫu, nhà làm phim kiêm doanh nhân người Na Uy gốc Việt."""
Mẹ Têrêsa sinh ra tại Skopje.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về mẹ Têrêsa sinh ra tại Skopje không liên quan đến thông tin về Scarlett Johansson, nhân vật được đề cập trong ngữ cảnh. Đoạn thông tin không đề cập đến mẹ Têrêsa hay bất kỳ thông tin nào liên quan đến bà.  
Đoạn thông tin: Không có đoạn thông tin nào về Têrêsa trong tiểu sử của Scarlett Johansson mà tôi được cung cấp."
Skopje hiện thuộc Macedonia.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Skopje và Macedonia không liên quan đến nội dung chính của đoạn văn mà chỉ đề cập đến lịch sử gần đây của nước Nga và sự sụp đổ của Liên bang Xô viết.  
Đoạn thông tin: ""Tôi sẽ nhắc lại lịch sử gần đây của nước Nga thêm một lần nữa. Trên hết, chúng ta cần biết rằng sự sụp đổ của Liên bang xô viết là một thảm họa địa chính trị lớn của thế kỷ."""
Mẹ Têrêsa là một nữ tu Công giáo.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Mẹ Têrêsa là một nữ tu Công giáo"" được xác nhận là đúng vì trong đoạn văn có nêu rõ bà là một ""nữ tu và nhà truyền giáo Công giáo Rôma"". Điều này khẳng định Mẹ Têrêsa không chỉ là một nữ tu mà còn thuộc giáo hội Công giáo Rôma.  
Đoạn thông tin: ""Maria Têrêsa Bojaxhiu (còn được gọi là thánh Têrêsa thành Kolkata; tên khai sinh là Anjezë Gonxhe Bojaxhiu; ... là một nữ tu và nhà truyền giáo Công giáo Rôma người Ấn Độ gốc Albania."""
Mẹ Têrêsa là một nhà từ thiện nổi tiếng.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Mẹ Teresa cho thấy bà được biết đến như một nhà từ thiện nổi tiếng, với nhiều hoạt động và tổ chức từ thiện được thành lập dưới sự lãnh đạo của bà, cũng như sự công nhận của chính phủ và các tổ chức quốc tế.  
Đoạn thông tin: ""Mẹ Teresa bị cơn đau tim khi đến Rôma năm 1983 trong chuyến viếng thăm Giáo hoàng Gioan Phaolô II... Vào thời điểm Mẹ Teresa từ trần, dòng tu của bà có hơn 4 000 nữ tu, với sự hỗ trợ của 300 tu sĩ, và hơn 100 000 người tình nguyện. Họ điều hành 610 cơ sở từ thiện tại 123 nước..."" và ""Mẹ Teresa được quàng ở Nhà thờ St Thomas, Kolkata trong một tuần trước khi được an táng vào tháng 9 năm 1997. Chính phủ Ấn Độ tuyên bố quốc tang để vinh danh con người từng cứu giúp nhiều người nghèo khổ thuộc các tôn giáo khác nhau trên đất nước Ấn."""
Mẹ Têrêsa được biết đến với công việc chăm sóc người nghèo.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết Mẹ Teresa được biết đến với công việc chăm sóc người nghèo là đúng và được xác nhận bởi nhiều đoạn trong văn bản cung cấp. Mẹ Teresa đã dành cả cuộc đời mình để chăm sóc những người nghèo khổ, và điều này được nhấn mạnh trong các câu mô tả về sứ mạng của Dòng Thừa sai Bác ái mà bà sáng lập.  
Đoạn thông tin: ""Sứ mạng của dòng là chăm sóc, theo lời Teresa, 'người đói khát, trần truồng, kẻ không nhà, người tàn tật, người mù, bệnh nhân phong, bất cứ ai đang cảm thấy thừa thãi, bị căm ghét, ruồng bỏ trong xã hội, những người đang là gánh nặng của xã hội và bị mọi người xa lánh.'"" và ""Vào thời điểm Mẹ Teresa từ trần, dòng tu của bà có hơn 4 000 nữ tu, với sự hỗ trợ của 300 tu sĩ, và hơn 100 000 người tình nguyện. Họ điều hành 610 cơ sở từ thiện tại 123 nước, trong đó có các nhà tế bần, những ngôi nhà mở cho người mắc bệnh HIV/AIDS, người phong cùi, lao, các nhà bếp cung cấp thức ăn, các chương trình tư vấn gia đình và trẻ em, trại mồ côi, và trường học."""
Mẹ Têrêsa được biết đến với công việc chăm sóc những người mắc bệnh tật.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Mẹ Têrêsa chăm sóc những người mắc bệnh tật đã được xác nhận qua những đoạn văn bản trong thông tin cung cấp. Cụ thể, Mẹ Têrêsa mở ngôi nhà đầu tiên chăm sóc người sắp chết và đã sử dụng một ngôi đền hoang phế để thành lập Nhà Kalighat, nơi cung cấp trại điều dưỡng miễn phí cho người nghèo. Điều này cho thấy rõ ràng công việc của bà liên quan đến việc chăm sóc những người mắc bệnh tật.  
Đoạn thông tin: ""Năm 1952, Mẹ Teresa mở ngôi nhà đầu tiên chăm sóc người sắp chết. Với sự hỗ trợ từ các viên chức Ấn, bà cho sửa một ngôi đền Ấn giáo hoang phế thành Nhà Kalighat cho người Hấp hối, một trại điều dưỡng miễn phí cho người nghèo."" và ""Dòng Thừa sai Bác ái cũng thành lập một số cơ sở y tế mở rộng trên khắp Calcutta, cung cấp thuốc men, thực phẩm."""
Mẹ Têrêsa đã rời nhà năm 18 tuổi.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Mẹ Teresa đã rời nhà năm 18 tuổi không được đề cập trong đoạn văn bản, vì vậy không thể xác nhận tính chính xác của thông tin này.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến việc Mẹ Teresa rời nhà ở tuổi 18."
Mẹ Têrêsa gia nhập Hội Dòng Nữ Tử Bác Ái.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Mẹ Têrêsa gia nhập Hội Dòng Nữ Tử Bác Ái"" không liên quan đến thông tin được cung cấp về nước Nga, dân chủ và các sở thích của Putin, vì không có bất kỳ thông tin nào về Mẹ Têrêsa trong đoạn văn.  
Đoạn thông tin: ""Nước Nga đã đưa ra lựa chọn của mình theo hướng dân chủ. Mười bốn năm trước, một cách độc lập, không bị bất cứ một sức ép nào từ bên ngoài, nó đã đưa ra quyết định đó trên cơ sở lợi ích của chính mình và lợi ích của người dân - những công dân của nó..."" (và các đoạn khác liên quan đến Putin và sở thích của ông)."
