Atomic Fact,Label,Reason
Nelson Mandela tên đầy đủ là Nelson Rolihlahla Mandela.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tên đầy đủ của Nelson Mandela không có trong đoạn văn bản cung cấp về Obama, do đó không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp thông tin về Nelson Mandela."
Nelson Mandela sinh ngày 18 tháng 7 năm 1918.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Nelson Mandela không liên quan đến thông tin về Winston Churchill được cung cấp trong ngữ cảnh. Ngữ cảnh chỉ đề cập đến Churchill và không có thông tin nào về Nelson Mandela.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến Nelson Mandela, tất cả thông tin đều đề cập đến Winston Churchill.)"
"Nelson Mandela sinh tại làng Mvezo, thuộc tỉnh Eastern Cape, Nam Phi.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Nelson Mandela không có trong đoạn thông tin được cung cấp về Obama, vì vậy không liên quan đến nhân vật đang được thảo luận.  
Đoạn thông tin: Không có thông tin liên quan đến Nelson Mandela trong đoạn văn bản về Obama."
Nelson Mandela là một nhà lãnh đạo vĩ đại.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Nelson Mandela cho thấy ông là một nhà lãnh đạo có tầm ảnh hưởng lớn trong việc chấm dứt chế độ phân biệt chủng tộc apartheid, dẫn dắt chính phủ liên minh cởi mở và được cộng đồng quốc tế công nhận vì những đóng góp của mình. Các chi tiết về việc ông là tổng thống đầu tiên của Nam Phi độc lập và việc ông nhận hơn 250 giải thưởng, bao gồm Giải Nobel Hòa bình, củng cố vị thế của ông như một nhà lãnh đạo vĩ đại.  
Đoạn thông tin: ""Nelson Rolihlahla Mandela (phát âm tiếng Xhosa: [xolíɬaɬa mandɛ̂ːla]; phiên âm tiếng Việt: Nen-xơn Man-đê-la; 18 tháng 7 năm 1918 – 5 tháng 12 năm 2013) là một nhà hoạt động chống apartheid người Nam Phi và là tổng thống đầu tiên của Nam Phi độc lập từ năm 1994 đến năm 1999... Ông đã vinh dự nhận hơn 250 giải thưởng, bao gồm Giải Nobel Hòa bình danh giá."""
Nelson Mandela là một biểu tượng toàn cầu của cuộc đấu tranh chống lại chủ nghĩa phân biệt chủng tộc (apartheid) ở Nam Phi.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho rằng Nelson Mandela là một biểu tượng toàn cầu của cuộc đấu tranh chống lại chủ nghĩa phân biệt chủng tộc (apartheid) ở Nam Phi được xác nhận bởi nhiều đoạn trong thông tin cung cấp, trong đó nói rõ về vai trò của ông trong việc chống lại chế độ apartheid và công lao của ông trong việc chấm dứt phân biệt chủng tộc tại Nam Phi.  
Đoạn thông tin: ""Dẫu vậy, cộng đồng quốc tế vẫn công nhận công lao cao cả của ông trong việc chấm dứt chế độ phân biệt chủng tộc. Được coi là biểu tượng của tinh thần dân chủ và công bằng xã hội..."""
Nelson Mandela là người đầu tiên của Nam Phi trở thành Tổng thống da đen.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Nelson Mandela là người đầu tiên của Nam Phi trở thành Tổng thống da đen"" được xác nhận là đúng trong đoạn văn bản, nơi nêu rõ rằng Mandela đã nhậm chức làm Tổng thống da đen đầu tiên của Nam Phi vào ngày 10 tháng 5 năm 1994.  
Đoạn thông tin: ""Mandela, với vai trò là lãnh đạo ANC, đã nhậm chức làm Tổng thống da đen đầu tiên của Nam Phi vào ngày 10 tháng 5 năm 1994."""
Nelson Mandela là con trai của một trưởng làng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nelson Mandela không được đề cập trong đoạn văn bản cung cấp về Winston Churchill. Câu hỏi không liên quan đến nội dung của thông tin mà bạn đã cung cấp.  
Đoạn thông tin: Không có thông tin nào liên quan đến Nelson Mandela trong văn bản."
Nelson Mandela lớn lên trong một gia đình thuộc bộ tộc Xhosa.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Nelson Mandela lớn lên trong một gia đình thuộc bộ tộc Xhosa được xác nhận trong đoạn văn, nơi ghi rõ rằng ông là ""một thành viên của bộ tộc amaMpemvu Xhosa"" và ""thuở ấu thơ của ông tràn ngập tín ngưỡng và tục kiêng kỵ Xhosa."" Điều này khẳng định nguồn gốc văn hóa và dân tộc của Mandela.  
Đoạn thông tin: ""Mẹ của Nelson là vợ thứ ba của Gadla, Nosekeni Fanny, con gái của Nkedama thuộc Gia tộc Tay phải và một thành viên của bộ lạc amaMpemvu Xhosa."" và ""Mandela sau này kể lại rằng, thuở ấu thơ của ông tràn ngập tín ngưỡng và tục kiêng kỵ Xhosa."""
Nelson Mandela học tại trường tiểu học địa phương.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Nelson Mandela học tại trường tiểu học địa phương không được xác nhận trong đoạn văn bản. Mặc dù có đề cập đến việc mẹ của Mandela đã gửi ông đến ngôi trường Giám lý địa phương khi ông lên bảy, nhưng không có thông tin nào xác nhận rằng đó là một trường tiểu học, và ""trường Giám lý"" không được định nghĩa rõ ràng là trường tiểu học.  
Đoạn thông tin: ""Mẹ của Mandela đã gửi ông đến ngôi trường Giám lý địa phương khi ông lên bảy."""
Nelson Mandela theo học tại trường trung học Clarkebury.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nelson Mandela không liên quan đến đoạn văn cung cấp, mà đoạn văn chỉ nói về Barack Obama và không đề cập gì đến Nelson Mandela hay trường học của ông.  
Đoạn thông tin: ""Obama sinh ngày 4 tháng 8 năm 1961, tại Trung tâm Y tế Kapiolani ở Honolulu, Hawaii..."" (toàn bộ đoạn văn về Barack Obama không có bất kỳ thông tin nào về Nelson Mandela hoặc trường trung học Clarkebury)."
Nelson Mandela vào Đại học Fort Hare năm 1939.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Nelson Mandela vào Đại học Fort Hare năm 1939"" được xác nhận là đúng trong ngữ cảnh thông tin được cung cấp từ Wikipedia, nơi ghi rõ rằng Mandela đã đậu vào học bằng Cử nhân tại Trường Đại học Fort Hare vào năm 1939.  
Đoạn thông tin: ""Vào năm 1939, ông đậu vào học bằng Cử nhân tại Trường Đại học Fort Hare."""
Nelson Mandela tham gia vào phong trào sinh viên đòi quyền lợi tại Đại học Fort Hare.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Nelson Mandela tham gia vào vụ tẩy chay của Hội sinh viên nhằm chống lại quy định của trường đại học được xác nhận trong đoạn văn. Điều này chứng tỏ sự tham gia của ông vào phong trào sinh viên đòi quyền lợi.  
Đoạn thông tin: ""Cuối năm thứ nhất, Mandela tham gia vào vụ tẩy chay của Hội sinh viên nhằm chống lại quy định của trường đại học, và bị buộc phải rời trường Fort Hare không được trở lại chừng nào ông chưa chấp nhận cuộc bầu cử của vào Hội."""
Nelson Mandela gia nhập Đảng Quốc gia Châu Phi (ANC) năm 1944.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Nelson Mandela gia nhập Đảng Quốc gia Châu Phi (ANC) năm 1944 không liên quan đến nhân vật Phạm Văn Đồng, người được đề cập trong ngữ cảnh. Đoạn thông tin cung cấp chỉ nói về Phạm Văn Đồng và không đề cập gì đến Nelson Mandela hay ANC.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nelson Mandela hoặc ANC trong thông tin đã cung cấp."
Nelson Mandela trở thành một thành viên tích cực trong phong trào đấu tranh chống lại chế độ apartheid.,Supported,"Nhãn: Supported  
Lí do: Thông tin khẳng định rằng Nelson Mandela đã tham gia tích cực vào hoạt động chính trị và đấu tranh chống lại chế độ apartheid, điều này được xác nhận trong văn bản từ Wikipedia.  
Đoạn thông tin: ""Mandela bắt đầu tham gia tích cực vào hoạt động chính trị. Ông đã lãnh đạo rất thành công trong Chiến dịch Phản đối của ANC năm 1952 và Đại hội Nhân dân năm 1955, từ đó thông qua Hiến chương Tự do là nền tảng cơ bản cho cuộc đấu tranh chống chủ nghĩa apartheid."""
Nelson Mandela đã tham gia vào nhiều hoạt động biểu tình.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin không được xác nhận trong đoạn văn cung cấp. Mặc dù có thông tin về việc Nelson Mandela đã vắng nhà vì công cuộc cách mạng, không có chi tiết nào cụ thể nói rằng ông đã tham gia vào nhiều hoạt động biểu tình.  
Đoạn thông tin: ""ly dị vì sự căng thẳng do ông thường xuyên vắng nhà, dành quá nhiều thời gian cho công cuộc cách mạng."""
Nelson Mandela tổ chức các chiến dịch bất bạo động.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Nelson Mandela tổ chức các chiến dịch bất bạo động không được xác nhận trong đoạn văn cung cấp. Thực tế là, trong khi Mandela cam kết hòa bình và hòa giải, ông cũng nhấn mạnh rằng cuộc đấu tranh vũ trang của ANC vẫn chưa chấm dứt. Điều này chỉ ra rằng ông không chỉ tổ chức các chiến dịch bất bạo động mà còn tiếp tục sử dụng phương pháp vũ trang như một phương tiện tự vệ.  
Đoạn thông tin: ""Ông tuyên bố cam kết hòa bình và hòa giải với những người da trắng thiểu số trong nước, nhưng nói rõ rằng cuộc đấu tranh vũ trang của ANC vẫn chưa chấm dứt khi ông nói 'phương sách đấu tranh vũ trang vào năm 1960 khi chúng tôi hình thành phái quân sự trong ANC (Umkhonto we Sizwe) đơn thuần là hành động tự vệ chống lại sự tàn bạo của chủ nghĩa apartheid.'"""
Nelson Mandela và các đồng sự quyết định sử dụng vũ lực để chống lại chế độ setelah chính quyền đàn áp các cuộc biểu tình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Nelson Mandela và việc sử dụng vũ lực để chống lại chế độ không có liên quan đến nội dung của đoạn văn về Gandhi, người mà thông tin cung cấp tập trung vào. Không có thông tin nào trong đoạn văn nói về Nelson Mandela hoặc các đồng sự của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nelson Mandela trong văn bản."
"Nelson Mandela trở thành lãnh đạo của cánh quân sự của ANC, Umkhonto we Sizwe, năm 1961.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nelson Mandela không liên quan đến nội dung của đoạn văn cung cấp, mà đoạn văn chỉ nói về Trần Đại Nghĩa và các hoạt động của ông. Không có thông tin nào trong đoạn văn đề cập đến Nelson Mandela hay ANC.  
Đoạn thông tin: ""Ngày 5 tháng 12 năm đó, Hồ Chí Minh đặt tên mới cho ông là Trần Đại Nghĩa và trực tiếp giao cho ông làm Cục trưởng Cục Quân giới (nay là Tổng cục Công nghiệp Quốc phòng Việt Nam), năm 1948 phong quân hàm Thiếu tướng , Giám đốc Nha nghiên cứu Quân giới (nay là Viện Khoa học và Công nghệ Quân sự), Bộ Tổng tư lệnh Quân đội."" (và các đoạn khác liên quan đến Trần Đại Nghĩa)."
Nelson Mandela bị bắt năm 1962.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Nelson Mandela bị bắt năm 1962 không liên quan đến thông tin về Phạm Văn Đồng và các sự kiện lịch sử liên quan đến ông. Đoạn văn cung cấp chỉ nói về Phạm Văn Đồng và không đề cập đến Nelson Mandela.  
Đoạn thông tin: <Không có thông tin nào liên quan đến Nelson Mandela trong đoạn văn cung cấp.>"
Nelson Mandela bị kết án tù chung thân trong phiên tòa Rivonia.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết rằng Nelson Mandela đã bị kết án tù chung thân vào ngày 12 tháng 6 năm 1964 trong phiên tòa Rivonia là chính xác và đã được xác nhận trong đoạn văn từ Wikipedia. Đoạn thông tin này mô tả rõ ràng kết quả của phiên tòa mà Mandela tham gia cùng với các đồng chí của ông, và kết quả đó là án tù chung thân.  
Đoạn thông tin: ""Tất cả mọi người trừ Rusty Bernstein đều bị tuyên là có tội, nhưng họ thoát khỏi án treo cổ mà bị tuyên tù chung thân vào ngày 12 tháng 6 năm 1964."""
Nelson Mandela bị kết án với tội danh khủng bố và âm mưu lật đổ chính quyền.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nelson Mandela không liên quan đến nhân vật Phạm Văn Đồng, và đoạn thông tin được cung cấp chỉ nói về cuộc đời và sự nghiệp của Phạm Văn Đồng mà không đề cập gì đến Nelson Mandela.  
Đoạn thông tin: ""Phạm Văn Đồng (1 tháng 3 năm 1906 – 29 tháng 4 năm 2000), bí danh Anh Tô, là một nhà cách mạng, nhà ngoại giao và chính khách người Việt Nam... Ông từng giữ chức Thủ tướng đầu tiên của nước Cộng hòa Xã hội chủ nghĩa Việt Nam từ năm 1976... Ông là học trò, cộng sự thân thiết của Chủ tịch Hồ Chí Minh."""
Nelson Mandela bị giam giữ tại đảo Robben từ năm 1964 đến năm 1982.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Nelson Mandela bị giam giữ tại đảo Robben không có trong đoạn văn bản cung cấp về Nguyễn Phú Trọng, do đó không liên quan đến nhân vật được đề cập.  
Đoạn thông tin: Không có thông tin liên quan đến Nelson Mandela trong đoạn văn cung cấp."
Nelson Mandela đã ở tù trong 27 năm.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Nelson Mandela đã ở tù trong 27 năm là không chính xác. Theo thông tin được cung cấp, Mandela đã bị giam giữ tại Đảo Robben trong 18 năm và tổng cộng là 27 năm trong tù, nhưng không thể xác nhận rằng ông đã ở tù liên tục trong 27 năm mà không có thông tin thêm về các giai đoạn khác trong thời gian giam giữ của ông.  
Đoạn thông tin: ""Nelson Mandela bị giam giữ tại Đảo Robben và đã ở đấy 18 năm trong tổng số 27 năm trong tù của ông."""
