Atomic Fact,Label,Reason
Nguyễn Quang Hải là một cầu thủ bóng đá chuyên nghiệp người Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Quang Hải không được đề cập trong đoạn văn thông tin cung cấp, mà đoạn văn chỉ nói về Nhà giáo Hồ Cơ và Đại tướng Võ Nguyên Giáp.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
"Nguyễn Quang Hải sinh ngày 12 tháng 4 năm 1997 tại huyện Đông Anh, thành phố Hà Nội.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Quang Hải không được đề cập trong nội dung cung cấp. Nội dung chỉ nói về Lê Lợi và các sự kiện liên quan đến ông trong lịch sử Việt Nam, không có bất kỳ thông tin nào về Nguyễn Quang Hải.  
Đoạn thông tin: [Không có thông tin liên quan đến Nguyễn Quang Hải trong đoạn văn]"
Nguyễn Quang Hải được biết đến như một trong những tài năng trẻ sáng giá của bóng đá Việt Nam.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Nguyễn Quang Hải được xác nhận trong tài liệu gốc, nơi anh được đánh giá là một trong những cầu thủ bóng đá Việt Nam xuất sắc nhất trong thế hệ của mình, điều này phản ánh rằng anh là một tài năng trẻ sáng giá.  
Đoạn thông tin: ""Được đánh giá là một trong những cầu thủ bóng đá Việt Nam xuất sắc nhất trong thế hệ của mình, anh nổi tiếng nhờ lối chơi giàu kỹ thuật, khả năng xử lý bóng tốt, khả năng sút phạt thần sầu và nhãn quan chiến thuật siêu hạng."""
Quang Hải bắt đầu sự nghiệp thi đấu chuyên nghiệp tại câu lạc bộ Hà Nội FC.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Quang Hải bắt đầu sự nghiệp thi đấu chuyên nghiệp tại câu lạc bộ Hà Nội FC"" không liên quan đến thông tin về Võ Nguyên Giáp được cung cấp. Đoạn văn chỉ đề cập đến cuộc đời và sự nghiệp của Võ Nguyên Giáp mà không đề cập gì đến Quang Hải hoặc câu lạc bộ Hà Nội FC.  
Đoạn thông tin: <Không có thông tin liên quan đến Quang Hải trong đoạn văn>"
Quang Hải có cơ hội phát triển tài năng và thể hiện khả năng của mình tại Hà Nội FC.,Supported,"Nhãn: Supported  
Lí do: Thông tin về Quang Hải cho thấy rằng anh đã có cơ hội phát triển tài năng và thể hiện khả năng của mình tại Hà Nội FC, đặc biệt là thông qua những thành công trong sự nghiệp trẻ và sự tiến bộ trong đội một.  
Đoạn thông tin: ""Quang Hải sớm tham gia đội tuyển trẻ của Hà Nội từ năm 9 tuổi."" và ""Năm 2016, anh trở lại Hà Nội và cùng đội bóng vô địch V.League 2016."""
Quang Hải thường thi đấu ở vị trí tiền vệ tấn công.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về vị trí thi đấu của Quang Hải không có trong ngữ cảnh đã cung cấp, mà đoạn văn chỉ nói về nhận xét của Nhà giáo Hồ Cơ về Đại tướng Võ Nguyên Giáp.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu...'"""
Quang Hải có thể chơi ở nhiều vị trí khác trong hàng tiền vệ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quang Hải không được đề cập trong đoạn văn về Đại tướng Võ Nguyên Giáp. Do đó, thông tin này không liên quan đến ngữ cảnh và chủ đề chính của đoạn văn.  
Đoạn thông tin: Không có thông tin nào về Quang Hải trong đoạn văn đã cung cấp."
Quang Hải nổi bật với khả năng kiểm soát bóng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quang Hải và khả năng kiểm soát bóng không có trong đoạn văn cung cấp, mà đoạn văn chỉ nói về quân đội và các sự kiện lịch sử liên quan đến Lê Lợi và cuộc chiến chống lại quân Minh.  
Đoạn thông tin: Không có thông tin liên quan nào trong đoạn văn."
Quang Hải có kỹ thuật cá nhân tốt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ""Quang Hải có kỹ thuật cá nhân tốt"" không liên quan đến nhân vật Trần Đại Nghĩa, mà chỉ nói về một nhân vật không được đề cập trong ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến ""Quang Hải"" trong văn bản đã cung cấp về Trần Đại Nghĩa."
Quang Hải có khả năng ghi bàn từ xa.,Supported,"Nhãn: Supported  
Lí do: Thông tin về khả năng ghi bàn từ xa của Quang Hải được xác nhận trong đoạn văn mô tả phong cách thi đấu của anh. Câu ""Khả năng sút xa, dứt điểm một chạm cũng được phát huy một cách tốt nhất"" cho thấy anh có khả năng ghi bàn từ xa.  
Đoạn thông tin: ""Khả năng sút xa, dứt điểm một chạm cũng được phát huy một cách tốt nhất."""
