Atomic Fact,Label,Reason
Nguyễn Thị Ánh Viên là một trong những vận động viên bơi lội xuất sắc của Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Thị Ánh Viên không được đề cập trong đoạn văn thông tin về Võ Nguyên Giáp. Đoạn văn chỉ nói về đời sống, sự nghiệp và đóng góp của Võ Nguyên Giáp mà không liên quan đến bất kỳ vận động viên nào, bao gồm cả Nguyễn Thị Ánh Viên.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nguyễn Thị Ánh Viên trong nội dung đã cung cấp."
Nguyễn Thị Ánh Viên sinh ngày 1 tháng 11 năm 1996.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Nguyễn Thị Ánh Viên không liên quan đến thông tin đã cung cấp về Võ Nguyễn Hoài Linh. Đoạn văn chỉ đề cập đến tiểu sử và sự nghiệp của Hoài Linh mà không có thông tin nào liên quan đến Nguyễn Thị Ánh Viên.  
Đoạn thông tin: Không có thông tin nào liên quan đến Nguyễn Thị Ánh Viên trong tài liệu đã cung cấp."
Nguyễn Thị Ánh Viên sinh tại thành phố Cần Thơ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Nguyễn Thị Ánh Viên không có trong đoạn thông tin cung cấp về Trịnh Công Sơn, và do đó không liên quan đến nhân vật được đề cập.  
Đoạn thông tin: Không có thông tin nào đề cập đến Nguyễn Thị Ánh Viên trong đoạn văn cung cấp."
Nguyễn Thị Ánh Viên được biết đến với nhiều thành tích nổi bật trong các giải đấu quốc tế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Thị Ánh Viên không được đề cập trong đoạn văn bản cung cấp. Tất cả thông tin chỉ xoay quanh Đại tướng Võ Nguyên Giáp, vì vậy thông tin về Nguyễn Thị Ánh Viên không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin nào liên quan đến Nguyễn Thị Ánh Viên trong đoạn văn bản."
Nguyễn Thị Ánh Viên được biết đến với nhiều thành tích nổi bật trong các giải đấu khu vực.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Nguyễn Thị Ánh Viên không có trong đoạn văn cung cấp. Đoạn văn chỉ đề cập đến Trần Hưng Đạo và các thông tin liên quan đến ông, không liên quan đến Nguyễn Thị Ánh Viên.
Đoạn thông tin: ""Dưới sự lãnh đạo của các vua Trần và Hưng Đạo vương, quân đội Đại Việt đã vượt qua nhiều gian nan, chỉ với số đội quân ít thiện chiến, yếu hơn so với đối phương lại ba lần đánh tan hàng vạn quân Mông Nguyên hùng mạnh..."" (và các đoạn khác liên quan đến Trần Hưng Đạo)."
Nguyễn Thị Ánh Viên bắt đầu sự nghiệp bơi lội từ khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Thị Ánh Viên không được đề cập trong đoạn văn thông tin cung cấp, mà đoạn văn chỉ nói về Võ Nguyên Giáp và các hoạt động của ông trong thời kỳ thanh niên và sự nghiệp cách mạng.  
Đoạn thông tin: Toàn bộ đoạn thông tin cung cấp không có nội dung nào liên quan đến Nguyễn Thị Ánh Viên."
Nguyễn Thị Ánh Viên đã nhanh chóng thể hiện tài năng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Nguyễn Thị Ánh Viên đã nhanh chóng thể hiện tài năng"" không liên quan đến nội dung thông tin đã cung cấp về Võ Nguyên Giáp và không có bất kỳ thông tin nào về Nguyễn Thị Ánh Viên trong đoạn văn.  
Đoạn thông tin: Không có đoạn thông tin nào trong bối cảnh đã cho liên quan đến Nguyễn Thị Ánh Viên."
Nguyễn Thị Ánh Viên đã được huấn luyện chuyên nghiệp.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Thị Ánh Viên không được đề cập trong đoạn văn bản cung cấp. Do đó, không thể xác minh hay xác định tính chính xác của thông tin liên quan đến việc cô đã được huấn luyện chuyên nghiệp hay không.  
Đoạn thông tin: Không có đoạn thông tin nào phản ánh điều đó vì nhân vật Nguyễn Thị Ánh Viên không xuất hiện trong văn bản."
Nguyễn Thị Ánh Viên tham gia nhiều giải đấu lớn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Thị Ánh Viên không được đề cập trong đoạn văn bản cung cấp. Đoạn văn chỉ nói về Trần Hưng Đạo và không liên quan đến nhân vật Nguyễn Thị Ánh Viên hay bất kỳ giải đấu nào mà cô tham gia.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Thị Ánh Viên trong văn bản."
Nguyễn Thị Ánh Viên tham gia SEA Games.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Nguyễn Thị Ánh Viên tham gia SEA Games được xác nhận qua nhiều đoạn trong thông tin cung cấp, trong đó có mô tả rõ ràng về các thành tích của cô tại các kỳ SEA Games khác nhau.  
Đoạn thông tin: ""Tại SEA Games 26 tổ chức tại Indonesia, cô đã giành được 2 HCB ở nội dung 100 m bơi ngửa và 400 m hỗn hợp.""  
""Cô đã tiếp tục đem về 6 Huy chương vàng và 2 Huy chương bạc, trở thành Vận động viên xuất sắc nhất đại hội.""  
""Cô còn đứng thứ 25 thế giới cự ly 400m tự do của nữ và thứ 9 thế giới nội dung 400m hỗn hợp.""  
""Nguyễn Thị Ánh Viên (sinh ngày 9 tháng 11 năm 1996 tại ấp Ba Cau, xã Giai Xuân, huyện Phong Điền, thành phố Cần Thơ) là cựu nữ vận động viên bơi lội thuộc Đoàn Thể thao Quân đội và Đội tuyển Bơi lội Quốc gia."""
