Atomic Fact,Label,Reason
Nguyễn Trãi là một trong những nhân vật lịch sử vĩ đại của Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không được đề cập trong ngữ cảnh về Nguyễn Trọng Trí hay Hàn Mặc Tử. Do đó, thông tin này không liên quan đến nhân vật và các sự kiện được nêu.  
Đoạn thông tin: ""Nguyễn Trọng Trí, thường được biết đến với bút danh Hàn Mặc Tử hay Hàn Mạc Tử (22 tháng 9 năm 1912 – 11 tháng 11 năm 1940), là một nhà thơ người Việt Nam. Là người khởi xướng Trường thơ Loạn và cũng là người tiên phong của dòng thơ lãng mạn hiện đại Việt Nam, ông còn có những bút danh khác trong sự nghiệp gồm Lệ Thanh, Phong Trần và Minh Duệ Thị."""
"Nguyễn Trãi sinh ra tại làng Chi Ngại, huyện Đông Ngạc.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Nguyễn Trãi sinh ra tại làng Chi Ngại, huyện Đông Ngạc không được hỗ trợ bởi thông tin nào trong đoạn văn về Trịnh Công Sơn, mà đoạn văn chỉ nói về cuộc đời và sự nghiệp của Trịnh Công Sơn, không đề cập đến Nguyễn Trãi.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Trãi trong đoạn văn."
Làng Chi Ngại nay thuộc Hà Nội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ""Làng Chi Ngại"" không được đề cập trong đoạn văn thông tin cung cấp về Trần Đại Nghĩa, do đó không liên quan đến nhân vật này.  
Đoạn thông tin: Không có thông tin nào liên quan đến ""Làng Chi Ngại"" trong đoạn văn."
Nguyễn Trãi xuất thân trong một gia đình trí thức.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không có trong đoạn văn cung cấp, mà chỉ có thông tin về Võ Nguyên Giáp và gia đình của ông. Do đó, câu hỏi về Nguyễn Trãi không liên quan đến thông tin đã cho.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Trãi trong đoạn văn."
Nguyễn Trãi có một nền tảng giáo dục tốt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Nguyễn Trãi có một nền tảng giáo dục tốt"" không được đề cập hoặc xác nhận trong thông tin cung cấp. Không có thông tin nào nói rõ về nền tảng giáo dục của Nguyễn Trãi.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến nền tảng giáo dục của Nguyễn Trãi trong phần thông tin đã cung cấp."
Nguyễn Trãi đã học tập Nho giáo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Nguyễn Trãi học tập Nho giáo không liên quan đến thông tin được cung cấp về Trần Đại Nghĩa. Đoạn văn chỉ nói về tiểu sử và thành tựu của Trần Đại Nghĩa mà không đề cập đến Nguyễn Trãi hay Nho giáo.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nguyễn Trãi hoặc Nho giáo trong văn bản cung cấp."
Nguyễn Trãi có kiến thức sâu rộng về văn hóa và lịch sử.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không có trong ngữ cảnh cung cấp, mà chỉ có thông tin về Trịnh Công Sơn. Do đó, không thể xác minh kiến thức của Nguyễn Trãi về văn hóa và lịch sử từ đoạn thông tin này.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Trãi trong đoạn văn cung cấp."
Nguyễn Trãi nổi tiếng với việc tham gia vào cuộc kháng chiến chống quân xâm lược Minh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không có trong đoạn văn cung cấp. Đoạn thông tin chỉ đề cập đến Võ Nguyên Giáp và các sự kiện liên quan đến chiến tranh Việt Nam, không nhắc đến Nguyễn Trãi hay cuộc kháng chiến chống quân xâm lược Minh.  
Đoạn thông tin: Toàn bộ đoạn văn không chứa thông tin về Nguyễn Trãi."
Cuộc kháng chiến chống quân xâm lược Minh diễn ra từ năm 1407 đến 1427.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact không liên quan đến thông tin đã được cung cấp về nhân vật Võ Nguyên Giáp, cũng như không đề cập đến cuộc kháng chiến chống quân xâm lược Minh trong các đoạn thông tin.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến cuộc kháng chiến chống quân xâm lược Minh từ năm 1407 đến 1427 trong văn bản đã cho."
Nguyễn Trãi có công lớn trong việc xây dựng chiến lược và tổ chức các cuộc khởi nghĩa.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không có trong đoạn văn cung cấp. Nội dung chủ yếu tập trung vào Hồ Chí Minh và các hoạt động chính trị của ông, không đề cập đến Nguyễn Trãi hay bất kỳ khía cạnh nào liên quan đến ông.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Trãi trong đoạn văn."
Nguyễn Trãi đặc biệt tham gia phong trào Lam Sơn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Trãi không có trong đoạn văn cung cấp, mà chỉ có thông tin về Trịnh Công Sơn. Do đó, không thể xác nhận hay phủ nhận tính chính xác của thông tin này.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Trãi trong đoạn văn."
Phong trào Lam Sơn do Lê Lợi lãnh đạo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về phong trào Lam Sơn và Lê Lợi không xuất hiện trong đoạn thông tin cung cấp về Trịnh Công Sơn. Do đó, nó không liên quan đến ngữ cảnh và nhân vật được đề cập.  
Đoạn thông tin: Không có thông tin nào liên quan đến phong trào Lam Sơn hay Lê Lợi trong đoạn văn cung cấp."
"Nguyễn Trãi đã viết ""Bình Ngô đại cáo"".",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Nguyễn Trãi viết ""Bình Ngô đại cáo"" là sai, vì trong đoạn thông tin cung cấp không đề cập đến Nguyễn Trãi hay tác phẩm ""Bình Ngô đại cáo"". Nguyên tác phẩm này thuộc về Nguyễn Trãi, nhưng thông tin về nhân vật trong đoạn văn chỉ nói về Nguyễn Du và các tác phẩm của ông, không có liên quan đến Nguyễn Trãi.  
Đoạn thông tin: Toàn bộ đoạn thông tin cung cấp về Nguyễn Du và các tác phẩm của ông không đề cập đến Nguyễn Trãi hay ""Bình Ngô đại cáo""."
"""Bình Ngô đại cáo"" là một tác phẩm quan trọng tuyên bố chiến thắng.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Bình Ngô đại cáo"" không liên quan đến thông tin được cung cấp về Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ về ông. Đoạn thông tin chủ yếu tập trung vào vai trò và công lao của Võ Nguyên Giáp trong cuộc kháng chiến chống ngoại xâm, không đề cập đến tác phẩm ""Bình Ngô đại cáo"".  
Đoạn thông tin: ""Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu..."""
