Atomic Fact,Label,Reason
Nguyễn Đăng Quang là một doanh nhân nổi bật trong lĩnh vực kinh doanh và đầu tư tại Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Đăng Quang không được đề cập trong đoạn văn thông tin về Đặng Lê Nguyên Vũ. Do đó, câu nói này không liên quan đến ngữ cảnh hoặc thông tin đã được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nguyễn Đăng Quang trong tài liệu đã cho."
Nguyễn Đăng Quang được biết đến với vai trò là người sáng lập và CEO của Tập đoàn Masan.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Đăng Quang không xuất hiện trong ngữ cảnh cung cấp, mà chỉ có thông tin về Phạm Văn Đồng. Không có liên quan gì đến nhân vật được đề cập.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nguyễn Đăng Quang trong văn bản."
Tập đoàn Masan là một trong những tập đoàn đa ngành hàng đầu tại Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tập đoàn Masan không liên quan đến nhân vật Sơn Tùng M-TP, người mà thông tin đã được cung cấp. Đoạn thông tin không đề cập đến Tập đoàn Masan hay bất kỳ thông tin nào liên quan đến nó.  
Đoạn thông tin: Không có thông tin liên quan đến Tập đoàn Masan trong đoạn văn bản đã cung cấp."
"Tập đoàn Masan hoạt động trong các lĩnh vực thực phẩm, tiêu dùng và đầu tư.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về hoạt động của Tập đoàn Masan không được đề cập trong đoạn văn thông tin đã cung cấp về Đặng Lê Nguyên Vũ và Cà phê Trung Nguyên. Do đó, câu hỏi không liên quan đến nội dung của đoạn văn.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Tập đoàn Masan."
Nguyễn Đăng Quang sinh ngày 13 tháng 10 năm 1971 tại Hà Nội.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh và nơi sinh của Nguyễn Đăng Quang (13 tháng 10 năm 1971 tại Hà Nội) không được xác nhận trong đoạn thông tin được cung cấp. Thay vào đó, đoạn thông tin chỉ đề cập đến các năm sinh khác nhau cho những người mang tên Nguyễn Đăng Quang, nhưng không có thông tin nào về việc ông sinh năm 1971 hay nơi sinh là Hà Nội.  
Đoạn thông tin: ""Nguyễn Đăng Quang (doanh nhân) (sinh năm 1963), nhà sáng lập và chủ tịch Tập đoàn Masan, phó chủ tịch Techcombank. Nguyễn Đăng Quang (sinh năm 1968), Phó Bí thư thường trực Tỉnh ủy Quảng Trị. Nguyễn Đăng Quang (nghệ sĩ) (sinh năm 1998), nghệ sĩ dương cầm."""
Nguyễn Đăng Quang đã tốt nghiệp Đại học Kinh tế Quốc dân Hà Nội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Nguyễn Đăng Quang tốt nghiệp Đại học Kinh tế Quốc dân Hà Nội không có trong đoạn văn thông tin cung cấp. Đoạn văn chỉ đề cập đến Thủ tướng Nguyễn Tấn Dũng và các vấn đề liên quan đến kinh tế Việt Nam trong thời gian ông lãnh đạo, không nhắc đến Nguyễn Đăng Quang hay việc học tập của ông.  
Đoạn thông tin: <Không có đoạn thông tin nào trong văn bản cung cấp liên quan đến Nguyễn Đăng Quang hoặc việc tốt nghiệp của ông.>"
Nguyễn Đăng Quang đã nhận bằng MBA tại Trường Kinh doanh Harvard.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Phạm Nhật Vượng, mà lại đề cập đến một cá nhân khác là Nguyễn Đăng Quang. Đoạn thông tin về Phạm Nhật Vượng không đề cập đến việc học tập hay bằng cấp của Nguyễn Đăng Quang.  
Đoạn thông tin: Không có thông tin nào liên quan đến Nguyễn Đăng Quang trong đoạn mô tả về Phạm Nhật Vượng."
Nguyễn Đăng Quang khởi nghiệp từ những năm 1990.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật được mô tả trong ngữ cảnh, vì không có thông tin nào trong đoạn văn về Nguyễn Đăng Quang hoặc sự nghiệp khởi nghiệp của ông. Thông tin chỉ đề cập đến sự nghiệp chính trị và các vị trí của một nhân vật khác.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Nguyễn Đăng Quang trong văn bản đã cung cấp."
Nguyễn Đăng Quang đã góp phần quan trọng trong việc xây dựng và phát triển Tập đoàn Masan.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Nguyễn Đăng Quang không xuất hiện trong đoạn văn cung cấp. Đoạn văn chỉ nói về Nguyễn Phú Trọng và sự nghiệp chính trị của ông.  
Đoạn thông tin: Không có thông tin liên quan đến Nguyễn Đăng Quang trong tài liệu về Nguyễn Phú Trọng."
Tập đoàn Masan đã được phát triển từ một công ty nhỏ thành một tập đoàn lớn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tập đoàn Masan không có trong đoạn văn cung cấp, và không liên quan đến nội dung về Võ Nguyên Giáp và lịch sử Việt Nam trong bối cảnh Cách mạng Tháng Tám.  
Đoạn thông tin: Không có thông tin liên quan đến Tập đoàn Masan trong đoạn văn đã cung cấp."
