Atomic Fact,Label,Reason
Ngô Quyền là một trong những nhân vật lịch sử nổi bật của Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không được đề cập trong đoạn văn bản thông tin về Đại tướng Võ Nguyên Giáp. Do đó, việc nói rằng Ngô Quyền là một trong những nhân vật lịch sử nổi bật của Việt Nam không có liên quan đến nội dung cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Ngô Quyền trong văn bản."
Ngô Quyền nổi tiếng với chiến công đánh bại quân Nam Hán.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không được đề cập trong đoạn văn bản cung cấp, mà chỉ có thông tin về Võ Nguyên Giáp và các sự kiện liên quan đến chiến tranh Việt Nam. Do đó, thông tin về Ngô Quyền và chiến công đánh bại quân Nam Hán không liên quan đến ngữ cảnh được cung cấp.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Ngô Quyền>"
Ngô Quyền giành lại độc lập cho đất nước.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không có trong đoạn văn bản được cung cấp, do đó không thể xác minh được thông tin này là đúng hay sai.  
Đoạn thông tin: Không có thông tin nào liên quan đến Ngô Quyền trong đoạn văn bản."
"Ngô Quyền sinh ra tại huyện Đường Lâm, tỉnh Hà Tây (nay là Hà Nội).",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không có trong đoạn văn cung cấp, mà nhân vật được đề cập là Trịnh Công Sơn. Do đó, thông tin này không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin liên quan trong đoạn văn cung cấp."
Ngô Quyền xuất thân từ một gia đình quý tộc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Đại tướng Võ Nguyên Giáp. Do đó, thông tin về xuất thân của Ngô Quyền không liên quan đến văn bản này.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến Ngô Quyền trong văn bản)"
Ngô Quyền có truyền thống chiến đấu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không được đề cập trong đoạn văn cung cấp. Nội dung chủ yếu tập trung vào Võ Nguyên Giáp và các chiến dịch của ông trong Chiến tranh Đông Dương và không có liên quan gì đến Ngô Quyền.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Ngô Quyền trong văn bản đã cho."
Ngô Quyền tham gia kháng chiến chống lại ách đô hộ của nhà Đường.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không có trong đoạn thông tin cung cấp, mà chỉ đề cập đến Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ về ông. Không có bất kỳ thông tin nào liên quan đến Ngô Quyền hoặc cuộc kháng chiến chống lại nhà Đường.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
Ngô Quyền tham gia kháng chiến chống lại ách đô hộ của nhà Nam Hán.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền không được đề cập trong đoạn thông tin cung cấp, mà đoạn này chỉ nói về Đại tướng Võ Nguyên Giáp và những nhận xét của Nhà giáo Hồ Cơ về ông. Do đó, thông tin về Ngô Quyền không liên quan đến ngữ cảnh.  
Đoạn thông tin: ""Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam."""
Ngô Quyền lãnh đạo quân đội Việt Nam trong trận Bạch Đằng năm 938.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Ngô Quyền lãnh đạo quân đội Việt Nam trong trận Bạch Đằng năm 938 không được đề cập trong đoạn văn bản cung cấp. Đoạn văn chỉ nói về Trần Đại Nghĩa và các hoạt động của ông mà không có thông tin nào liên quan đến Ngô Quyền hay trận Bạch Đằng.  
Đoạn thông tin: Không có thông tin liên quan đến Ngô Quyền hoặc trận Bạch Đằng trong đoạn văn."
Ngô Quyền đã sử dụng chiến thuật thông minh trong trận Bạch Đằng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Quyền và trận Bạch Đằng không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ nói về Võ Nguyên Giáp, Cách mạng Tháng Tám, và các sự kiện liên quan đến chính quyền Việt Nam Dân chủ Cộng hòa, không liên quan đến Ngô Quyền hay chiến thuật của ông trong trận Bạch Đằng.  
Đoạn thông tin: Không có thông tin nào liên quan đến Ngô Quyền hoặc trận Bạch Đằng trong đoạn văn được cung cấp."
