Atomic Fact,Label,Reason
Ngô Thanh Vân sinh ngày 26 tháng 2 năm 1979.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không liên quan đến ngữ cảnh hoặc thông tin về Nguyễn Tấn Dũng, nhân vật được cung cấp. Không có thông tin nào về Ngô Thanh Vân trong đoạn văn đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Ngô Thanh Vân trong tài liệu về Nguyễn Tấn Dũng."
"Ngô Thanh Vân sinh tại Trà Vinh, Việt Nam.",UnSupported,"Nhãn: UnSupported  
Lí do: Thông tin về Ngô Thanh Vân sinh tại Trà Vinh, Việt Nam là không đúng, vì trong đoạn văn cung cấp không có thông tin nào về Ngô Thanh Vân. Thông tin chỉ đề cập đến Trịnh Công Sơn và không liên quan đến Ngô Thanh Vân.  
Đoạn thông tin: Không có thông tin liên quan đến Ngô Thanh Vân trong đoạn văn cung cấp."
Ngô Thanh Vân là một trong những nghệ sĩ đa tài nổi bật trong làng giải trí Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không có trong đoạn văn cung cấp về Nguyễn Nhật Ánh, do đó không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin nào về Ngô Thanh Vân trong đoạn văn đã cho."
Ngô Thanh Vân được biết đến với vai trò là diễn viên.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận là đúng trong ngữ cảnh, vì Ngô Thanh Vân được giới thiệu là một nữ diễn viên bên cạnh các vai trò khác như ca sĩ, vũ công, người mẫu, nhà làm phim và doanh nhân.  
Đoạn thông tin: ""Ngô Thanh Vân (sinh ngày 26 tháng 2 năm 1979), hay còn được biết đến với nghệ danh Veronica Ngo, là một nữ diễn viên, ca sĩ, vũ công, người mẫu, nhà làm phim kiêm doanh nhân người Na Uy gốc Việt."""
Ngô Thanh Vân được biết đến với vai trò là nhà sản xuất.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết Ngô Thanh Vân đã bắt đầu sự nghiệp sản xuất phim điện ảnh từ dự án ""Ngày nảy ngày nay"" vào năm 2015, điều này xác nhận rằng cô được biết đến với vai trò là nhà sản xuất.  
Đoạn thông tin: ""Ngô Thanh Vân bắt đầu sự nghiệp sản xuất phim điện ảnh từ dự án Ngày nảy ngày nay (2015), mà trong đó cô có tham gia một vai."""
Ngô Thanh Vân được biết đến với vai trò là ca sĩ.,Supported,"Nhãn: Supported  
Lí do: Thông tin cho biết Ngô Thanh Vân là một nữ diễn viên, ca sĩ, vũ công, người mẫu, nhà làm phim kiêm doanh nhân, điều này xác nhận rằng cô được biết đến với vai trò là ca sĩ.  
Đoạn thông tin: ""Ngô Thanh Vân (sinh ngày 26 tháng 2 năm 1979), hay còn được biết đến với nghệ danh Veronica Ngo, là một nữ diễn viên, ca sĩ, vũ công, người mẫu, nhà làm phim kiêm doanh nhân người Na Uy gốc Việt."""
Ngô Thanh Vân được biết đến với vai trò là người mẫu.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không được đề cập trong đoạn văn thông tin về Đại tướng Võ Nguyên Giáp. Do đó, thông tin này không liên quan đến nội dung đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào đề cập đến Ngô Thanh Vân trong thông tin về Đại tướng Võ Nguyên Giáp."
Ngô Thanh Vân bắt đầu sự nghiệp nghệ thuật của mình vào đầu những năm 2000.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không được đề cập trong đoạn văn cung cấp thông tin. Đoạn văn chủ yếu nói về hoạt động và cuộc đời của Phạm Duy, không liên quan đến Ngô Thanh Vân.  
Đoạn thông tin: Không có thông tin nào về Ngô Thanh Vân trong đoạn văn cung cấp."
Ngô Thanh Vân tham gia vào lĩnh vực âm nhạc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không được đề cập trong đoạn văn cung cấp thông tin về Phạm Duy. Do đó, thông tin về Ngô Thanh Vân tham gia vào lĩnh vực âm nhạc không liên quan đến ngữ cảnh đã cho.  
Đoạn thông tin: Không có thông tin liên quan đến Ngô Thanh Vân trong đoạn văn."
Ngô Thanh Vân nhanh chóng trở thành một trong những ca sĩ nổi tiếng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Ngô Thanh Vân không có trong đoạn văn cung cấp, mà chỉ nói về Phạm Duy và sự nghiệp âm nhạc của ông trong thời kỳ Chiến tranh Việt Nam. Do đó, thông tin về Ngô Thanh Vân không liên quan đến nội dung của đoạn văn.  
Đoạn thông tin: Không có thông tin liên quan đến Ngô Thanh Vân trong đoạn văn."
