Atomic Fact,Label,Reason
Phan Văn Đức là một cầu thủ bóng đá chuyên nghiệp người Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức không có trong đoạn thông tin được cung cấp về Nguyễn Quang Hải. Do đó, việc xác nhận rằng Phan Văn Đức là một cầu thủ bóng đá chuyên nghiệp người Việt Nam không thể được xác minh từ ngữ cảnh hiện có.  
Đoạn thông tin: Không có thông tin nào liên quan đến Phan Văn Đức trong đoạn văn đã cho."
Phan Văn Đức sinh ngày 15 tháng 1 năm 1996.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Phan Văn Đức không liên quan đến ngữ cảnh của nhân vật Phạm Duy được cung cấp. Không có thông tin nào trong đoạn văn trích dẫn đề cập đến Phan Văn Đức hoặc ngày sinh của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Phan Văn Đức trong thông tin đã cung cấp về Phạm Duy."
"Phan Văn Đức sinh tại xã Đức An, huyện Đức Thọ, tỉnh Hà Tĩnh.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức không liên quan đến tiểu sử của Trịnh Công Sơn, mà chỉ đề cập đến Trịnh Công Sơn và các thông tin liên quan đến cuộc đời và sự nghiệp của ông. Không có bất kỳ thông tin nào trong đoạn văn về Phan Văn Đức hoặc địa điểm sinh của anh.  
Đoạn thông tin: ""Trịnh Công Sơn sinh năm 1939, nhưng có nguồn nói sinh năm 1940. Ông nguyên quán ở làng Minh Hương, xã Vĩnh Tri, thị xã Hương Trà, thành phố Huế. nhưng sinh tại xã Lạc Giao (nay là phường Thống Nhất, Ban Mê Thuột, tỉnh Đắk Lắk."""
Phan Văn Đức được biết đến với vai trò là cầu thủ chạy cánh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức không có trong đoạn văn bản được cung cấp. Tất cả thông tin đều liên quan đến Đại tướng Võ Nguyên Giáp và không đề cập gì đến Phan Văn Đức hay vai trò của anh trong bóng đá.  
Đoạn thông tin: Không có thông tin nào liên quan đến Phan Văn Đức trong văn bản."
Phan Văn Đức được biết đến với vai trò là tiền vệ tấn công.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức không được đề cập trong đoạn văn bản cung cấp, mà chỉ nói về Đại tướng Võ Nguyên Giáp. Do đó, thông tin này không liên quan đến ngữ cảnh.  
Đoạn thông tin: ""Nếu như tiêu chí chọn tướng của Hồ Chủ tịch là 'Đánh thắng Đại tướng được phong Đại tướng' thì suốt cuộc đời mình, Đại tướng Võ Nguyên Giáp đã lần lượt đọ sức và đánh thắng 10 đại tướng của Pháp và Mỹ (4 Pháp và 6 Mỹ), chưa kể đến nhiều viên đại tướng của chính quyền Việt Nam Cộng hoà."""
Phan Văn Đức bắt đầu sự nghiệp tại câu lạc bộ Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức và sự nghiệp của anh tại câu lạc bộ Sông Lam Nghệ An không được đề cập trong đoạn thông tin về nhân vật Phạm Duy. Đoạn văn chỉ nói về cuộc đời và sự nghiệp âm nhạc của Phạm Duy, không liên quan đến Phan Văn Đức.  
Đoạn thông tin: Không có thông tin liên quan đến Phan Văn Đức."
Phan Văn Đức trưởng thành từ lò đào tạo trẻ của Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Phan Văn Đức trưởng thành từ lò đào tạo trẻ của Sông Lam Nghệ An không được đề cập trong đoạn thông tin cung cấp. Đoạn thông tin chỉ nói về cuộc đời và hoạt động của Phạm Duy, một nhân vật khác, không liên quan đến Phan Văn Đức.  
Đoạn thông tin: Không có thông tin liên quan đến Phan Văn Đức trong đoạn văn."
Phan Văn Đức đã có những màn trình diễn ấn tượng trong màu áo của Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức và những màn trình diễn của anh tại Sông Lam Nghệ An không được đề cập trong đoạn văn bản cung cấp, mà chỉ nói về cuộc đời và sự nghiệp âm nhạc của Phạm Duy.  
Đoạn thông tin: Không có thông tin liên quan đến Phan Văn Đức trong đoạn văn."
Phan Văn Đức nhanh chóng trở thành một trong những cầu thủ chủ chốt của Sông Lam Nghệ An.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Phan Văn Đức không có liên quan đến nội dung của đoạn văn đã cung cấp, mà đoạn văn chỉ nói về cuộc đời và sự nghiệp của Phạm Duy, không đề cập đến bất kỳ cầu thủ nào hay đội bóng Sông Lam Nghệ An.  
Đoạn thông tin: <Không có thông tin liên quan nào trong đoạn văn>"
Phan Văn Đức đã góp mặt trong đội tuyển U23 Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Phan Văn Đức không có trong đoạn văn về Nguyễn Quang Hải, do đó không liên quan đến nội dung đã được cung cấp.  
Đoạn thông tin: Không có thông tin liên quan đến Phan Văn Đức trong đoạn văn đã cung cấp."
