Atomic Fact,Label,Reason
Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968"" hoàn toàn chính xác và được xác nhận trong đoạn văn thông tin cung cấp.  
Đoạn thông tin: ""Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968 tại Hà Nội, quê quán Hà Tĩnh."""
"Phạm Nhật Vượng sinh tại xã Hoa Lư, huyện Tĩnh Gia, tỉnh Thanh Hóa, Việt Nam.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nơi sinh của Phạm Nhật Vượng là không chính xác. Ông sinh ra tại Hà Nội, không phải tại xã Hoa Lư, huyện Tĩnh Gia, tỉnh Thanh Hóa.  
Đoạn thông tin: ""Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968 tại Hà Nội, quê quán Hà Tĩnh."""
Phạm Nhật Vượng học tại trường Đại học Tổng hợp Kiev (Ukraine).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Phạm Nhật Vượng học tại trường Đại học Tổng hợp Kiev (Ukraine) không được đề cập trong đoạn thông tin cung cấp về Võ Nguyên Giáp. Mọi thông tin trong văn bản chỉ liên quan đến cuộc đời và sự nghiệp của Võ Nguyên Giáp, không liên quan đến Phạm Nhật Vượng.  
Đoạn thông tin: Không có thông tin nào liên quan đến Phạm Nhật Vượng trong đoạn văn được cung cấp."
Phạm Nhật Vượng tốt nghiệp với chuyên ngành kinh tế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Phạm Nhật Vượng tốt nghiệp với chuyên ngành kinh tế không có trong đoạn văn cung cấp. Đoạn văn chỉ nói về Phạm Văn Đồng và không đề cập đến Phạm Nhật Vượng.  
Đoạn thông tin: Không có thông tin liên quan đến Phạm Nhật Vượng trong văn bản."
Phạm Nhật Vượng bắt đầu khởi nghiệp tại Ukraine.,Supported,"Nhãn: Supported  
Lí do: Thông tin này được xác nhận là đúng dựa trên nội dung của đoạn văn, trong đó đề cập đến việc Phạm Nhật Vượng khởi nghiệp từ kinh doanh mỳ ăn liền tại Ukraina.  
Đoạn thông tin: ""Trở thành tỷ phú đôla nhờ bước đầu khởi nghiệp từ kinh doanh mỳ ăn liền tại Ukraina và sau đó là đầu tư bất động sản ở Việt Nam."""
Phạm Nhật Vượng thành lập một công ty chuyên sản xuất mỳ ăn liền tại Ukraine.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Phạm Nhật Vượng thành lập một công ty chuyên sản xuất mỳ ăn liền tại Ukraine được xác nhận bởi các chi tiết trong đoạn văn về hoạt động kinh doanh của ông tại Ukraine, cụ thể là việc bắt đầu sản xuất mỳ ăn liền với thương hiệu ""Mivina"".  
Đoạn thông tin: ""Ngày 8 tháng 8 năm 1993, Phạm Nhật Vượng bắt đầu sản xuất mỳ ăn liền với thương hiệu 'Mivina' («Мівіна») sau khi vay 100,000 USD từ những người bạn Việt với lãi suất 8% một tháng. Hoạt động kinh doanh của ông Phạm Nhật Vượng tại Ukraina diễn ra rất thuận lợi.""  
""Đến năm 2004, mỳ ăn liền hiệu 'Mivina' đã chiếm tới 97% thị phần ở Ukraina."""
Công ty của Phạm Nhật Vượng nhanh chóng phát triển.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về sự phát triển của công ty Phạm Nhật Vượng không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ nói về Võ Nguyên Giáp và các sự kiện liên quan đến Cách mạng Tháng Tám cũng như tình hình chính trị tại Việt Nam giai đoạn đó. Do đó, thông tin về công ty của Phạm Nhật Vượng là không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn liên quan đến Phạm Nhật Vượng hoặc công ty của ông."
Công ty của Phạm Nhật Vượng trở thành một trong những doanh nghiệp hàng đầu trong lĩnh vực mỳ ăn liền tại Ukraine.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về công ty của Phạm Nhật Vượng và lĩnh vực mì ăn liền tại Ukraine không liên quan đến nội dung thông tin được cung cấp về Nhà giáo Hồ Cơ và Đại tướng Võ Nguyên Giáp. Đoạn thông tin chỉ nói về sự đóng góp và tầm quan trọng của Đại tướng Võ Nguyên Giáp trong cuộc kháng chiến và không đề cập đến Phạm Nhật Vượng hoặc ngành công nghiệp thực phẩm.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp... Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'."""
Phạm Nhật Vượng trở về Việt Nam vào năm 2001.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Phạm Nhật Vượng trở về Việt Nam vào năm 2001 là không đúng và không có trong đoạn văn bản cung cấp. Thực tế, đoạn văn chỉ đề cập đến Phạm Duy và thời gian cụ thể ông trở về Việt Nam là vào ngày 17 tháng 5 năm 2005.  
Đoạn thông tin: ""Phạm Duy chính thức trở về định cư tại Việt Nam ngày 17 tháng 5 năm 2005, với sự cho phép của chính phủ Việt Nam."""
Phạm Nhật Vượng thành lập Tập đoàn Vingroup.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin này không liên quan đến Phạm Văn Đồng, nhân vật được đề cập trong ngữ cảnh. Phạm Nhật Vượng không được nhắc đến trong thông tin về Phạm Văn Đồng và không có thông tin nào liên quan đến việc thành lập Tập đoàn Vingroup.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Phạm Nhật Vượng hoặc Tập đoàn Vingroup trong thông tin về Phạm Văn Đồng."
