Atomic Fact,Label,Reason
"Quang Trung, hay còn gọi là Nguyễn Huệ, là một trong những nhân vật lịch sử nổi bật của Việt Nam trong thế kỷ 18.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quang Trung (Nguyễn Huệ) không có trong đoạn văn cung cấp. Đoạn văn chỉ đề cập đến Nguyễn Trãi và các nhân vật liên quan đến ông, không đề cập đến Nguyễn Huệ hay bất kỳ thông tin nào liên quan đến ông.  
Đoạn thông tin: Không có thông tin liên quan đến Quang Trung (Nguyễn Huệ) trong đoạn văn đã cung cấp."
Quang Trung sinh ngày 15 tháng 5 năm 1753 (âm lịch).,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Quang Trung không liên quan đến nội dung được cung cấp về Nguyễn Tất Thành trong văn bản. Văn bản chỉ đề cập đến cuộc đời và hoạt động của Nguyễn Tất Thành, không có thông tin nào về Quang Trung.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Quang Trung."
"Quang Trung sinh tại làng Phú Xuân, huyện Phú Bình, tỉnh Thái Nguyên (nay thuộc tỉnh Bình Định).",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nguồn gốc của Quang Trung là sai, vì nhân vật Trịnh Công Sơn được cung cấp thông tin và không có liên quan gì đến Quang Trung hay nơi sinh của ông ta.  
Đoạn thông tin: Không có đoạn thông tin nào trong phần tiểu sử của Trịnh Công Sơn liên quan đến Quang Trung hay nơi sinh của ông."
Quang Trung là con trai của một gia đình nông dân.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Trịnh Công Sơn mà chỉ đề cập đến một nhân vật khác là Quang Trung.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Quang Trung hoặc thông tin về gia đình nông dân của ông."
Quang Trung từ nhỏ đã có tài năng và trí thông minh vượt trội.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quang Trung không có trong đoạn văn thông tin cung cấp về Trịnh Công Sơn. Do đó, câu nói này không liên quan đến nhân vật mà chúng ta đang nói đến.  
Đoạn thông tin: Không có thông tin liên quan đến Quang Trung trong đoạn văn về Trịnh Công Sơn."
Quang Trung được đào tạo bài bản.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc ""Quang Trung được đào tạo bài bản"" không có trong đoạn văn thông tin đã cung cấp. Nội dung chỉ đề cập đến Nguyễn Trãi và các tác phẩm, sự kiện liên quan đến ông, không liên quan đến Quang Trung.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Quang Trung trong văn bản."
Quang Trung có kiến thức sâu rộng về văn hóa và quân sự.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Quang Trung không được xác nhận trong đoạn thông tin cung cấp. Đoạn văn chỉ đề cập đến Trần Hưng Đạo và những đóng góp của ông trong lĩnh vực quân sự, không có bất kỳ thông tin nào liên quan đến Quang Trung hay kiến thức văn hóa và quân sự của ông.  
Đoạn thông tin: Không có đoạn thông tin nào trong nội dung cung cấp đề cập đến Quang Trung hay kiến thức của ông về văn hóa và quân sự."
Quang Trung tham gia phong trào khởi nghĩa Tây Sơn vào năm 1771.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Quang Trung và phong trào khởi nghĩa Tây Sơn không được đề cập trong đoạn văn thông tin về Nguyễn Ái Quốc. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Nguyễn Ái Quốc, không liên quan đến các sự kiện hoặc nhân vật khác như Quang Trung.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản cung cấp liên quan đến Quang Trung hay phong trào khởi nghĩa Tây Sơn."
Quang Trung tham gia khởi nghĩa chống lại triều đình nhà Lê mục nát.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đề cập đến Quang Trung và khởi nghĩa chống lại triều đình nhà Lê, nhưng thông tin cung cấp chỉ nói về Đại tướng Võ Nguyên Giáp và nhận xét của Nhà giáo Hồ Cơ về ông. Không có thông tin nào liên quan đến Quang Trung trong đoạn văn bản.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Quang Trung tham gia khởi nghĩa chống lại các thế lực phong kiến khác.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Quang Trung tham gia khởi nghĩa chống lại các thế lực phong kiến không được đề cập trong đoạn thông tin về Đại tướng Võ Nguyên Giáp và nhà giáo Hồ Cơ. Đoạn thông tin chỉ nói về công lao của Đại tướng Võ Nguyên Giáp trong cuộc kháng chiến chống giặc ngoại xâm và không liên quan đến Quang Trung.  
Đoạn thông tin: ""Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu."""
