Atomic Fact,Label,Reason
"Serena Williams sinh ngày 26 tháng 9 năm 1981 tại Saginaw, Michigan, Hoa Kỳ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena Williams không liên quan đến thông tin đã được cung cấp về Taylor Swift. Đoạn thông tin chỉ đề cập đến cuộc sống và tiểu sử của Taylor Swift mà không có bất kỳ thông tin nào liên quan đến Serena Williams.  
Đoạn thông tin: ""Taylor Alison Swift sinh ngày 13 tháng 12 năm 1989, tại West Reading, Pennsylvania. Tên của cô được đặt theo ca-nhạc sĩ James Taylor. Cha cô là Scott Kingsley Swift, trước kia làm nghề người môi giới chứng khoán cho bộ phận ngân hàng quản lý đầu tư Merrill Lynch."" (các đoạn khác cũng tương tự, tất cả đều không liên quan đến Serena Williams)"
Serena Williams là một trong những tay vợt nữ vĩ đại nhất trong lịch sử quần vợt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena Williams không được đề cập trong đoạn văn cung cấp, mà đoạn văn chỉ nói về Roger Federer và không có thông tin nào liên quan đến Serena Williams.  
Đoạn thông tin: ""Roger Federer được thừa nhận một cách rộng rãi là một trong những tay vợt vĩ đại nhất mọi thời đại và là tay vợt được yêu thích nhất trong Big Three của Tennis."""
"Serena Williams nổi tiếng với sức mạnh, kỹ thuật và khả năng thi đấu xuất sắc trên sân cỏ.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena Williams không liên quan đến ngữ cảnh cung cấp, mà ngữ cảnh chỉ đề cập đến Cristiano Ronaldo.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Serena Williams trong ngữ cảnh được cung cấp."
Serena bắt đầu chơi quần vợt từ khi còn nhỏ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Serena bắt đầu chơi quần vợt từ khi còn nhỏ không liên quan đến ngữ cảnh về Federer trong đoạn văn được cung cấp. Đoạn thông tin chỉ đề cập đến sự nghiệp và thành tích của Federer, không có bất kỳ thông tin nào về Serena.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Serena."
"Serena được đào tạo bởi cha mình, Richard Williams.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Serena được đào tạo bởi cha mình, Richard Williams không có trong đoạn thông tin cung cấp về Obama. Đoạn văn chỉ đề cập đến cuộc đời và sự nghiệp của Obama mà không liên quan đến Serena hoặc cha của cô.  
Đoạn thông tin: <Không có đoạn thông tin liên quan vì nó không được đề cập trong văn bản về Obama.>"
"Serena được đào tạo bởi mẹ mình, Oracene Price.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena và mẹ cô, Oracene Price, không có liên quan gì đến thông tin được cung cấp về Scarlett Johansson. Không có bất kỳ thông tin nào trong đoạn văn nói về Serena hay Oracene Price.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Serena hoặc Oracene Price trong thông tin được cung cấp về Scarlett Johansson.>"
Serena đã sớm nổi bật trong giới quần vợt trẻ cùng với chị gái Venus Williams.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena Williams và chị gái Venus Williams không được đề cập trong đoạn văn thông tin cung cấp về Lê Công Vinh, do đó không liên quan đến nhân vật đang được nói tới.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Serena hoặc Venus Williams trong thông tin về Lê Công Vinh."
Serena bắt đầu sự nghiệp chuyên nghiệp vào năm 1995.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Serena bắt đầu sự nghiệp chuyên nghiệp vào năm 1995 là không đúng. Đoạn thông tin cung cấp về Angelina Jolie cho biết sự nghiệp điện ảnh chuyên nghiệp của cô chỉ bắt đầu từ năm 1993, không liên quan gì đến Serena.  
Đoạn thông tin: ""Mặc dù Jolie đã xuất hiện năm trong số các bộ phim học đường do anh trai cô làm khi ông theo học tại Trường Nghệ thuật Điện ảnh USC (trực thuộc Đại học Nam California), sự nghiệp điện ảnh chuyên nghiệp của cô chỉ bắt đầu từ năm 1993."""
Serena nhanh chóng trở thành một trong những tên tuổi hàng đầu trong làng quần vợt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena không được đề cập trong ngữ cảnh đã cho, mà chỉ có thông tin về Swift. Do đó, thông tin này không liên quan đến nhân vật đang được nói đến.  
Đoạn thông tin: Không có thông tin liên quan đến Serena trong đoạn văn."
Serena Williams đã giành được 23 danh hiệu đơn nữ Grand Slam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Serena Williams không liên quan đến nội dung của đoạn văn về Federer. Đoạn văn chỉ đề cập đến sự nghiệp và thành tích của Roger Federer, không có thông tin nào về Serena Williams hay số lượng danh hiệu Grand Slam mà cô đã giành được.  
Đoạn thông tin: Toàn bộ đoạn văn về Roger Federer mà không đề cập đến Serena Williams."
