Atomic Fact,Label,Reason
"Taylor Swift là một ca sĩ, nhạc sĩ, và nhà sản xuất âm nhạc người Mỹ.",Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Taylor Swift không liên quan đến nhân vật được đề cập trong ngữ cảnh, đó là Trịnh Công Sơn, một nhạc sĩ và ca sĩ nổi tiếng ở Việt Nam. 
Đoạn thông tin: Không có trong đoạn thông tin đã cung cấp về Trịnh Công Sơn."
Taylor Swift sinh ngày 13 tháng 12 năm 1989.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về ngày sinh của Taylor Swift không liên quan đến thông tin được cung cấp về Isaac Newton. Đoạn văn chỉ tập trung vào cuộc đời, sự nghiệp và thành tựu của Isaac Newton, không có bất kỳ đề cập nào đến Taylor Swift.  
Đoạn thông tin: ""Isaac Newton được sinh ra (theo lịch Julius, đang được sử dụng ở Anh vào thời điểm đó) vào ngày Giáng sinh, 25 tháng 12 năm 1642 (lịch mới là ngày 4 tháng 1 năm 1643)..."""
"Taylor Swift sinh tại Reading, Pennsylvania.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến nơi sinh của Taylor Swift không có liên quan gì đến thông tin về Barack Obama, mà chỉ tập trung vào tiểu sử và hoàn cảnh của ông. Đoạn văn không đề cập đến Taylor Swift.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Taylor Swift."
Taylor Swift được biết đến với khả năng sáng tác và phong cách âm nhạc đa dạng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Taylor Swift không liên quan gì đến nội dung về Stephen Hawking và ""Lược sử Thời gian"". Đoạn văn chỉ đề cập đến các thành tựu và cuộc sống của Stephen Hawking, không có thông tin nào về Taylor Swift.  
Đoạn thông tin: ""Lược sử Thời gian"" được dịch sang nhiều thứ tiếng, và tới năm 2009 bán được ít nhất 9 triệu bản. Truyền thông hết sức chú ý đến hiện tượng kỉ lục này, và cả trang bìa tờ Newsweek cùng một chương trình truyền hình đặc biệt mô tả ông là ""Master of the Universe"" (tạm dịch, ""Bậc thầy Vũ trụ""). Thành công dẫn đến những khoản tiền hậu hĩnh, nhưng cũng đem lại thách thức trong vai trò người nổi tiếng. Hawking đã du hành liên tục để quảng bá công trình của mình, và tham gia tiệc tùng và khiêu vũ tới tận đêm khuya. Những lời mời và các vị khách khó từ chối khiến ông ít có thời gian dành cho công việc và các học trò. Vài đồng nghiệp phật ý vì sự chú ý dành cho Hawking, cảm giác rằng đó chủ yếu là do sự tàn tật của ông. Ông cũng nhận thêm nhiều ghi nhận về mặt học thuật, bao gồm thêm năm bằng tiến sĩ danh dự, Huy chương Vàng của Hội Thiên văn học Hoàng gia (1985), Huy chương Paul Dirac (1987) và cùng với Penrose nhận Giải Wolf danh tiếng (1988). Năm 1989, ông được Nữ hoàng Elizabeth II phong tước CH (tước hiệu dân sự cao thứ hai mà một bình dân Anh có thể đạt được, thấp hơn Huân chương Công trạng–OM)."
"Taylor Swift có phong cách âm nhạc đa dạng, từ country, pop đến indie folk.",Supported,"Nhãn: Supported  
Lí do: Thông tin về phong cách âm nhạc của Taylor Swift được xác nhận là đúng trong đoạn văn, khi nó nêu rõ rằng cô đã kết hợp nhiều dòng nhạc khác nhau, bao gồm country, pop và indie folk. Đoạn thông tin cũng chỉ rõ sự chuyển đổi của cô từ nhạc đồng quê sang pop và những yếu tố của các thể loại khác mà cô đã thử nghiệm.  
Đoạn thông tin: ""Swift là một người mạo hiểm trong việc kết hợp nhiều dòng nhạc khác nhau và thực hiện nhiều kiểu sáng tạo nghệ thuật, đổi mới không ngừng, qua đó cô được ví như một 'tắc kè hoa' của âm nhạc."" và ""Cô từ bỏ thể loại nhạc đồng quê vào năm 2014 bằng cách phát hành album phòng thu thứ năm 1989 thuộc thể loại synth-pop."" và ""Không những thế, Swift còn sẵn sàng gác lại nhạc pop đại chúng để chuyển sang phong cách thể loại hoàn toàn là alternative, dân gian đương đại và indie rock trong hai album bất ngờ năm 2020 Folklore và Evermore."""
Taylor Swift bắt đầu viết nhạc từ khi còn rất trẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Taylor Swift không liên quan đến nội dung thông tin cung cấp về Isaac Newton. Đoạn thông tin chỉ đề cập đến cuộc đời và sự nghiệp của Isaac Newton mà không có bất kỳ liên quan gì đến Taylor Swift.  
Đoạn thông tin: N/A (không có thông tin nào liên quan đến Taylor Swift trong đoạn văn cung cấp)."
"Taylor Swift cùng gia đình chuyển đến Nashville, Tennessee, khi 14 tuổi.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Taylor Swift cùng gia đình chuyển đến Nashville, Tennessee khi 14 tuổi không liên quan đến tiểu sử của Albert Einstein, mà chỉ đề cập đến Einstein và bối cảnh cuộc đời của ông.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Taylor Swift trong văn bản cung cấp."
"Taylor Swift chuyển đến Nashville, Tennessee, để theo đuổi sự nghiệp âm nhạc.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về việc Taylor Swift chuyển đến Nashville, Tennessee, để theo đuổi sự nghiệp âm nhạc không liên quan đến thông tin được cung cấp về Stephen Hawking. Đoạn văn chỉ nói về cuộc đời và sự nghiệp của Hawking mà không đề cập gì đến Taylor Swift hay sự nghiệp âm nhạc của cô.  
Đoạn thông tin: ""Hawking trở về Cambridge tháng 10 năm 1975 với một căn nhà mới, một công việc mới-Phó Giáo sư (Reader, một vị trí đặc biệt ở các trường đại học Anh, cao hơn giảng viên cao cấp, nhưng chưa tới ghế giáo sư)."""
Taylor Swift ký hợp đồng với Big Machine Records.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Taylor Swift ký hợp đồng với Big Machine Records được xác nhận là đúng và có cơ sở trong đoạn văn được cung cấp.  
Đoạn thông tin: ""Cô ký hợp đồng với Big Machine ngay từ lúc hãng còn chưa được thành lập, và cha của cô mua lại 3% cổ phần công ty còn non trẻ này với giá tiền ước tính 120.000 đô la Mỹ."""
"Taylor Swift phát hành album đầu tay mang tên ""Taylor Swift"" vào năm 2006.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Taylor Swift phát hành album đầu tay mang tên ""Taylor Swift"" vào năm 2006 không được xác nhận trong đoạn văn cung cấp. Đoạn thông tin chỉ nói về sự khởi đầu sự nghiệp của cô và việc cô làm việc với các nhạc sĩ, không đề cập đến tên album hay thời gian phát hành.  
Đoạn thông tin: ""Swift trở thành nghệ sĩ nhỏ tuổi nhất ký hợp đồng với nhà xuất bản Sony/ATV Tree, nhưng sau đó rời khỏi RCA Records vào năm 14 tuổi do hãng đĩa không đủ quan tâm và muốn cô 'dựa vào thành quả của người khác'."""
