Atomic Fact,Label,Reason
"Trần Hưng Đạo, tên thật là Trần Quốc Tuấn, sinh năm 1228.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo và tên thật Trần Quốc Tuấn không liên quan đến nhân vật Trịnh Công Sơn, và không có bất kỳ thông tin nào trong đoạn văn đã cung cấp liên quan đến Trần Hưng Đạo.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Hưng Đạo trong đoạn văn cung cấp về Trịnh Công Sơn."
Trần Hưng Đạo mất năm 1300.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo không được đề cập trong đoạn văn bản cung cấp và không liên quan đến nhân vật được nói đến (Phạm Duy).  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Trần Hưng Đạo trong văn bản."
Trần Hưng Đạo là một trong những nhân vật lịch sử vĩ đại nhất của Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo không liên quan đến nội dung tiểu sử của Trịnh Công Sơn, mà chỉ cung cấp thông tin về một nhân vật lịch sử khác. Trong đoạn thông tin cung cấp, không có bất kỳ thông tin nào về Trần Hưng Đạo hoặc sự vĩ đại của ông trong lịch sử Việt Nam.  
Đoạn thông tin: Không có thông tin nào về Trần Hưng Đạo trong đoạn văn bản được cung cấp."
Trần Hưng Đạo là một tướng lĩnh tài ba.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo không được đề cập trong đoạn văn bản cung cấp, mà đoạn văn chỉ nói về Đại tướng Võ Nguyên Giáp và những nhận xét của Nhà giáo Hồ Cơ về ông.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp. Trong cuộc kháng chiến chống giặc ngoại xâm, thì công của Đại tướng là công đầu. Nguy nan gì ông cũng xông vào. Khi lâm trận thì ông nghĩ làm thế nào để chiến thắng mà quân dân hy sinh ít nhất. Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'; và ông cũng có nhiều câu đối ca ngợi Đại tướng, được nhiều tài liệu đề cập đến."""
Trần Hưng Đạo là nhà lãnh đạo nổi bật trong cuộc kháng chiến chống quân xâm lược Nguyên Mông vào thế kỷ 13.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo không có trong đoạn văn cung cấp, nên không liên quan đến ngữ cảnh về Võ Nguyên Giáp và cuộc kháng chiến chống Pháp.  
Đoạn thông tin: Không có thông tin liên quan đến Trần Hưng Đạo trong đoạn văn."
Trần Hưng Đạo xuất thân trong một gia đình quý tộc thuộc dòng dõi Trần.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến Trần Hưng Đạo không liên quan đến tiểu sử của Trịnh Công Sơn, nhân vật được cung cấp thông tin. Trong đoạn văn không có bất kỳ thông tin nào về Trần Hưng Đạo hay gia đình ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Trần Hưng Đạo trong đoạn văn về Trịnh Công Sơn."
Trần Hưng Đạo là con trai của Trần Thủ Độ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo và Trần Thủ Độ không xuất hiện trong đoạn tiểu sử của Trịnh Công Sơn. Do đó, thông tin này không liên quan đến ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Trần Hưng Đạo hay Trần Thủ Độ trong văn bản."
Trần Thủ Độ là một nhân vật có ảnh hưởng lớn trong triều đình.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về Trần Thủ Độ không liên quan đến nhân vật Nguyễn Trọng Trí hay Hàn Mặc Tử, mà chỉ tập trung vào cuộc đời và sự nghiệp của Hàn Mặc Tử. Không có bất kỳ thông tin nào trong đoạn văn đề cập đến Trần Thủ Độ.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Trần Thủ Độ trong nội dung đã cung cấp."
Trần Hưng Đạo nổi tiếng với những chiến công lừng lẫy trong cuộc kháng chiến chống quân Nguyên Mông.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Trần Hưng Đạo và những chiến công của ông trong cuộc kháng chiến chống quân Nguyên Mông không có trong đoạn văn cung cấp. Đoạn văn chủ yếu nói về Võ Nguyên Giáp và các sự kiện liên quan đến cuộc chiến tranh Việt Nam, không đề cập đến Trần Hưng Đạo.  
Đoạn thông tin: Không có thông tin liên quan đến Trần Hưng Đạo trong đoạn văn."
"Trần Hưng Đạo đã chỉ huy quân đội Đại Việt trong ba cuộc kháng chiến vào các năm 1258, 1285 và 1288.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về Trần Hưng Đạo chỉ ra rằng ông đã chỉ huy quân đội Đại Việt trong hai cuộc kháng chiến chính vào các năm 1285 và 1288, nhưng không có thông tin nào xác nhận ông đã chỉ huy trong cuộc kháng chiến vào năm 1258. Thực tế, vào năm 1258, Trần Hưng Đạo chưa được phong làm đại tướng.  
Đoạn thông tin: ""Năm 1257, ông được vua Trần Thái Tông phong làm đại tướng chỉ huy các lực lượng ở biên giới đánh quân Mông Cổ xâm lược."" và ""Năm 1285, ông lãnh đạo quân sĩ chặn đứng đội quân xâm lược do hoàng tử thứ chín Thoát Hoan."" và ""Năm 1288, quân Nguyên trở lại xâm lược Đại Việt lần thứ ba."""
