Atomic Fact,Label,Reason
Xuân Quỳnh là một trong những nhà thơ nữ nổi bật của văn học Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Xuân Quỳnh không được đề cập trong đoạn văn cung cấp, do đó không có cơ sở để xác nhận thông tin này. Đoạn văn chỉ nói về Nguyễn Du và các tác phẩm của ông, không liên quan gì đến Xuân Quỳnh.  
Đoạn thông tin: Không có thông tin nào liên quan đến Xuân Quỳnh trong đoạn văn."
Xuân Quỳnh được biết đến với những tác phẩm thơ tình sâu sắc và giàu cảm xúc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Xuân Quỳnh không được đề cập trong đoạn văn cung cấp, mà đoạn văn chỉ nói về Nguyễn Du và các tác phẩm của ông. Không có bất kỳ thông tin nào liên quan đến Xuân Quỳnh trong văn bản.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Xuân Quỳnh."
"Xuân Quỳnh sinh ra tại huyện Văn Lâm, tỉnh Hưng Yên.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về nơi sinh của Xuân Quỳnh không được đề cập trong đoạn văn thông tin cung cấp. Đoạn thông tin chỉ nói về cuộc đời và các sự kiện liên quan đến Nguyễn Du, không liên quan đến Xuân Quỳnh.  
Đoạn thông tin: ""=== Thời niên thiếu === Năm Quý Mão (1783), Nguyễn Du thi Hương ở trường Sơn Nam, đậu Tam trường (Sinh đồ) lúc 18 tuổi. Ông lấy vợ là con gái của ông Đoàn Nguyễn Thục. Ông được tập ấm chức Chánh Thủ hiệu quân hùng hậu hiệu, chỉ huy đội quân hùng mạnh nhất Thái Nguyên của cha nuôi họ Hà ở Thái Nguyên cùng Nguyễn Đăng Tiến, làm quyền Trấn thủ Thái Nguyên thay mặt Nguyễn Khản..."" (và tiếp tục thông tin về Nguyễn Du)."
Tên thật của Xuân Quỳnh là Nguyễn Thị Xuân Quỳnh.,Irrelevant,"Nhãn: Irrelevant
Lí do: Thông tin về tên thật của Xuân Quỳnh không liên quan đến nhân vật Võ Nguyên Giáp, mà chỉ đề cập đến một cá nhân khác không có trong ngữ cảnh đã cho.
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Xuân Quỳnh trong thông tin về Võ Nguyên Giáp."
Xuân Quỳnh bắt đầu sáng tác từ khi còn rất trẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Xuân Quỳnh không được đề cập trong đoạn văn bản về Võ Nguyên Giáp. Do đó, câu hỏi không liên quan đến nội dung cung cấp.  
Đoạn thông tin: Không có thông tin liên quan đến Xuân Quỳnh."
Xuân Quỳnh nhanh chóng khẳng định được tài năng của mình.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Xuân Quỳnh không có trong ngữ cảnh về Võ Nguyên Giáp và các hoạt động của ông. Đoạn thông tin được cung cấp chỉ đề cập đến Võ Nguyên Giáp và không nhắc đến bất kỳ ai tên là Xuân Quỳnh.  
Đoạn thông tin: Không có thông tin liên quan đến Xuân Quỳnh trong đoạn văn cung cấp."
Xuân Quỳnh là một trong những gương mặt tiêu biểu của phong trào thơ mới sau năm 1975.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Xuân Quỳnh không được đề cập trong đoạn văn cung cấp. Đoạn văn chỉ nói về Nguyễn Du và các giai đoạn nghiên cứu, phê bình tác phẩm của ông, không liên quan đến Xuân Quỳnh hay phong trào thơ mới sau năm 1975.  
Đoạn thông tin: <Không có thông tin liên quan đến Xuân Quỳnh trong đoạn văn>"
"Thơ của Xuân Quỳnh thường mang đậm tâm trạng và những suy tư về tình yêu, hạnh phúc, gia đình và cuộc sống.",Supported,"Nhãn: Supported  
Lí do: Thông tin về thơ của Xuân Quỳnh được xác nhận là đúng qua việc mô tả rằng thơ của bà thể hiện cảm xúc đa dạng và gần gũi với những chủ đề như tình yêu, hạnh phúc, và cuộc sống gia đình. Điều này thể hiện rõ trong các đoạn mô tả về thơ của Xuân Quỳnh trong văn bản cung cấp.  
Đoạn thông tin: ""Thơ Xuân Quỳnh giàu cảm xúc với những cung bậc khác nhau như chính tính cách luôn hết mình của Xuân Quỳnh. Những bài thơ khi hạnh phúc đắm say, lúc đau khổ, suy tư của nhà thơ luôn gần gũi vì được viết với sự đằm thắm của một người phụ nữ vừa làm thơ vừa làm vợ, làm mẹ."""
"Các tác phẩm của Xuân Quỳnh thường thể hiện sự nhạy cảm, tinh tế và sự trăn trở về số phận con người.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về sự nhạy cảm, tinh tế và sự trăn trở về số phận con người trong các tác phẩm của Xuân Quỳnh không được đề cập trong đoạn thông tin cung cấp về Nguyễn Du. Tất cả thông tin chỉ liên quan đến Nguyễn Du và không nói đến Xuân Quỳnh.  
Đoạn thông tin: Không có thông tin liên quan đến Xuân Quỳnh trong đoạn văn bản cung cấp."
"Một trong những bài thơ nổi tiếng nhất của Xuân Quỳnh là ""Sóng"".",Supported,"Nhãn: Supported  
Lí do: Thông tin ""Một trong những bài thơ nổi tiếng nhất của Xuân Quỳnh là 'Sóng'"" được xác nhận là đúng bởi vì trong đoạn thông tin về thành tựu nghệ thuật của Xuân Quỳnh có nhắc đến rằng ""Nhiều bài thơ của Xuân Quỳnh đã trở nên nổi tiếng như Thuyền và biển, Sóng."" Điều này khẳng định rằng ""Sóng"" là một trong những bài thơ nổi tiếng của bà.  
Đoạn thông tin: ""Nhiều bài thơ của Xuân Quỳnh đã trở nên nổi tiếng như Thuyền và biển, Sóng (viết năm 1967, in trong tập Hoa dọc chiến hào năm 1968), Hoa cỏ may, Tự hát, Nói cùng anh..."""
