Atomic Fact,Label,Reason
Đinh Tiên Hoàng là một trong những vị vua đầu tiên của Việt Nam.,Unsupported,"Nhãn: Unsupported  
Lí do: Đinh Tiên Hoàng không phải là một trong những vị vua đầu tiên của Việt Nam, mà là vị hoàng đế đầu tiên của Đại Cồ Việt sau thời Bắc thuộc, theo thông tin đã được cung cấp. Thông tin này không được xác nhận trong đoạn văn.  
Đoạn thông tin: ""Đinh Tiên Hoàng, tên húy là Đinh Bộ Lĩnh, là vị hoàng đế sáng lập triều đại nhà Đinh, nước Đại Cồ Việt trong lịch sử Việt Nam. Ông là người có công đánh dẹp loạn 12 sứ quân, thống nhất giang sơn và trở thành hoàng đế đầu tiên của Việt Nam sau thời Bắc thuộc."""
Đinh Tiên Hoàng nổi tiếng với việc thống nhất đất nước.,Supported,"Nhãn: Supported  
Lí do: Thông tin về việc Đinh Tiên Hoàng nổi tiếng với việc thống nhất đất nước được xác nhận và có trong nguồn thông tin cung cấp. Ông được ghi nhận là người có công đánh dẹp loạn 12 sứ quân và thống nhất giang sơn, trở thành hoàng đế đầu tiên của Việt Nam sau thời Bắc thuộc.  
Đoạn thông tin: ""Ông là người có công đánh dẹp loạn 12 sứ quân, thống nhất giang sơn và trở thành hoàng đế đầu tiên của Việt Nam sau thời Bắc thuộc."""
Đinh Tiên Hoàng lập nên triều đại Đinh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đinh Tiên Hoàng và triều đại Đinh không liên quan đến nội dung về Hồ Chí Minh được cung cấp trong ngữ cảnh.  
Đoạn thông tin: (Không có đoạn thông tin về Đinh Tiên Hoàng trong văn bản cung cấp.)"
Triều đại Đinh đánh dấu một bước phát triển quan trọng trong lịch sử dân tộc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact này không liên quan đến thông tin được cung cấp về Nhà giáo Hồ Cơ và Đại tướng Võ Nguyên Giáp. Đoạn thông tin chỉ đề cập đến nhận xét của Hồ Cơ về Võ Nguyên Giáp và vai trò của Chủ tịch Hồ Chí Minh trong lịch sử, không có bất kỳ đề cập nào đến triều đại Đinh hay sự phát triển lịch sử của dân tộc.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp... Cái đó là con người vĩ đại. Tôi ca ngợi một con người xứng đáng là anh hùng của Việt Nam'."""
Tên thật của Đinh Tiên Hoàng là Đinh Bộ Lĩnh.,Supported,"Nhãn: Supported  
Lí do: Thông tin ""Tên thật của Đinh Tiên Hoàng là Đinh Bộ Lĩnh"" được xác nhận trong tài liệu tham khảo, nơi nêu rõ rằng hầu hết các chính sử đều ghi nhận Đinh Tiên Hoàng tên thật là Đinh Bộ Lĩnh.  
Đoạn thông tin: ""Hầu hết các chính sử như: An Nam chí lược; 'Việt sử lược', 'Đại Việt sử ký toàn thư', Việt sử tiêu án, đều viết Đinh Tiên Hoàng vốn họ Đinh tên Bộ Lĩnh (丁部領)."""
Đinh Tiên Hoàng sinh năm 924 tại đất Hoa Lư.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đinh Tiên Hoàng không được đề cập trong đoạn văn bản cung cấp, mà chỉ nói về Trần Hưng Đạo và các sự kiện liên quan đến cuộc kháng chiến chống quân Nguyên - Mông. Do đó, thông tin về Đinh Tiên Hoàng là không liên quan đến ngữ cảnh.  
Đoạn thông tin: <Không có đoạn thông tin nào đề cập đến Đinh Tiên Hoàng trong văn bản cung cấp.>"
Đinh Tiên Hoàng xuất thân từ một gia đình nông dân.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin nói rằng Đinh Tiên Hoàng xuất thân từ một gia đình nông dân là sai, vì trong thông tin cung cấp không có đề cập đến Đinh Tiên Hoàng mà chỉ nói về Lê Lợi (Lê Thái Tổ) và Lưu Bang (Hán Cao Tổ). Theo thông tin, Lê Lợi được xác nhận là không xuất thân từ gia đình nông dân, mà từ gia đình ""đời đời làm quân trưởng một phương"". Do đó, thông tin về Đinh Tiên Hoàng không có cơ sở và không được xác nhận.  
Đoạn thông tin: ""Tuy nhiên các sách sử đều viết rằng Lê Lợi xuất thân từ gia đình 'đời đời làm quân trưởng một phương' chứ không xuất thân từ gia đình nông dân."""
Đinh Tiên Hoàng có khả năng lãnh đạo và tài thao lược.,Supported,"Nhãn: Supported  
Lí do: Thông tin về khả năng lãnh đạo và tài thao lược của Đinh Tiên Hoàng được phản ánh qua việc ông đã ""đánh dẹp loạn 12 sứ quân, thống nhất giang sơn"" và ""là vị hoàng đế đặt nền móng sáng lập nhà nước phong kiến trung ương tập quyền đầu tiên ở Việt Nam"". Điều này cho thấy ông có khả năng lãnh đạo xuất sắc và tài năng trong việc quản lý đất nước trong giai đoạn khó khăn.  
Đoạn thông tin: ""Ông là người có công đánh dẹp loạn 12 sứ quân, thống nhất giang sơn và trở thành hoàng đế đầu tiên của Việt Nam sau thời Bắc thuộc."" và ""Đinh Tiên Hoàng là vị hoàng đế đặt nền móng sáng lập nhà nước phong kiến trung ương tập quyền đầu tiên ở Việt Nam."""
Đinh Tiên Hoàng bắt đầu nổi lên trong bối cảnh đất nước phân chia thành nhiều tiểu quốc.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact không liên quan đến thông tin về Đại tướng Võ Nguyên Giáp và nhận xét của nhà giáo Hồ Cơ. Thông tin đề cập đến Đinh Tiên Hoàng, một nhân vật lịch sử khác, không xuất hiện trong đoạn thông tin đã cung cấp.  
Đoạn thông tin: ""Nhà giáo Hồ Cơ nhận xét về Đại tướng Võ Nguyên Giáp như sau: 'Đất nước này nên cơ nên nghiệp, thứ nhất là do công của Chủ tịch Hồ Chí Minh, sau đó là Đại tướng Võ Nguyên Giáp...'"""
Các thế lực quân phiệt tranh giành quyền lực khi Đinh Tiên Hoàng nổi lên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về các thế lực quân phiệt tranh giành quyền lực khi Đinh Tiên Hoàng nổi lên không được đề cập trong đoạn văn. Toàn bộ nội dung trong đoạn văn chỉ tập trung vào các sự kiện liên quan đến thời kỳ chiến tranh giữa Chúa Nguyễn và Nhà Tây Sơn mà không liên quan đến Đinh Tiên Hoàng.  
Đoạn thông tin: Không có thông tin trong đoạn văn liên quan đến Đinh Tiên Hoàng hay bất kỳ thế lực quân phiệt nào tranh giành quyền lực vào thời điểm đó."
