Atomic Fact,Label,Reason
Đặng Lê Nguyên Vũ sinh ngày 20 tháng 10 năm 1971.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về ngày sinh của Đặng Lê Nguyên Vũ không được đề cập trong đoạn thông tin về Nguyễn Tấn Dũng. Do đó, thông tin này không thể xác minh và là sai trong ngữ cảnh được cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến Đặng Lê Nguyên Vũ hay ngày sinh của ông."
Đặng Lê Nguyên Vũ là một doanh nhân nổi tiếng.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật Nguyễn Tấn Dũng, mà đề cập đến Đặng Lê Nguyên Vũ, một doanh nhân khác không được nhắc đến trong ngữ cảnh.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn bản về Đặng Lê Nguyên Vũ."
Đặng Lê Nguyên Vũ là người sáng lập Tập đoàn Trung Nguyên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn văn bản cung cấp, mà chỉ có thông tin về Võ Nguyên Giáp. Do đó, câu hỏi không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Lê Nguyên Vũ trong văn bản."
Đặng Lê Nguyên Vũ là Chủ tịch Hội đồng Quản trị của Tập đoàn Trung Nguyên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và vai trò của ông tại Tập đoàn Trung Nguyên không được đề cập trong đoạn văn thông tin đã cung cấp về nhân vật khác.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong văn bản."
Tập đoàn Trung Nguyên là một trong những thương hiệu cà phê lớn nhất tại Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tập đoàn Trung Nguyên không liên quan đến nhân vật Phạm Duy và sự nghiệp âm nhạc của ông trong bối cảnh chiến tranh Việt Nam. Đoạn thông tin cung cấp hoàn toàn tập trung vào các hoạt động và tác phẩm của Phạm Duy, mà không đề cập đến bất kỳ thương hiệu cà phê nào.  
Đoạn thông tin: Không có đoạn thông tin liên quan đến Tập đoàn Trung Nguyên trong thông tin về Phạm Duy."
Đặng Lê Nguyên Vũ được biết đến như một người có tầm nhìn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn văn cung cấp, mà chỉ có thông tin về Võ Nguyên Giáp. Không có bất kỳ thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong văn bản.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Lê Nguyên Vũ."
Đặng Lê Nguyên Vũ có ý chí kiên định trong việc xây dựng thương hiệu cà phê Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và ý chí của ông trong việc xây dựng thương hiệu cà phê Việt Nam không có liên quan gì đến thông tin về Phạm Duy mà tôi đã nhận được. Đoạn văn chỉ đề cập đến sự nghiệp âm nhạc của Phạm Duy trong thời kỳ Chiến tranh Việt Nam, không có thông tin nào về Đặng Lê Nguyên Vũ.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Lê Nguyên Vũ trong đoạn văn cung cấp."
Đặng Lê Nguyên Vũ phát triển thương hiệu cà phê Việt Nam không chỉ trong nước mà còn ra quốc tế.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và thương hiệu cà phê của ông không liên quan đến nhân vật Phạm Duy và sự nghiệp âm nhạc của ông trong bối cảnh chiến tranh Việt Nam.  
Đoạn thông tin: Không có đoạn thông tin nào trong phần thông tin đã cung cấp liên quan đến Đặng Lê Nguyên Vũ hoặc thương hiệu cà phê Việt Nam."
"Đặng Lê Nguyên Vũ sinh ra tại tỉnh Đắk Lắk, Việt Nam.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng Đặng Lê Nguyên Vũ sinh ra tại tỉnh Đắk Lắk là sai vì nhân vật được cung cấp thông tin là Trịnh Công Sơn. Trịnh Công Sơn sinh tại xã Lạc Giao (nay là phường Thống Nhất, Ban Mê Thuột, tỉnh Đắk Lắk), nhưng không có thông tin liên quan đến Đặng Lê Nguyên Vũ.  
Đoạn thông tin: ""Ông sinh tại xã Lạc Giao (nay là phường Thống Nhất, Ban Mê Thuột, tỉnh Đắk Lắk)."""
Đặng Lê Nguyên Vũ lớn lên trong một gia đình nông dân.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn thông tin cung cấp về Võ Nguyên Giáp. Do đó, không thể xác nhận thông tin này là đúng hay sai liên quan đến ngữ cảnh của Võ Nguyên Giáp.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Lê Nguyên Vũ trong tài liệu về Võ Nguyên Giáp."
Đặng Lê Nguyên Vũ từ nhỏ đã có đam mê với việc trồng trọt.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin được cung cấp không đề cập đến Đặng Lê Nguyên Vũ hay bất kỳ đam mê nào của ông với việc trồng trọt. Thông tin chỉ nói về Trịnh Công Sơn và tiểu sử của ông.  
Đoạn thông tin: Không có thông tin nào liên quan đến Đặng Lê Nguyên Vũ."
Đặng Lê Nguyên Vũ đặc biệt đam mê cây cà phê.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn văn bản cung cấp về Phạm Duy, do đó không liên quan đến ngữ cảnh đã được nêu.  
Đoạn thông tin: Không có thông tin liên quan nào về Đặng Lê Nguyên Vũ trong đoạn văn bản."
Đặng Lê Nguyên Vũ bắt đầu sự nghiệp với việc mở một quán cà phê nhỏ vào năm 1996.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không được đề cập trong đoạn văn cung cấp về Phạm Nhật Vượng. Do đó, đây là thông tin không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong phần đã cho."
Quán cà phê nhỏ của Đặng Lê Nguyên Vũ đã phát triển thành Tập đoàn Trung Nguyên.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về quán cà phê nhỏ của Đặng Lê Nguyên Vũ và sự phát triển thành Tập đoàn Trung Nguyên không liên quan đến thông tin đã cung cấp về Võ Nguyên Giáp và các sự kiện lịch sử liên quan đến Việt Nam Dân chủ Cộng hòa.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ hoặc Tập đoàn Trung Nguyên trong văn bản đã cung cấp.>"
Tập đoàn Trung Nguyên chuyên sản xuất và phân phối cà phê.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Tập đoàn Trung Nguyên không liên quan đến nhân vật Phạm Duy và không được đề cập trong đoạn văn bản cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Tập đoàn Trung Nguyên trong văn bản."
"Dưới sự lãnh đạo của Đặng Lê Nguyên Vũ, Tập đoàn Trung Nguyên đã trở thành một trong những thương hiệu cà phê hàng đầu tại Việt Nam.",Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và Tập đoàn Trung Nguyên không được đề cập trong đoạn thông tin về Đại tướng Võ Nguyên Giáp. Do đó, câu hỏi không liên quan đến nội dung đã cung cấp.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ hoặc Tập đoàn Trung Nguyên trong văn bản đã cung cấp."
Tập đoàn Trung Nguyên đã xuất khẩu sản phẩm sang nhiều quốc gia trên thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact ""Tập đoàn Trung Nguyên đã xuất khẩu sản phẩm sang nhiều quốc gia trên thế giới"" không có thông tin nào liên quan đến Nguyễn Ái Quốc và các hoạt động của ông được đề cập trong đoạn thông tin được cung cấp.  
Đoạn thông tin: Không có đoạn nào trong thông tin cung cấp nói về Tập đoàn Trung Nguyên hay hoạt động xuất khẩu sản phẩm của họ."
Đặng Lê Nguyên Vũ nổi tiếng với các ý tưởng khởi nghiệp.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn văn cung cấp, mà chỉ đề cập đến Võ Nguyên Giáp và các sự kiện liên quan đến cuộc đời và sự nghiệp của ông. Không có bất kỳ thông tin nào liên quan đến Đặng Lê Nguyên Vũ hay các ý tưởng khởi nghiệp.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong văn bản đã cung cấp.>"
Đặng Lê Nguyên Vũ có các chương trình đào tạo về kinh doanh.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nội dung về Đặng Lê Nguyên Vũ, mà thay vào đó là thông tin về Thủ tướng Nguyễn Tấn Dũng và các vấn đề kinh tế của Việt Nam trong nhiệm kỳ của ông. Không có bất kỳ thông tin nào trong đoạn văn được cung cấp đề cập đến Đặng Lê Nguyên Vũ hay các chương trình đào tạo về kinh doanh của ông.  
Đoạn thông tin: Không có thông tin nào trong đoạn văn phản ánh về Đặng Lê Nguyên Vũ hoặc các chương trình đào tạo về kinh doanh."
Đặng Lê Nguyên Vũ có những đóng góp trong lĩnh vực văn hóa và giáo dục.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không có trong đoạn văn cung cấp, mà chỉ nói về Võ Nguyên Giáp và những hoạt động, ảnh hưởng của ông trong thời niên thiếu.  
Đoạn thông tin: ""Gia đình cụ Nghiêm thuộc diện nghèo trong làng, quanh năm phải vay nợ nặng lãi của các nhà giàu như nhà Khóa Uy, một Hoa kiều giàu có ở làng Tuy Lộc kề bên. Võ Nguyên Giáp đã có lần theo mẹ chèo thuyền chở thóc đi trả nợ..."" (đoạn văn cung cấp không liên quan đến Đặng Lê Nguyên Vũ)."
Đặng Lê Nguyên Vũ đã tổ chức nhiều hoạt động nhằm khuyến khích tinh thần khởi nghiệp.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin không liên quan đến nhân vật được đề cập trong ngữ cảnh là Võ Nguyên Giáp và không có bất kỳ thông tin nào về Đặng Lê Nguyên Vũ.  
Đoạn thông tin: Không có thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong đoạn văn được cung cấp."
Đặng Lê Nguyên Vũ đã tổ chức nhiều hoạt động nhằm phát triển tri thức cho giới trẻ Việt Nam.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và các hoạt động của ông nhằm phát triển tri thức cho giới trẻ Việt Nam không được đề cập trong đoạn thông tin cung cấp về Phạm Duy. Tất cả nội dung trong đoạn thông tin chỉ liên quan đến sự nghiệp và các hoạt động nghệ thuật của Phạm Duy trong thời kỳ Chiến tranh Việt Nam, không có thông tin nào về Đặng Lê Nguyên Vũ.  
Đoạn thông tin: <Không có đoạn nào liên quan đến Đặng Lê Nguyên Vũ trong thông tin đã cung cấp.>"
Đặng Lê Nguyên Vũ từng có cuộc hôn nhân nổi tiếng với bà Lê Hoàng Diệp Thảo.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo không có trong đoạn văn bản cung cấp về Lê Ngọc Hân và các nhân vật liên quan. Do đó, câu hỏi không liên quan đến ngữ cảnh đã cho.  
Đoạn thông tin: Không có đoạn thông tin nào phản ánh điều này trong văn bản đã cung cấp."
Bà Lê Hoàng Diệp Thảo đã cùng Đặng Lê Nguyên Vũ xây dựng thương hiệu Trung Nguyên.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin cho rằng bà Lê Hoàng Diệp Thảo đã cùng Đặng Lê Nguyên Vũ xây dựng thương hiệu Trung Nguyên là không chính xác. Đoạn thông tin chỉ đề cập đến việc bà Lê Hoàng Diệp Thảo đứng tên Tổng giám đốc Công ty Cổ phần cà phê hòa tan Trung Nguyên và không có bằng chứng cho thấy bà đã cùng ông Vũ xây dựng thương hiệu Trung Nguyên.  
Đoạn thông tin: ""Ngày 26 tháng 12 năm 2013, do vợ là bà Lê Hoàng Diệp Thảo, Tổng giám đốc Công ty Cổ phần cà phê hòa tan Trung Nguyên đứng tên."""
Cuộc hôn nhân của Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo đã gặp nhiều sóng gió.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cuộc hôn nhân của Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo không có trong ngữ cảnh đã được cung cấp. Ngữ cảnh chỉ nói về cuộc đời và sự nghiệp của nhân vật Phạm Duy, không đề cập đến Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo.  
Đoạn thông tin: (Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo trong ngữ cảnh cung cấp.)"
Cuộc hôn nhân của Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo dẫn đến ly hôn.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về cuộc hôn nhân của Đặng Lê Nguyên Vũ và bà Lê Hoàng Diệp Thảo không được đề cập trong đoạn thông tin cung cấp về Phạm Duy. Do đó, thông tin này không liên quan đến ngữ cảnh và nhân vật được đề cập.  
Đoạn thông tin: Không có thông tin liên quan nào trong đoạn văn bản đã cung cấp."
Đặng Lê Nguyên Vũ là một hình mẫu cho sự kiên trì và khát vọng vươn lên trong cuộc sống.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không được đề cập trong đoạn văn bản gốc về Võ Nguyên Giáp, do đó không liên quan đến ngữ cảnh.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong văn bản cung cấp."
Đặng Lê Nguyên Vũ đã góp phần đưa cà phê Việt Nam lên bản đồ thế giới.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ và việc góp phần đưa cà phê Việt Nam lên bản đồ thế giới không được đề cập trong đoạn văn về Phạm Duy, mà chỉ nói về sự nghiệp âm nhạc của ông trong thời kỳ chiến tranh Việt Nam.  
Đoạn thông tin: Không có thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong đoạn văn đã cung cấp."
Đặng Lê Nguyên Vũ truyền cảm hứng cho nhiều thế hệ doanh nhân trẻ.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về Đặng Lê Nguyên Vũ không được đề cập trong đoạn văn cung cấp, mà chỉ có thông tin về Phạm Duy. Do đó, thông tin này không liên quan đến ngữ cảnh.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ trong đoạn văn cung cấp.>"
Tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam không chỉ dừng lại ở việc sản xuất.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin đề cập đến tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam, nhưng trong đoạn văn cung cấp không có bất kỳ thông tin nào liên quan đến Đặng Lê Nguyên Vũ hay cà phê Việt Nam. Đoạn văn chỉ nói về sự nghiệp của Phạm Duy trong âm nhạc và không đề cập đến lĩnh vực cà phê hay những quan điểm của Đặng Lê Nguyên Vũ.  
Đoạn thông tin: <Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ hoặc cà phê Việt Nam trong tài liệu đã cho.>"
Tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam là một phần của văn hóa.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Atomic fact đưa ra về Đặng Lê Nguyên Vũ và tầm nhìn của ông về việc phát triển cà phê Việt Nam không liên quan đến thông tin cung cấp về Phạm Duy, một nhạc sĩ nổi tiếng trong thời kỳ Chiến tranh Việt Nam. Không có thông tin nào về Đặng Lê Nguyên Vũ hay việc phát triển cà phê trong đoạn văn cung cấp.  
Đoạn thông tin: Không có thông tin liên quan đến Đặng Lê Nguyên Vũ hay cà phê trong các đoạn văn đã cung cấp."
Tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam là một phần của tri thức.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam không được đề cập trong đoạn văn bản cung cấp. Đoạn văn chỉ tập trung vào sự nghiệp và các tác phẩm âm nhạc của Phạm Duy trong thời kỳ Chiến tranh Việt Nam mà không liên quan đến lĩnh vực cà phê hay Đặng Lê Nguyên Vũ.  
Đoạn thông tin: Không có thông tin nào liên quan đến Đặng Lê Nguyên Vũ hay phát triển cà phê Việt Nam trong văn bản."
Tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam là một phần của kinh doanh bền vững.,Irrelevant,"Nhãn: Irrelevant  
Lí do: Thông tin về tầm nhìn của Đặng Lê Nguyên Vũ về việc phát triển cà phê Việt Nam không được đề cập trong đoạn văn về Phạm Duy. Đoạn thông tin chỉ tập trung vào sự nghiệp âm nhạc của Phạm Duy trong thời kỳ chiến tranh Việt Nam mà không liên quan đến ngành cà phê hay Đặng Lê Nguyên Vũ.  
Đoạn thông tin: Không có đoạn thông tin nào liên quan đến Đặng Lê Nguyên Vũ hay cà phê Việt Nam trong đoạn văn đã cho."
