Atomic Fact,Label,Reason
Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968.,Supported,"Nhãn: Supported  
Lí do: Thông tin về ngày sinh của Phạm Nhật Vượng được xác nhận là đúng trong đoạn văn cung cấp, cụ thể là ngày 5 tháng 8 năm 1968.  
Đoạn thông tin: ""Phạm Nhật Vượng (sinh ngày 5 tháng 8 năm 1968) là một nam doanh nhân kiêm tỷ phú người Việt Nam."""
"Phạm Nhật Vượng sinh tại xã Quốc Tuân, huyện Kim Thành, tỉnh Hải Dương, Việt Nam.",Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về nơi sinh của Phạm Nhật Vượng là không đúng. Theo thông tin cung cấp, ông sinh ra tại Hà Nội, không phải tại xã Quốc Tuân, huyện Kim Thành, tỉnh Hải Dương.  
Đoạn thông tin: ""Phạm Nhật Vượng sinh ngày 5 tháng 8 năm 1968 tại Hà Nội, quê quán Hà Tĩnh."""
Phạm Nhật Vượng là một doanh nhân nổi tiếng.,Supported,"Nhãn: Supported  
Lí do: Atomic fact ""Phạm Nhật Vượng là một doanh nhân nổi tiếng"" được xác nhận là đúng bởi thông tin trong bối cảnh, nơi Phạm Nhật Vượng được miêu tả là ""một nam doanh nhân kiêm tỷ phú"" và ""người sáng lập ra tập đoàn Vingroup,"" điều này chứng tỏ ông là một doanh nhân có ảnh hưởng và nổi tiếng trong lĩnh vực kinh doanh.  
Đoạn thông tin: ""Phạm Nhật Vượng (sinh ngày 5 tháng 8 năm 1968) là một nam doanh nhân kiêm tỷ phú người Việt Nam. Ông được biết đến là người sáng lập ra tập đoàn Vingroup."""
Phạm Nhật Vượng là người sáng lập Tập đoàn Vingroup.,Supported,"Nhãn: Supported  
Lí do: Thông tin xác nhận rằng Phạm Nhật Vượng là người sáng lập Tập đoàn Vingroup, điều này được nêu rõ trong đoạn văn giới thiệu về nhân vật.  
Đoạn thông tin: ""Ông được biết đến là người sáng lập ra tập đoàn Vingroup."""
Tập đoàn Vingroup là một trong những tập đoàn kinh tế lớn nhất tại Việt Nam.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Tập đoàn Vingroup là một trong những tập đoàn kinh tế lớn nhất tại Việt Nam không được xác nhận trong đoạn thông tin cung cấp từ Wikipedia. Mặc dù có thông tin về quy mô và hoạt động của Tập đoàn Vingroup, nhưng không có thông tin cụ thể nào khẳng định rằng nó là một trong những tập đoàn lớn nhất tại Việt Nam.  
Đoạn thông tin: ""Tháng 9 năm 2009, Tập đoàn Technocom đổi tên thành Tập đoàn Vingroup (tên đầy đủ là: Tập đoàn Đầu tư Việt Nam), chuyển trụ sở từ Kharkiv (Ukraina) về Hà Nội (Việt Nam)."" và ""Ông hiện vừa là sáng lập viên, vừa là thành viên Hội đồng quản trị Vinpearl Land (VPL) và Công ty cổ phần Vincom (VIC)."""
"Năm 1987, Phạm Nhật Vượng sang Nga du học.",Unsupported,"Nhãn: Unsupported  
Lí do: Atomic fact cho rằng Phạm Nhật Vượng ""sang Nga du học"" vào năm 1987 không chính xác vì thông tin chỉ đề cập đến việc ông ""thi đỗ Trường Đại học Mỏ - Địa chất Hà Nội"" vào năm 1987 và sau đó được học bổng du học ở trường Đại học Thăm dò địa chất Liên bang Nga. Do đó, không thể khẳng định rằng ông đã ""sang Nga du học"" ngay trong năm 1987, mà có thể là sau đó.  
Đoạn thông tin: ""Đến năm 1987, ông thi đỗ Trường Đại học Mỏ - Địa chất Hà Nội, và nhờ thành tích xuất sắc trong môn Toán, ông được học bổng du học ở trường Đại học Thăm dò địa chất Liên bang Nga."""
Phạm Nhật Vượng bắt đầu khởi nghiệp bằng cách mở một quán ăn phục vụ người Việt tại Moscow.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin không chính xác vì Phạm Nhật Vượng không mở một quán ăn phục vụ người Việt tại Moscow mà mở nhà hàng ở Kyiv, Ukraina.  
Đoạn thông tin: ""Hai vợ chồng quyết định không về nước mà chuyển tới sống ở Kharkiv, Ukraina. Lúc rời xuống Kharkiv, theo lời Phạm Nhật Vượng (khi trả lời phỏng vấn của báo Tuổi trẻ vào tháng 1 năm 2019) thì ông còn nợ 40,000 USD. Vay mượn tiền từ bạn bè và người thân được 10,000 USD, ông và bà Hương mở một nhà hàng Việt Nam tên là Thăng Long, ở Kyiv, Ukraina."""
Phạm Nhật Vượng thành lập một công ty chuyên sản xuất mì ăn liền.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin về việc Phạm Nhật Vượng thành lập một công ty chuyên sản xuất mì ăn liền không được xác nhận trong đoạn thông tin cung cấp. Thực tế, đoạn thông tin chỉ đề cập đến việc ông là người sáng lập ra tập đoàn Vingroup, mà không có bất kỳ thông tin nào liên quan đến sản xuất mì ăn liền.  
Đoạn thông tin: ""Phạm Nhật Vượng (sinh ngày 5 tháng 8 năm 1968) là một nam doanh nhân kiêm tỷ phú người Việt Nam. Ông được biết đến là người sáng lập ra tập đoàn Vingroup."""
Công ty của Phạm Nhật Vượng nhanh chóng phát triển thành một trong những doanh nghiệp thành công nhất tại Nga trong lĩnh vực sản xuất mì ăn liền.,Unsupported,"Nhãn: Unsupported  
Lí do: Thông tin trong atomic fact cho rằng công ty của Phạm Nhật Vượng ""nhanh chóng phát triển thành một trong những doanh nghiệp thành công nhất tại Nga trong lĩnh vực sản xuất mì ăn liền"" là không chính xác. Đoạn văn chỉ đề cập đến việc công ty của ông phát triển thành một thương hiệu nổi tiếng tại Ukraina, không phải tại Nga. Hơn nữa, không có thông tin nào xác nhận rằng công ty này là một trong những doanh nghiệp thành công nhất tại Nga.  
Đoạn thông tin: ""Đến năm 2004, mỳ ăn liền hiệu 'Mivina' đã chiếm tới 97% thị phần ở Ukraina."""
"Năm 2001, Phạm Nhật Vượng trở về Việt Nam.",Unsupported,"Nhãn: Unsupported  
Lí do: Không có thông tin nào trong văn bản cung cấp xác nhận rằng Phạm Nhật Vượng trở về Việt Nam vào năm 2001. Thông tin này không thể xác minh và không tương thích với nội dung có sẵn.  
Đoạn thông tin: Không có đoạn thông tin nào trong văn bản đề cập đến việc Phạm Nhật Vượng trở về Việt Nam vào năm 2001."
